gene_id	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
MFD01231.bin.1.34.R1.cmag_contig_3_19	MFD01231.bin.1.34.R1.cmag	contig_3	19	16844	17920	1	C	casp:NQ535_26925		casp:NQ535_26925 ()  Gfo/Idh/MocA family oxidoreductase	False	0.418	244.0	9.638e-68								Oxidoreductase family, NAD-binding Rossmann fold [PF01408.26]; Oxidoreductase family, C-terminal alpha/beta domain [PF02894.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_20	MFD01231.bin.1.34.R1.cmag	contig_3	20	17968	18765	-1	D															PilZ domain [PF07238.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_21	MFD01231.bin.1.34.R1.cmag	contig_3	21	18898	20283	1	C	caby:Cabys_851		caby:Cabys_851 ()  Por secretion system C-terminal sorting domain-containing protein	False	0.455	73.0	4.965e-10								FlgD Ig-like domain [PF13860.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_22	MFD01231.bin.1.34.R1.cmag	contig_3	22	20300	21643	1	C	caby:Cabys_1206		caby:Cabys_1206 ()  hypothetical protein	False	0.264	111.0	4.073e-22								Uncharacterised protein family (UPF0164) [PF03687.17]; Type IX secretion system protein PorV [PF19572.3]					0
MFD01231.bin.1.34.R1.cmag_contig_3_23	MFD01231.bin.1.34.R1.cmag	contig_3	23	21687	24161	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_24	MFD01231.bin.1.34.R1.cmag	contig_3	24	24211	24858	-1	C	tae:TepiRe1_1341	K02557	tae:TepiRe1_1341 (ko:K02557)  ytxE; Uncharacterized 24.6 kDa protein in ccpA 3'region	False	0.429	168.0	5.569e-44								OmpA family [PF00691.24]; Membrane MotB of proton-channel complex MotA/MotB [PF13677.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_25	MFD01231.bin.1.34.R1.cmag	contig_3	25	24842	25648	-1	C	nth:Nther_1402	K02556	nth:Nther_1402 (ko:K02556)  MotA/TolQ/ExbB proton channel	False	0.512	243.0	7.876000000000001e-69								MotA/TolQ/ExbB proton channel family [PF01618.20]; Motility protein A N-terminal [PF20560.2]					0
MFD01231.bin.1.34.R1.cmag_contig_3_26	MFD01231.bin.1.34.R1.cmag	contig_3	26	25715	27448	-1	C	bpen:NQ488_08465	K02410	bpen:NQ488_08465 (ko:K02410)  fliG; flagellar motor switch protein FliG	False	0.407	157.0	4.019e-36								FliG C-terminal domain [PF01706.20]; FliG middle domain [PF14841.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_27	MFD01231.bin.1.34.R1.cmag	contig_3	27	27566	29113	-1	C	caby:Cabys_3525		caby:Cabys_3525 ()  Tetratricopeptide repeat-containing protein	False	0.225	147.0	1.967e-33								Uncharacterised protein family (UPF0164) [PF03687.17]; Type IX secretion system protein PorV [PF19572.3]; Tetratricopeptide repeat [PF14559.10]; Outer membrane protein transport protein (OMPP1/FadL/TodX) [PF03349.20]; Tetratricopeptide repeat [PF13371.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_28	MFD01231.bin.1.34.R1.cmag	contig_3	28	29359	80154	-1	C	brk:CWS35_08955		brk:CWS35_08955 ()  hypothetical protein	False	0.212	269.0	4.433e-67								Quinohemoprotein amine dehydrogenase, alpha subunit domain III [PF09099.14]					0
MFD01231.bin.1.34.R1.cmag_contig_3_29	MFD01231.bin.1.34.R1.cmag	contig_3	29	80469	81611	-1	A	gsu:GSU2915		gsu:GSU2915 ()  sigma-54-dependent transcriptional response regulator	True	0.533	381.0	1.4589999999999999e-114								Sigma-54 interaction domain [PF14532.10]; AAA domain (dynein-related subfamily) [PF07728.18]; Magnesium chelatase, subunit ChlI [PF01078.25]; Bacterial regulatory protein, Fis family [PF02954.23]; Response regulator receiver domain [PF00072.28]					0
MFD01231.bin.1.34.R1.cmag_contig_3_30	MFD01231.bin.1.34.R1.cmag	contig_3	30	81615	81833	-1	C	gpl:M1B72_16290		gpl:M1B72_16290 ()  sigma-54 dependent transcriptional regulator	False	0.639	85.0	1.343e-17								Response regulator receiver domain [PF00072.28]					0
MFD01231.bin.1.34.R1.cmag_contig_3_31	MFD01231.bin.1.34.R1.cmag	contig_3	31	81848	85048	-1	C	bpit:BPIT_24220	K07710	bpit:BPIT_24220 (ko:K07710)  histidine kinase protein	False	0.372	234.0	1.3390000000000001e-58	MER0067016	S09X	MER0067016 - family S9 non-peptidase homologues (Kangiella koreensis) [S09.UNW]#S09X#{peptidase unit: 58-273}~source GEBA2500654607~	False	0.24	68.0	5.985e-10	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.30]; PAS fold [PF00989.29]; PAS fold [PF08448.14]; PAS domain [PF13596.10]; Oligogalacturonate lyase [PF14583.10]; His Kinase A (phospho-acceptor) domain [PF00512.29]; Dipeptidyl peptidase IV (DPP IV) N-terminal region [PF00930.25]					0
MFD01231.bin.1.34.R1.cmag_contig_3_32	MFD01231.bin.1.34.R1.cmag	contig_3	32	85188	87029	-1	C	rmr:Rmar_1429		rmr:Rmar_1429 ()  two component regulator propeller domain protein	False	0.25	186.0	1.778e-45								WD40 repeated domain [PF19056.4]					0
MFD01231.bin.1.34.R1.cmag_contig_3_33	MFD01231.bin.1.34.R1.cmag	contig_3	33	87077	88696	-1	C	mbar:MSBR2_2498		mbar:MSBR2_2498 ()  Phycocyanin alpha phycocyanobilin lyase	False	0.295	183.0	9.641e-45								HEAT repeats [PF13646.10]; Adaptin N terminal region [PF01602.24]; Sister chromatid cohesion protein PDS5 protein [PF20168.2]; CLASP N terminal [PF12348.12]; non-SMC mitotic condensation complex subunit 1 [PF12717.11]; HEAT-like repeat [PF13513.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_34	MFD01231.bin.1.34.R1.cmag	contig_3	34	88763	89596	-1	C	this:HZT40_18075		this:HZT40_18075 ()  HEAT repeat domain-containing protein	False	0.334	132.0	1.051e-30								HEAT repeats [PF13646.10]; non-SMC mitotic condensation complex subunit 1 [PF12717.11]					0
MFD01231.bin.1.34.R1.cmag_contig_3_35	MFD01231.bin.1.34.R1.cmag	contig_3	35	89625	91403	-1	C	hhy:Halhy_2051		hhy:Halhy_2051 ()  adenylate/guanylate cyclase	False	0.336	286.0	9.208e-79													0
MFD01231.bin.1.34.R1.cmag_contig_3_36	MFD01231.bin.1.34.R1.cmag	contig_3	36	91669	92406	-1	C	kbs:EPA93_25710		kbs:EPA93_25710 ()  SDR family oxidoreductase	False	0.61	291.0	8.924000000000001e-86								short chain dehydrogenase [PF00106.29]; Enoyl-(Acyl carrier protein) reductase [PF13561.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_37	MFD01231.bin.1.34.R1.cmag	contig_3	37	92403	93695	-1	A	kbs:EPA93_25715		kbs:EPA93_25715 ()  FAD-binding oxidoreductase	True	0.675	567.0	6.411e-178													0
MFD01231.bin.1.34.R1.cmag_contig_3_38	MFD01231.bin.1.34.R1.cmag	contig_3	38	94046	94393	-1	C	mek:MSKOL_3065		mek:MSKOL_3065 ()  hypothetical protein	False	0.63	142.0	8.449e-37								Ribonuclease HepT-like [PF01934.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_39	MFD01231.bin.1.34.R1.cmag	contig_3	39	94390	94710	-1	C	tog:HNI00_02055	K07075	tog:HNI00_02055 (ko:K07075)  nucleotidyltransferase family protein	False	0.605	116.0	8.894e-28								Polymerase beta, Nucleotidyltransferase [PF18765.5]; Nucleotidyltransferase domain [PF01909.27]					0
MFD01231.bin.1.34.R1.cmag_contig_3_40	MFD01231.bin.1.34.R1.cmag	contig_3	40	94868	95125	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_41	MFD01231.bin.1.34.R1.cmag	contig_3	41	95179	100566	-1	C	nja:NSJP_1922		nja:NSJP_1922 ()  conserved exported protein of unknown function	False	0.31	326.0	8.535e-86								FlgD Ig-like domain [PF13860.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_42	MFD01231.bin.1.34.R1.cmag	contig_3	42	100818	102356	-1	C	lkb:LPTSP3_g09010		lkb:LPTSP3_g09010 ()  hypothetical protein	False	0.389	244.0	1.33e-65													0
MFD01231.bin.1.34.R1.cmag_contig_3_43	MFD01231.bin.1.34.R1.cmag	contig_3	43	103283	104728	-1	A	alam:RT761_00546	K01885	alam:RT761_00546 (ko:K01885)  gltX1; Glutamate--tRNA ligase 1	True	0.507	454.0	5.508e-138								tRNA synthetases class I (E and Q), catalytic domain [PF00749.25]; Anticodon binding domain [PF19269.3]					0
MFD01231.bin.1.34.R1.cmag_contig_3_44	MFD01231.bin.1.34.R1.cmag	contig_3	44	104734	106275	-1	A	tamm:GEAMG1_1641	K01951	tamm:GEAMG1_1641 (ko:K01951)  guaA; GMP synthetase	True	0.709	722.0	3.717e-230	MER0440356	C26	MER0440356 - At1g63660 ({Arabidopsis thaliana}) (Acetivibrio cellulolyticus) [C26.A07]#C26#{peptidase unit: 4-228}~source ZP_09464426~	False	0.646	289.0	1.4899999999999998e-82	GMP synthase C terminal domain [PF00958.26]; Glutamine amidotransferase class-I [PF00117.32]; NAD synthase [PF02540.21]; Peptidase C26 [PF07722.17]; tRNA methyl transferase HUP domain [PF03054.20]; Queuosine biosynthesis protein QueC [PF06508.17]; Thiamine biosynthesis protein (ThiI) [PF02568.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_45	MFD01231.bin.1.34.R1.cmag	contig_3	45	106305	107465	-1	A	mcao:IT6_07445	K00088	mcao:IT6_07445 (ko:K00088)  GuaB3 family IMP dehydrogenase-related protein	True	0.698	548.0	3.3470000000000005e-172								IMP dehydrogenase / GMP reductase domain [PF00478.29]; FMN-dependent dehydrogenase [PF01070.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_46	MFD01231.bin.1.34.R1.cmag	contig_3	46	107477	107839	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_47	MFD01231.bin.1.34.R1.cmag	contig_3	47	107862	109400	-1	A	gur:Gura_4031	K07391	gur:Gura_4031 (ko:K07391)  Mg chelatase, subunit ChlI	True	0.648	648.0	2.287e-204	MER0221644	S16	MER0221644 - family S16 non-peptidase homologues (Acetohalobium arabaticum) [S16.UNW]#S16#{peptidase unit: 4-417}~source YP_003828226~	True	0.644	528.0	9.772e-165	Magnesium chelatase, subunit ChlI [PF01078.25]; Subunit ChlI of Mg-chelatase [PF13541.10]; Magnesium chelatase, subunit ChlI C-terminal [PF13335.10]; Lon protease (S16) C-terminal proteolytic domain [PF05362.17]; MCM P-loop domain [PF00493.27]; AAA domain (dynein-related subfamily) [PF07728.18]; AAA domain (Cdc48 subfamily) [PF07724.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_48	MFD01231.bin.1.34.R1.cmag	contig_3	48	109511	109966	-1	C	dve:DESUT3_20850		dve:DESUT3_20850 ()  cyclic nucleotide-binding protein	False	0.389	94.0	1.483e-19								Cyclic nucleotide-binding domain [PF00027.33]					0
MFD01231.bin.1.34.R1.cmag_contig_3_49	MFD01231.bin.1.34.R1.cmag	contig_3	49	110000	111028	-1	C	pmax:117329250	K09667	pmax:117329250 (ko:K09667)  UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like isoform X1	False	0.331	153.0	7.553999999999999e-37								MalT-like TPR region [PF17874.5]; Tetratricopeptide repeat [PF13429.10]; Anaphase-promoting complex, cyclosome, subunit 3 [PF12895.11]; ChAPs (Chs5p-Arf1p-binding proteins) [PF09295.14]; TPR repeat [PF13414.10]; Tetratricopeptide repeat [PF14559.10]; Tetratricopeptide repeat [PF13432.10]; Tetratricopeptide repeat [PF13424.10]; Plant specific mitochondrial import receptor subunit TOM20 [PF06552.16]; Tetratricopeptide repeat [PF13428.10]; Tetratricopeptide repeat [PF13371.10]; Tetratricopeptide repeat [PF13431.10]; Tetratricopeptide repeat-like domain [PF09976.13]; N-terminal acetyltransferase A, auxiliary subunit [PF12569.12]					0
MFD01231.bin.1.34.R1.cmag_contig_3_50	MFD01231.bin.1.34.R1.cmag	contig_3	50	111177	111680	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_51	MFD01231.bin.1.34.R1.cmag	contig_3	51	111816	112280	-1	C	dau:Daud_0256	K03664	dau:Daud_0256 (ko:K03664)  SsrA-binding protein	False	0.652	187.0	1.581e-51								SmpB protein [PF01668.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_52	MFD01231.bin.1.34.R1.cmag	contig_3	52	112265	114472	-1	A	kme:H0A61_02855	K12573	kme:H0A61_02855 (ko:K12573)  rnr; Ribonuclease R	True	0.485	619.0	2.2979999999999997e-190								RNB domain [PF00773.23]; Cold shock domain [PF17876.5]; Ribonuclease B OB domain [PF08206.15]					0
MFD01231.bin.1.34.R1.cmag_contig_3_53	MFD01231.bin.1.34.R1.cmag	contig_3	53	114671	114919	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_54	MFD01231.bin.1.34.R1.cmag	contig_3	54	115016	120556	-1	C	epo:Epro_0525		epo:Epro_0525 ()  exported protein of unknown function	False	0.22	336.0	7.075999999999999e-89								Motility related/secretion protein [PF14349.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_55	MFD01231.bin.1.34.R1.cmag	contig_3	55	120722	121846	1	C	dve:DESUT3_25380	K07091	dve:DESUT3_25380 (ko:K07091)  lptF_2; LPS export ABC transporter permease LptF	False	0.357	216.0	6.64e-58								Lipopolysaccharide export system permease LptF/LptG [PF03739.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_56	MFD01231.bin.1.34.R1.cmag	contig_3	56	121857	122945	1	C	sat:SYN_00415	K11720	sat:SYN_00415 (ko:K11720)  permease	False	0.345	198.0	9.656e-52								Lipopolysaccharide export system permease LptF/LptG [PF03739.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_57	MFD01231.bin.1.34.R1.cmag	contig_3	57	123047	125215	1	C	kbs:EPA93_21520		kbs:EPA93_21520 ()  TIGR03663 family protein	False	0.257	228.0	3.254e-58													0
MFD01231.bin.1.34.R1.cmag_contig_3_58	MFD01231.bin.1.34.R1.cmag	contig_3	58	125241	126023	1	C	stq:Spith_1483	K06872	stq:Spith_1483 (ko:K06872)  protein of unknown function DUF477	False	0.398	157.0	1.903e-39								TPM domain [PF04536.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_59	MFD01231.bin.1.34.R1.cmag	contig_3	59	126068	127438	-1	C	mell:IVG45_08760		mell:IVG45_08760 ()  hypothetical protein	False	0.242	100.0	1.106e-18													0
MFD01231.bin.1.34.R1.cmag_contig_3_60	MFD01231.bin.1.34.R1.cmag	contig_3	60	127438	128064	-1	C	mox:DAMO_0131	K03832	mox:DAMO_0131 (ko:K03832)  putative TonB-like protein	False	0.544	99.0	3.438e-20								Gram-negative bacterial TonB protein C-terminal [PF03544.18]					0
MFD01231.bin.1.34.R1.cmag_contig_3_61	MFD01231.bin.1.34.R1.cmag	contig_3	61	128145	130187	-1	C	hals:D7D81_08885	K16092	hals:D7D81_08885 (ko:K16092)  TonB-dependent receptor	False	0.283	253.0	7.446999999999999e-67	MER0182283	I39	MER0182283 - family I39 unassigned peptidase inhibitors (Desulfovibrio magneticus) [I39.UPW]#I39#{inhibitor unit: 32-163}~source BAH76254~	False	0.39	90.0	7.477e-17	TonB dependent receptor [PF00593.28]; TonB-dependent Receptor Plug Domain [PF07715.19]; Outer membrane protein beta-barrel family [PF14905.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_62	MFD01231.bin.1.34.R1.cmag	contig_3	62	130461	131378	-1	C	tae:TepiRe1_1096	K25034	tae:TepiRe1_1096 (ko:K25034)  ABC-type transporter, periplasmic subunit	False	0.448	222.0	5.4699999999999994e-61								Periplasmic binding protein [PF01497.22]					0
MFD01231.bin.1.34.R1.cmag_contig_3_63	MFD01231.bin.1.34.R1.cmag	contig_3	63	131767	134214	-1	A	ccro:CMC5_020090	K15987	ccro:CMC5_020090 (ko:K15987)  potassium transporter	True	0.674	1085.0	0.0								Inorganic H+ pyrophosphatase [PF03030.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_64	MFD01231.bin.1.34.R1.cmag	contig_3	64	134434	135003	-1	C	oni:Osc7112_6220		oni:Osc7112_6220 ()  Tetratricopeptide TPR_2 repeat-containing protein	False	0.439	90.0	2.392e-17								Tetratricopeptide repeat [PF13371.10]; TPR repeat [PF13414.10]					0
MFD01231.bin.1.34.R1.cmag_contig_3_65	MFD01231.bin.1.34.R1.cmag	contig_3	65	135066	135533	-1	C	bbad:K7T73_01915	K06925	bbad:K7T73_01915 (ko:K06925)  tsaE; tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	False	0.582	152.0	2.575e-39								Threonylcarbamoyl adenosine biosynthesis protein TsaE [PF02367.21]					0
MFD01231.bin.1.34.R1.cmag_contig_3_66	MFD01231.bin.1.34.R1.cmag	contig_3	66	135535	136779	-1	A	ncn:BZZ01_32090		ncn:BZZ01_32090 ()  MFS transporter	True	0.544	415.0	1.5269999999999998e-125								Transmembrane secretion effector [PF05977.17]; Major Facilitator Superfamily [PF07690.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_67	MFD01231.bin.1.34.R1.cmag	contig_3	67	136789	137772	-1	C	dku:Desku_0545	K00946	dku:Desku_0545 (ko:K00946)  thiamine-monophosphate kinase	False	0.413	242.0	2.014e-67								AIR synthase related protein, N-terminal domain [PF00586.28]					0
MFD01231.bin.1.34.R1.cmag_contig_3_68	MFD01231.bin.1.34.R1.cmag	contig_3	68	138038	139351	1	A	fsh:Q2T83_10565		fsh:Q2T83_10565 ()  hypothetical protein	True	0.554	419.0	1.233e-126													0
MFD01231.bin.1.34.R1.cmag_contig_3_69	MFD01231.bin.1.34.R1.cmag	contig_3	69	139420	140817	1	C	tfr:BR63_18215	K26937	tfr:BR63_18215 (ko:K26937)  MATE family efflux transporter	False	0.424	343.0	6.16e-100													0
MFD01231.bin.1.34.R1.cmag_contig_3_70	MFD01231.bin.1.34.R1.cmag	contig_3	70	140884	141411	1	C	ole:K0B96_10910		ole:K0B96_10910 ()  TlpA family protein disulfide reductase	False	0.548	158.0	5.332999999999998e-41								Redoxin [PF08534.14]; Thioredoxin-like [PF13905.10]; AhpC/TSA family [PF00578.25]; Thioredoxin-like domain [PF13098.10]; Thioredoxin [PF00085.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_71	MFD01231.bin.1.34.R1.cmag	contig_3	71	141489	142307	-1	C	afas:NZD89_06350		afas:NZD89_06350 ()  sugar phosphate isomerase/epimerase	False	0.414	199.0	1.6499999999999998e-53								Xylose isomerase-like TIM barrel [PF01261.28]					0
MFD01231.bin.1.34.R1.cmag_contig_3_72	MFD01231.bin.1.34.R1.cmag	contig_3	72	142336	142971	-1	C	lek:hrd7_14230		lek:hrd7_14230 ()  hypothetical protein	False	0.442	160.0	4.749e-41								ubiE/COQ5 methyltransferase family [PF01209.22]; Methyltransferase domain [PF13847.10]; Methyltransferase domain [PF13489.10]; Methyltransferase domain [PF08241.16]; Methyltransferase domain [PF13649.10]; Methyltransferase domain [PF08242.16]; Protein of unknown function (DUF1698) [PF08003.15]; Mycolic acid cyclopropane synthetase [PF02353.24]; Methionine biosynthesis protein MetW [PF07021.16]					0
MFD01231.bin.1.34.R1.cmag_contig_3_73	MFD01231.bin.1.34.R1.cmag	contig_3	73	142971	143546	-1	E																				0
MFD01231.bin.1.34.R1.cmag_contig_3_74	MFD01231.bin.1.34.R1.cmag	contig_3	74	143587	145293	-1	A	dca:Desca_2271	K07462	dca:Desca_2271 (ko:K07462)  single-stranded-DNA-specific exonuclease RecJ	True	0.437	437.0	7.977000000000002e-131								RecJ OB domain [PF17768.5]; DHHA1 domain [PF02272.23]; DHH family [PF01368.24]					0
MFD01231.bin.1.34.R1.cmag_contig_3_75	MFD01231.bin.1.34.R1.cmag	contig_3	75	145296	145961	-1	C	dtp:JZK55_07360		dtp:JZK55_07360 ()  hypothetical protein	False	0.37	130.0	1.491e-30								Protein of unknown function (DUF502) [PF04367.17]					0
MFD01231.bin.1.34.R1.cmag_contig_3_76	MFD01231.bin.1.34.R1.cmag	contig_3	76	146071	147003	-1	C	mox:DAMO_0056	K03074	mox:DAMO_0056 (ko:K03074)  secF; Protein-export membrane protein secF	False	0.57	331.0	2.296e-98								Protein export membrane protein [PF02355.20]					0
MFD01231.bin.1.34.R1.cmag_contig_3_77	MFD01231.bin.1.34.R1.cmag	contig_3	77	147014	148318	-1	A	dtp:JZK55_18620	K03072	dtp:JZK55_18620 (ko:K03072)  secD; protein translocase subunit SecD	True	0.447	400.0	2.741e-120								Protein export membrane protein [PF02355.20]; Protein translocase subunit SecDF, P1 domain, N-terminal [PF21760.1]					0
MFD01231.bin.1.34.R1.cmag_contig_3_78	MFD01231.bin.1.34.R1.cmag	contig_3	78	148320	148676	-1	C	dtp:JZK55_18630	K03210	dtp:JZK55_18630 (ko:K03210)  yajC; preprotein translocase subunit YajC	False	0.44	81.0	1.322e-15								Preprotein translocase subunit [PF02699.19]					0
