bin	contig	start	end	strand	rrna
LIB-MJ048-D2_04.3	k127_117882	3489	3603	-	5S
LIB-MJ048-D2_04.3	k127_42671	622	2112	-	16S
LIB-MJ048-D2_04.4	k127_124159	1	1536	-	(partial) 23S
LIB-MJ048-D4_04.1	k127_118463	2748	2864	-	5S
LIB-MJ048-D4_04.7	k127_103338	2949	3065	-	5S
LIB-MJ048-D4_04.8	k127_105397	1296	1411	-	5S
LIB-MJ048-D8_04.1	k127_253038	1563	1678	-	5S
LIB-MJ048-D8_04.1	k127_253038	1905	2877	-	(partial) 23S
LIB-MJ048-D8_04.6	k127_118634	1	1506	-	(partial) 23S
LIB-MJ048-E11_04.13	k127_198738	5235	5351	-	5S
LIB-MJ048-E1_04.13	k127_48244	1456	1570	-	5S
LIB-MJ048-E1_04.4	k127_43905	2	117	+	5S
LIB-MJ048-E1_04.7	k127_41909	2832	2946	-	5S
LIB-MJ048-E1_04.7	k127_50664	18472	18586	-	5S
LIB-MJ048-E1_04.7	k127_43726	4650	4739	-	(partial) 5S
LIB-MJ048-E1_04.7	k127_19125	4	118	+	5S
LIB-MJ048-E1_04.7	k127_53856	1	104	+	(5' truncated) 5S
LIB-MJ048-E6_04.9	k127_40990	318	431	+	5S
LIB-MJ048-E6_04.9	k127_100851	1	865	-	(partial) 16S
LIB-MJ048-E8_04.3	k127_41338	11194	12694	+	16S
LIB-MJ048-E8_04.3	k127_41338	13223	16269	+	23S
LIB-MJ048-E8_04.3	k127_175802	545	661	+	5S
LIB-MJ048-E8_04.5	k127_108526	481	597	+	5S
LIB-MJ048-F9_04.1	k127_143885	2763	2881	-	5S
LIB-MJ048-F9_04.20	k127_158944	1146	1260	-	5S
LIB-MJ048-G11_04.1	k127_21752	1	98	+	(5' truncated) 5S
LIB-MJ048-G6_04.1	k127_142956	1	1353	-	(3' truncated) 16S
LIB-MJ048-G9_04.14	k127_162800	1	97	+	(5' truncated) 5S
LIB-MJ048-G9_04.8	k127_21820	343	457	+	5S
LIB-MJ048-H10_04.4	k127_113332	1821	1935	-	5S
LIB-MJ048-H11_04.6	k127_130504	486	602	+	5S
LIB-MJ048-H11_04.7	k127_124110	4373	4487	-	5S
LIB-MJ048-H1_04.8	k127_44827	1	713	-	(partial) 16S
LIB-MJ048-H4_04.12	k127_121108	206	320	+	5S
LIB-MJ048-H8_04.8	k127_121006	91	1616	+	(partial) 23S
LIB-MJ048-H8_04.8	k127_168169	8740	8854	-	5S
LIB-MJ050-A12_02.4	k127_241295	338	453	+	5S
LIB-MJ050-A1_02.3	k127_21800	5377	5986	+	(partial) 16S
LIB-MJ050-A8_02.3	k127_260366	2076	2192	-	5S
LIB-MJ050-A8_02.6	k127_194975	1	1507	-	(partial) 23S
LIB-MJ050-B4_02.2	k127_62614	180	1637	+	(partial) 23S
LIB-MJ050-B4_02.2	k127_28063	1	1871	-	(partial) 23S
LIB-MJ050-B4_02.2	k127_42468	3382	3485	-	(5' truncated) 5S
LIB-MJ050-C2_02.10	k127_246675	1353	1467	-	5S
LIB-MJ050-C4_02.16	k127_120442	20	136	+	5S
LIB-MJ050-C7_02.10	k127_158657	103675	103791	-	5S
LIB-MJ050-C7_02.10	k127_9009	7595	9012	+	(partial) 23S
LIB-MJ050-C7_02.10	k127_109848	37502	39031	+	16S
LIB-MJ050-C7_02.22	k127_112613	2995	3110	-	5S
LIB-MJ050-C7_02.23	k127_64362	16458	16579	+	5S
LIB-MJ050-C7_02.23	k127_263078	1	671	+	(partial) 16S
LIB-MJ050-C7_02.23	k127_307010	37240	38171	+	(partial) 16S
LIB-MJ050-C7_02.8	k127_195337	606	722	+	5S
LIB-MJ050-C9_02.22	k127_212768	9763	11248	-	(5' truncated) 16S
LIB-MJ050-C9_02.22	k127_381580	1678	1794	-	5S
LIB-MJ050-D10_02.11	k127_18286	1	1170	-	(partial) 16S
LIB-MJ050-D10_02.14	k127_98447	267	381	+	5S
LIB-MJ050-D1_02.8	k127_96623	1	1215	-	(partial) 23S
LIB-MJ050-D3_02.17	k127_233132	345	458	+	5S
LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.36	k127_202421	1	2048	-	(partial) 23S
LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.36	k127_202421	2675	4154	-	16S
LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.43	k127_110602	1	116	+	(5' truncated) 5S
LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.45	k127_110416	3312	3398	-	(partial) 5S
LIB-MJ050-D6_02_v_LIB-MJ408-D10_04.48	k127_396367	520	636	+	5S
LIB-MJ050-D8_02_v_LIB-MJ408-E10_04.4	k127_113422	4556	4670	-	5S
LIB-MJ050-D9_02.5	k127_12248	1006	1123	+	5S
LIB-MJ050-E10_02.14	k127_129811	1	97	+	(5' truncated) 5S
LIB-MJ050-E10_02.7	k127_1199	339	3312	-	23S
LIB-MJ050-E10_02.7	k127_1199	3548	5023	-	16S
LIB-MJ050-E10_02.7	k127_169648	429	548	-	5S
LIB-MJ050-E3_02.1	k127_210141	310	424	+	5S
LIB-MJ050-E6_02.10	k127_123461	2063	2177	-	5S
LIB-MJ050-F11_02.12	k127_174508	12578	14096	+	16S
LIB-MJ050-F11_02.12	k127_174508	14411	17022	+	(3' truncated) 23S
LIB-MJ050-F11_02.4	k127_230535	2953	3070	-	5S
LIB-MJ050-F11_02.5	k127_35455	426	542	+	5S
LIB-MJ050-F2_02.10	k127_34880	1	495	-	(partial) 16S
LIB-MJ050-F2_02.10	k127_164631	4	120	+	5S
LIB-MJ050-F2_02.2	k127_71801	1	109	+	(5' truncated) 5S
LIB-MJ050-F2_02.2	k127_201192	6147	6641	+	(partial) 16S
LIB-MJ050-F9_02.8	k127_221380	1	92	+	(partial) 5S
LIB-MJ050-G11_02.9	k127_5548	3262	3380	-	5S
LIB-MJ050-G3_02.3	k127_88246	1	1011	-	(partial) 23S
LIB-MJ050-G5_02.4	k127_241478	1	2672	+	(5' truncated) 23S
LIB-MJ050-G5_02.4	k127_241478	2781	2897	+	5S
LIB-MJ050-G6_02.5	k127_43594	794	911	+	5S
LIB-MJ050-G9_02.14	k127_440457	4617	6036	+	(partial) 23S
LIB-MJ050-G9_02.14	k127_452011	345	461	+	5S
LIB-MJ050-H10_02.2	k127_10227	270	384	+	5S
LIB-MJ050-H10_02.4	k127_225340	2419	2533	-	5S
LIB-MJ050-H2_02.5	k127_138200	392	508	+	5S
LIB-MJ050-H3_02.13	k127_401818	5315	5431	-	5S
LIB-MJ050-H3_02.24	k127_209782	27244	27359	-	5S
LIB-MJ050-H3_02.24	k127_209782	27700	30550	-	23S
LIB-MJ050-H3_02.24	k127_209782	31422	32942	-	16S
LIB-MJ050-H5_02.1	k127_263427	464	583	-	5S
LIB-MJ050-H7_02.14	k127_405936	5787	5902	-	5S
LIB-MJ050-H7_02.14	k127_112316	1345	1460	-	5S
LIB-MJ050-H7_02.9	k127_278034	19482	21015	-	16S
LIB-MJ050-H8_02.1	k127_457106	2142	2256	-	5S
LIB-MJ050-H8_02.16	k127_568493	503	619	+	5S
LIB-MJ050-H8_02.22	k127_298563	6	122	+	5S
LIB-MJ050-H8_02.29	k127_646659	39964	40080	-	5S
LIB-MJ050-H8_02.43	k127_627589	37780	38239	+	(partial) 16S
LIB-MJ050-H8_02.43	k127_192307	265	381	+	5S
LIB-MJ050-H8_02.43	k127_766875	64614	65817	+	(partial) 23S
LIB-MJ050-H8_02.48	k127_155197	69	185	+	5S
LIB-MJ050-H8_02.54	k127_468016	1800	1911	+	5S
LIB-MJ050-H8_02.54	k127_827735	1	1000	+	(partial) 23S
LIB-MJ050-H8_02.54	k127_827735	1141	1256	+	5S
LIB-MJ050-H8_02.56	k127_500242	1	92	+	(partial) 5S
LIB-MJ050-H8_02.7	k127_451959	4	120	+	5S
LIB-MJ051-A3_02.3	k127_177523	9467	9556	-	(partial) 5S
LIB-MJ051-A3_02.3	k127_2506	8647	8735	-	(partial) 5S
LIB-MJ051-A3_02.3	k127_89892	2382	2497	-	5S
LIB-MJ051-A3_02.4	k127_7775	1	108	+	(5' truncated) 5S
LIB-MJ051-A3_02.9	k127_53591	4418	4522	-	(5' truncated) 5S
LIB-MJ051-A3_02.9	k127_112175	5332	5447	-	5S
LIB-MJ051-A3_02.9	k127_222805	4108	4212	-	(5' truncated) 5S
LIB-MJ051-A5_02.25	k127_190929	3	120	+	5S
LIB-MJ051-B11_02.5	k127_50301	280	394	+	5S
LIB-MJ051-B11_02.5	k127_70243	490	604	+	5S
LIB-MJ051-B5_02.10	k127_129605	2626	2740	-	5S
LIB-MJ051-B6_02.1	k127_108429	1	490	-	(partial) 16S
LIB-MJ051-C11_02.13	k127_237396	1492	1607	-	5S
LIB-MJ051-C11_02.13	k127_39578	5674	5789	-	5S
LIB-MJ051-C11_02.14	k127_283271	1	116	+	5S
LIB-MJ051-C11_02.18	k127_77796	2068	2184	-	5S
LIB-MJ051-C11_02.20	k127_230767	434	549	+	5S
LIB-MJ051-C11_02.24	k127_91004	15654	16252	+	(partial) 16S
LIB-MJ051-C12_02.13	k127_186722	434	549	+	5S
LIB-MJ051-C12_02.17	k127_209691	467	588	+	5S
LIB-MJ051-C12_02.4	k127_135217	19834	19948	-	5S
LIB-MJ051-C12_02.4	k127_135217	20037	22948	-	23S
LIB-MJ051-C12_02.4	k127_162123	331	1890	-	16S
LIB-MJ051-C6_02.1	k127_98995	3081	3195	-	5S
LIB-MJ051-C6_02.4	k127_20461	3586	4299	+	(partial) 16S
LIB-MJ051-C6_02.4	k127_9074	572	686	+	5S
LIB-MJ051-D10_02.12	k127_120716	2047	2162	-	5S
LIB-MJ051-D10_02.12	k127_129580	13184	13273	-	(partial) 5S
LIB-MJ051-D10_02.13	k127_12982	5017	5132	-	5S
LIB-MJ051-D10_02.2	k127_116561	1	99	+	(5' truncated) 5S
LIB-MJ051-D10_02.6	k127_17366	13363	13447	-	(partial) 5S
LIB-MJ051-D10_02.6	k127_133932	49876	49960	-	(partial) 5S
LIB-MJ051-D10_02.6	k127_64665	7641	7756	-	5S
LIB-MJ051-D10_02.6	k127_26493	180	295	+	5S
LIB-MJ051-D10_02.9	k127_89398	1	116	+	5S
LIB-MJ051-D10_02.9	k127_140678	4589	4704	-	5S
LIB-MJ051-D1_02.1	k127_143734	1591	1705	-	5S
LIB-MJ051-D2_02.6	k127_36574	1642	1757	-	5S
LIB-MJ051-D3_02.15	k127_131496	279	397	+	5S
LIB-MJ051-D3_02.3	k127_172024	3710	3824	-	5S
LIB-MJ051-D3_02.4	k127_41457	2524	2638	-	5S
LIB-MJ051-D8_02.11	k127_187326	5604	5720	-	5S
LIB-MJ051-D9_02.9	k127_197420	1	114	+	(5' truncated) 5S
LIB-MJ051-E1_02.6	k127_72240	548	662	+	5S
LIB-MJ051-E2_02.10	k127_1293798	4831	5292	+	(partial) 16S
LIB-MJ051-E2_02.10	k127_1329140	453	569	+	5S
LIB-MJ051-E2_02.10	k127_511594	4155	4271	-	5S
LIB-MJ051-E2_02.13	k127_351467	7347	7466	+	5S
LIB-MJ051-E2_02.18	k127_184220	379	494	+	5S
LIB-MJ051-E2_02.2	k127_152287	1409	1936	-	(partial) 16S
LIB-MJ051-E2_02.5	k127_1246386	250	363	+	5S
LIB-MJ051-E3_02.13	k127_290728	11500	14467	+	23S
LIB-MJ051-E3_02.13	k127_290728	14666	14783	+	5S
LIB-MJ051-E3_02.13	k127_317920	2058	3556	+	16S
LIB-MJ051-E3_02.20	k127_112172	211	332	+	5S
LIB-MJ051-E3_02.22	k127_164994	1	2720	-	23S
LIB-MJ051-E3_02.27	k127_43300	317	432	+	5S
LIB-MJ051-E3_02.28	k127_113963	3388	3503	-	5S
LIB-MJ051-E3_02.28	k127_337513	105	2558	-	(5' truncated) 23S
LIB-MJ051-E3_02.6	k127_12548	123	243	+	5S
LIB-MJ051-E5_02.11	k127_595418	1833	1947	-	5S
LIB-MJ051-E5_02.8	k127_280101	1744	1858	-	5S
LIB-MJ051-E6_02.8	k127_89077	650	767	+	5S
LIB-MJ051-E7_02.17	k127_3701	2	117	+	5S
LIB-MJ051-E7_02.17	k127_355516	1874	1978	-	(5' truncated) 5S
LIB-MJ051-E7_02.7	k127_353975	1	106	+	(5' truncated) 5S
LIB-MJ051-E8_02.5	k127_137471	26379	26867	+	(partial) 16S
LIB-MJ051-E8_02.5	k127_118992	6649	6763	-	5S
LIB-MJ051-E8_02.5	k127_118992	6920	7904	-	(partial) 23S
LIB-MJ051-E8_02.6	k127_95069	4778	4869	-	(partial) 5S
LIB-MJ051-E8_02.6	k127_164965	483	596	+	5S
LIB-MJ051-E9_02.14	k127_150276	5471	6946	+	16S
LIB-MJ051-E9_02.14	k127_150276	7182	10155	+	23S
LIB-MJ051-E9_02.14	k127_106843	189	308	-	5S
LIB-MJ051-E9_02.5	k127_31102	2965	3081	-	5S
LIB-MJ051-F5_02.11	k127_194089	3074	3182	-	(5' truncated) 5S
LIB-MJ051-F5_02.2	k127_128897	14252	14367	-	5S
LIB-MJ051-G2_02.4	k127_50617	2343	2458	-	5S
LIB-MJ051-G3_02.5	k127_39756	2066	2182	-	5S
LIB-MJ051-G4_02.3	k127_4153	830	944	-	5S
LIB-MJ051-G5_02.13	k127_48182	7216	7331	-	5S
LIB-MJ051-G5_02.4	k127_173019	1	2420	-	(3' truncated) 23S
LIB-MJ051-G5_02.4	k127_173019	2955	4430	-	16S
LIB-MJ051-G5_02.4	k127_63204	1992	2110	+	5S
LIB-MJ051-G5_02.5	k127_94677	434	550	+	5S
LIB-MJ051-G9_02.2	k127_23367	1	752	-	(partial) 16S
LIB-MJ051-H2_02.2	k127_49465	439	553	+	5S
LIB-MJ051-H2_02.3	k127_106107	1603	1717	-	5S
LIB-MJ051-H7_02.5	k127_86468	644	751	+	5S
LIB-MJ051-H9_02.2	k127_106738	966	1080	-	5S
LIB-MJ054-A12_03.17	k127_36343	4	120	+	5S
LIB-MJ054-A1_03.11	k127_270739	315	430	+	5S
LIB-MJ054-A1_03.18	k127_3652	6780	6896	-	5S
LIB-MJ054-A1_03.19	k127_230751	1	108	+	(5' truncated) 5S
LIB-MJ054-A1_03.21	k127_190520	395	510	+	5S
LIB-MJ054-A1_03.24	k127_5121	3949	4065	-	5S
LIB-MJ054-A2_03.3	k127_54153	1	113	+	(5' truncated) 5S
LIB-MJ054-A4_03.1	k127_41542	1	1666	-	(partial) 23S
LIB-MJ054-A5_03.5	k127_81327	24976	25054	-	(partial) 5S
LIB-MJ054-A6_03.7	k127_55574	1490	1604	-	5S
LIB-MJ054-B2_03.5	k127_164054	301	1693	-	(partial) 23S
LIB-MJ054-B2_03.5	k127_169449	2014	2130	-	5S
LIB-MJ054-B2_03.5	k127_44503	1	1327	-	(3' truncated) 16S
LIB-MJ054-B5_03.4	k127_29482	4297	5027	+	(partial) 16S
LIB-MJ054-B6_03.5	k127_168922	1	607	-	(partial) 16S
LIB-MJ054-C7_03.1	k127_64756	3386	3500	-	5S
LIB-MJ054-C9_03.18	k127_231376	201	1700	-	16S
LIB-MJ054-C9_03.26	k127_87425	481	597	+	5S
LIB-MJ054-D11_03.3	k127_1925	1664	1778	-	5S
LIB-MJ054-D1_03.16	k127_82056	36247	36353	-	(5' truncated) 5S
LIB-MJ054-D1_03.16	k127_58905	47223	47329	-	(5' truncated) 5S
LIB-MJ054-D1_03.2	k127_162752	13	128	+	5S
LIB-MJ054-D1_03.2	k127_104106	619171	619286	-	5S
LIB-MJ054-D1_03.2	k127_28982	6	121	+	5S
LIB-MJ054-D1_03.2	k127_28982	122208	123747	+	16S
LIB-MJ054-D3_03.2	k127_86288	2138	4989	+	23S
LIB-MJ054-D3_03.2	k127_86288	5092	5209	+	5S
LIB-MJ054-D7_03.2	k127_40031	5618	5732	-	5S
LIB-MJ054-E10_03.11	k127_8839	6021	6136	-	5S
LIB-MJ054-E10_03.4	k127_132727	6762	6875	-	5S
LIB-MJ054-E10_03.9	k127_167457	7232	7319	-	(partial) 5S
LIB-MJ054-E10_03.9	k127_150384	2682	2791	-	(5' truncated) 5S
LIB-MJ054-E11_03.1	k127_420678	487	601	+	5S
LIB-MJ054-E4_03.2	k127_92049	1	1785	+	(partial) 23S
LIB-MJ054-E4_03.2	k127_92049	1906	2022	+	5S
LIB-MJ054-E8_03.1	k127_39913	3704	3820	-	5S
LIB-MJ054-E9_03.3	k127_43512	2513	2620	-	5S
LIB-MJ054-F11_03.2	k127_54871	2	117	+	5S
LIB-MJ054-F11_03.2	k127_7351	10	125	+	5S
LIB-MJ054-F11_03.3	k127_34912	1	87	+	(partial) 5S
LIB-MJ054-F11_03.3	k127_33641	1627	1713	-	(partial) 5S
LIB-MJ054-F6_03.5	k127_94952	2451	2566	-	5S
LIB-MJ054-F6_03.5	k127_121897	1	2570	-	23S
LIB-MJ054-F6_03.5	k127_31213	765	2275	-	16S
LIB-MJ054-F6_03.5	k127_110486	1	1615	-	(partial) 23S
LIB-MJ054-F8_03.3	k127_69141	6544	6660	-	5S
LIB-MJ054-F9_03.3	k127_65766	7	119	+	5S
LIB-MJ054-F9_03.3	k127_108654	7	119	+	5S
LIB-MJ054-G2_03.2	k127_26700	4657	5450	+	(partial) 16S
LIB-MJ054-G2_03.2	k127_66299	1779	1893	-	5S
LIB-MJ054-G6_03.12	k127_57468	1900	2016	-	5S
LIB-MJ054-G6_03.12	k127_62378	4700	4816	-	5S
LIB-MJ054-G6_03.17	k127_258486	4643	5440	+	(partial) 16S
LIB-MJ054-G6_03.2	k127_258802	9618	10608	+	(partial) 16S
LIB-MJ054-G7_03.2	k127_30385	248	362	+	5S
LIB-MJ054-G7_03.5	k127_138512	4378	4492	-	5S
LIB-MJ054-H10_03.9	k127_116243	1218	2188	+	(partial) 16S
LIB-MJ054-H5_03.2	k127_86094	1	926	+	(partial) 23S
LIB-MJ054-H5_03.2	k127_86094	1101	1215	+	5S
LIB-MJ055-A12_04.14	k127_88626	12784	12900	-	5S
LIB-MJ055-A12_04.14	k127_88626	13099	14120	-	(partial) 23S
LIB-MJ055-A12_04.4	k127_36765	22344	22460	-	5S
LIB-MJ055-A2_04.5	k127_2830	1500	1614	-	5S
LIB-MJ055-A6_04.12	k127_94062	1	1036	+	(partial) 23S
LIB-MJ055-A6_04.12	k127_94062	1209	1323	+	5S
LIB-MJ055-A6_04.9	k127_2163	1674	1762	-	(partial) 5S
LIB-MJ055-B6_04.25	k127_278587	1430	1543	-	(5' truncated) 5S
LIB-MJ055-B6_04.26	k127_238420	1824	1940	-	5S
LIB-MJ055-B7_04.10	k127_372538	2406	2522	-	5S
LIB-MJ055-B7_04.14	k127_259488	4	120	+	5S
LIB-MJ055-B8_04.11	k127_13197	12	127	+	5S
LIB-MJ055-B8_04.11	k127_13233	10	125	+	5S
LIB-MJ055-B8_04.6	k127_81283	4892	5007	-	5S
LIB-MJ055-B8_04.6	k127_92499	2	117	+	5S
LIB-MJ055-B8_04.6	k127_71690	3209	3324	-	5S
LIB-MJ055-B8_04.6	k127_20882	2	117	+	5S
LIB-MJ055-B9_04.18	k127_207149	1048	1164	-	5S
LIB-MJ055-B9_04.22	k127_542098	1276	1394	-	5S
LIB-MJ055-B9_04.4	k127_288256	380	2393	+	(partial) 23S
LIB-MJ055-B9_04.4	k127_557268	167	281	+	5S
LIB-MJ055-B9_04.6	k127_258342	276	390	+	5S
LIB-MJ055-C7_04.13	k127_31428	1867	1981	-	5S
LIB-MJ055-C7_04.2	k127_6752	310	424	+	5S
LIB-MJ055-C9_04_v_LIB-MJ415-H11_04.25	k127_237763	1	88	+	(partial) 5S
LIB-MJ055-C9_04_v_LIB-MJ415-H11_04.45	k127_412303	11	118	+	5S
LIB-MJ055-D6_04.5	k127_184509	2794	2910	-	5S
LIB-MJ055-D7_04.1	k127_106313	245	359	+	5S
LIB-MJ055-D7_04.12	k127_25957	6085	7064	+	(partial) 16S
LIB-MJ055-D7_04.12	k127_854360	461	2486	+	(partial) 23S
LIB-MJ055-D7_04.5	k127_806507	7470	7586	-	5S
LIB-MJ055-D7_04.5	k127_746787	1	2353	-	(3' truncated) 23S
LIB-MJ055-D7_04.5	k127_746787	2610	4129	-	16S
LIB-MJ055-E1_04.1	k127_32504	289	405	+	5S
LIB-MJ055-E2_04.39	k127_736656	7	119	+	5S
LIB-MJ055-E2_04.39	k127_482739	7	119	+	5S
LIB-MJ055-E4_04.12	k127_38878	4	120	+	5S
LIB-MJ055-E9_04.3	k127_98124	1554	2518	+	(partial) 16S
LIB-MJ055-F11_04.2	k127_16344	270	384	+	5S
LIB-MJ055-F11_04.2	k127_96931	2882	2996	-	5S
LIB-MJ055-F4_04.2	k127_3201	1	109	+	(5' truncated) 5S
LIB-MJ055-F4_04.2	k127_13896	2760	2868	-	(5' truncated) 5S
LIB-MJ055-F4_04.3	k127_3255	9345	9460	-	5S
LIB-MJ055-F4_04.3	k127_15837	2258	2373	-	5S
LIB-MJ055-F4_04.3	k127_17183	1574	1667	-	(partial) 5S
LIB-MJ055-F4_04.3	k127_17253	5154	5247	-	(partial) 5S
LIB-MJ055-F8_04.16	k127_149070	229	345	+	5S
LIB-MJ055-F8_04.17	k127_120323	419	535	+	5S
LIB-MJ055-F8_04.17	k127_286728	6595	6711	-	5S
LIB-MJ055-F8_04.21	k127_32534	319	433	+	5S
LIB-MJ055-F8_04.4	k127_21480	339	453	+	5S
LIB-MJ055-G4_04.4	k127_122136	2564	2680	-	5S
LIB-MJ055-G6_04.1	k127_114063	1	86	+	(partial) 5S
LIB-MJ055-G6_04.11	k127_8878	1	110	+	(5' truncated) 5S
LIB-MJ055-G6_04.11	k127_46580	1	110	+	(5' truncated) 5S
LIB-MJ055-G8_04.1	k127_133389	1	105	+	(5' truncated) 5S
LIB-MJ055-G8_04.15	k127_212653	6804	6906	-	(5' truncated) 5S
LIB-MJ055-G8_04.20	k127_23288	17278	17394	-	5S
LIB-MJ055-G8_04.21	k127_139944	2023	2139	-	5S
LIB-MJ055-G8_04.21	k127_144424	1936	2057	-	5S
LIB-MJ055-G8_04.21	k127_189409	717	2126	+	(partial) 23S
LIB-MJ055-H6_04.13	k127_204400	3304	3420	-	5S
LIB-MJ055-H8_04.2	k127_107322	1425	1543	-	5S
