Genus,n_observations,n_abundant,mean_abundance,Genus_type,complex2,group_size,Core,prevalence,fidelity
MFD_g_2744,84,64,0.262307243919241,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.743362831858407,6
Conexibacter,99,81,0.261424054545776,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.876106194690266,24
Syntrophorhabdus,85,59,0.246409835196863,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.752212389380531,5
MFD_g_18840,87,63,0.24111069895607,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.769911504424779,1
MFD_g_758,88,59,0.229629237101019,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.778761061946903,2
MFD_g_875,80,62,0.222563722113296,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.707964601769912,14
Anaerolinea,91,57,0.220797343366365,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.805309734513274,3
Syntrophus,81,60,0.220797343366365,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.716814159292035,2
Gemmatimonas,92,66,0.217264585872503,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.814159292035398,15
MFD_g_8,89,64,0.214615017752106,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.787610619469027,23
Iamia,82,59,0.210199070884779,Core,"Sediment, Natural, Freshwater, Running freshwater",113,57,0.725663716814159,11
Bacillus,69,67,1.97762369996848,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.907894736842105,27
Clostridium_sensu_stricto_13,63,57,1.38407395734846,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.828947368421053,11
Clostridium_sensu_stricto_1,68,64,1.25275764260952,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.894736842105263,12
Mycobacterium,75,68,0.881132471898309,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.986842105263158,30
MFD_g_2945,71,71,0.780018909549323,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.93421052631579,6
Spirochaeta,67,58,0.690723815526842,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.881578947368421,5
Desulfobacca,70,61,0.635570963336485,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.921052631578947,5
Methanosaeta,63,54,0.594862905767413,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.828947368421053,3
MFD_g_782,68,65,0.535770564134888,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.894736842105263,16
Methanoregula,58,49,0.459607101586301,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.763157894736842,3
MFD_g_7353,57,48,0.456980775291522,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.75,2
Syntrophorhabdus,60,52,0.451728122701965,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.789473684210526,5
Haliangium,69,53,0.417585880869839,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.907894736842105,27
Methanobacterium,57,49,0.395262107364219,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.75,3
MFD_g_40582,67,54,0.383443639037714,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.881578947368421,2
Sva0081_sediment_group,53,42,0.368998844416431,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.697368421052632,6
Anaeromyxobacter,55,41,0.354554049795147,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.723684210526316,3
Pseudolabrys,51,40,0.353240886647757,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.671052631578947,9
MFD_g_2750,66,54,0.34667507091081,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.868421052631579,3
Hyphomicrobium,69,54,0.334856602584305,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.907894736842105,15
Pir4_lineage,62,44,0.332230276289526,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.81578947368421,23
MFD_g_4212,61,49,0.328290786847358,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.802631578947369,5
Gaiella,51,40,0.326977623699969,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.671052631578947,19
Anaerolinea,56,49,0.325664460552579,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.736842105263158,3
Methanosarcina,60,48,0.316472318520853,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.789473684210526,4
Luteolibacter,60,43,0.299401197604791,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.789473684210526,6
MFD_g_5535,64,50,0.292835381867843,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.842105263157895,17
Bryobacter,52,38,0.288895892425675,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.68421052631579,23
Leptolinea,55,41,0.275764260951781,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.723684210526316,3
MFD_g_12187,46,38,0.274451097804391,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.605263157894737,1
MFD_g_657,48,38,0.273137934657002,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.631578947368421,3
MFD_g_561,50,38,0.273137934657002,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.657894736842105,3
ADurb.Bin063-1,61,50,0.245561508561824,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.802631578947369,3
MFD_g_2480,56,39,0.240308855972266,Core,"Sediment, Natural, Freshwater, Standing freshwater",76,38,0.736842105263158,6
Sva0081_sediment_group,11,10,2.17746325530757,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,6
Subgroup_23,10,10,1.67846125929958,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Ilumatobacter,11,10,1.44256940664126,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,11
Woeseia,11,11,1.28833242605698,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,3
MFD_g_251212,11,11,1.23389584467429,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,2
MFD_g_12100,11,10,1.04336780983488,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,2
Cyanobium_PCC-6307,10,9,1.02522228270731,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Muriicola,9,9,0.834694247867901,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
Subgroup_10,10,10,0.807475957176556,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,20
Desulfosarcina,10,9,0.789330430048993,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
MFD_g_3142,10,10,0.789330430048993,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Ca_Thiobios,10,10,0.725821085102523,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
Lewinella,10,10,0.725821085102522,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Blastopirellula,11,11,0.653238976592271,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,2
Ulvibacter,10,10,0.635093449464707,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
MFD_g_938,9,8,0.598802395209582,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,1
MFD_g_10515,10,10,0.580656868082018,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
Robiginitalea,8,7,0.544365813826892,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.727272727272727,1
Klebsiella,11,9,0.544365813826891,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,3
MFD_g_15278,10,7,0.53529305026311,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
MFD_g_3995,11,8,0.53529305026311,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,3
Rhodopirellula,10,9,0.526220286699329,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
MFD_g_9796,10,10,0.526220286699329,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
MFD_g_1342,8,8,0.517147523135547,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.727272727272727,3
Halioglobus,9,7,0.508074759571766,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
MFD_g_34995,9,8,0.489929232444203,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
Maribacter,10,9,0.480856468880421,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Lutimonas,10,9,0.480856468880421,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
Maritimimonas,7,7,0.453638178189077,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,2
MFD_g_13622,9,6,0.444565414625294,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,1
Defluviicoccus,9,9,0.408274360370169,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,4
Thiogranum,10,9,0.408274360370169,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
Arcticiflavibacter,7,6,0.390128833242606,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,2
Lutibacter,9,8,0.381056069678824,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
Haloferula,9,7,0.35383777898748,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,1
MFD_g_12867,10,8,0.335692251859917,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,1
MFD_g_15309,10,8,0.326619488296135,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
Urania-1B-19_marine_sediment_group,9,7,0.308473961168573,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
Winogradskyella,9,7,0.308473961168572,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,3
Thiohalocapsa,9,6,0.308473961168572,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,1
R76-B128,10,9,0.29940119760479,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
SEEP-SRB1,7,6,0.29940119760479,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,3
Sulfurimonas,7,6,0.281255670477227,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,1
OM60NOR5_clade,10,7,0.281255670477227,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Portibacter,11,8,0.272182906913446,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,2
Roseibacillus,10,9,0.272182906913446,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Anderseniella,9,9,0.272182906913446,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
Sedimenticola,6,6,0.272182906913446,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.545454545454545,1
MFD_g_3425,10,8,0.263110143349664,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,3
Spirochaeta_2,8,7,0.254037379785883,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.727272727272727,1
Actibacter,8,7,0.244964616222101,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.727272727272727,1
Rubripirellula,9,8,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,2
MFD_g_2744,10,8,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,6
MFD_g_13382,11,7,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,1,2
MFD_g_25202,8,7,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.727272727272727,1
MFD_g_17283,10,6,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,1
Eudoraea,7,6,0.23589185265832,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,1
MFD_g_12425,7,6,0.226819089094538,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,1
IheB3-7,10,6,0.226819089094538,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
LCP-80,9,7,0.199600798403194,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.818181818181818,1
MFD_g_3191,7,6,0.199600798403194,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,1
MFD_g_5611,7,6,0.190528034839412,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.636363636363636,2
MFD_g_5665,10,7,0.190528034839412,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.909090909090909,2
MFD_g_8708,6,6,0.181455271275631,Core,"Sediment, Natural, Saltwater, Fjords",11,6,0.545454545454545,2
Woeseia,30,30,2.53160345974717,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,1,3
Subgroup_10,28,27,1.89288090485695,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.933333333333333,20
Sva0081_sediment_group,30,29,1.74983366600133,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,1,6
Ilumatobacter,30,30,1.28409846972721,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,1,11
Subgroup_23,27,25,1.25083166999335,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,3
MFD_g_251212,29,27,1.23087159015303,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.966666666666667,2
MFD_g_3995,29,29,1.17764471057884,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.966666666666667,3
Muriicola,24,24,1.01796407185629,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,2
Maribacter,27,24,0.998003992015969,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,3
Blastopirellula,30,29,0.861610113107119,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,1,2
Maritimimonas,28,21,0.768463073852295,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.933333333333333,2
Rhodopirellula,30,30,0.698602794411178,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,1,3
Ca_Thiobios,25,24,0.6187624750499,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,2
MFD_g_3142,24,20,0.605455755156354,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,3
MFD_g_12100,28,23,0.565535595475716,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.933333333333333,2
Urania-1B-19_marine_sediment_group,29,25,0.525615435795077,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.966666666666667,2
Sva0996_marine_group,27,27,0.518962075848303,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,2
Arcticiflavibacter,27,24,0.518962075848303,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,2
Klebsiella,29,29,0.51230871590153,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.966666666666667,3
MFD_g_10515,22,19,0.499001996007984,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.733333333333333,2
Cyanobium_PCC-6307,19,15,0.485695276114438,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.633333333333333,3
MFD_g_34995,21,18,0.43579507651364,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.7,2
Lutibacter,25,19,0.43579507651364,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,2
MFD_g_1342,23,16,0.43579507651364,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.766666666666667,3
Granulosicoccus,23,16,0.392548236859614,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.766666666666667,2
Halioglobus,26,20,0.389221556886228,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.866666666666667,2
Desulfosarcina,24,18,0.372588157019295,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,2
MFD_g_9796,24,21,0.365934797072522,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,2
Thiogranum,25,20,0.355954757152362,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,2
MFD_g_26747,21,18,0.349301397205589,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.7,1
Lewinella,27,20,0.345974717232203,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,3
Lutimonas,18,16,0.326014637391883,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.6,2
Roseibacillus,26,20,0.306054557551564,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.866666666666667,3
Portibacter,22,18,0.302727877578177,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.733333333333333,2
MFD_g_15278,22,20,0.302727877578177,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.733333333333333,2
MFD_g_32337,19,16,0.289421157684631,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.633333333333333,1
MFD_g_13382,27,18,0.266134397870925,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,2
SEEP-SRB1,21,15,0.262807717897538,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.7,3
Winogradskyella,22,16,0.262807717897538,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.733333333333333,3
MFD_g_3425,25,20,0.249500998003992,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,3
OM27_clade,26,18,0.249500998003992,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.866666666666667,1
Ulvibacter,26,16,0.249500998003992,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.866666666666667,2
OM60NOR5_clade,27,18,0.246174318030606,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.9,3
MFD_g_85185,16,15,0.246174318030605,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.533333333333333,1
Anderseniella,28,20,0.242847638057219,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.933333333333333,2
R76-B128,20,17,0.236194278110446,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.666666666666667,2
Pirellula,25,16,0.236194278110446,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,9
MFD_g_15309,25,21,0.232867598137059,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,2
MFD_g_2744,23,19,0.229540918163673,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.766666666666667,6
Rubripirellula,24,18,0.226214238190286,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,2
Pir4_lineage,25,19,0.21290751829674,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.833333333333333,23
MFD_g_8708,24,16,0.192947438456421,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.8,2
IheB3-7,21,16,0.189620758483034,Core,"Sediment, Natural, Saltwater, Open sea and tidal areas",30,15,0.7,2
Paenisporosarcina,19,18,3.3682634730539,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.527777777777778,1
SEEP-SRB1,34,34,2.94965624306942,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.944444444444444,3
MFD_g_2740,35,34,2.84985584386782,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.972222222222222,1
Subgroup_23,36,34,1.53858948769128,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,1,3
MFD_g_4585,34,29,1.21701042359725,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.944444444444444,1
Subgroup_10,33,32,1.02849855843868,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,20
MFD_g_2519,35,30,0.94810379241517,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.972222222222222,1
MFD_g_412,32,28,0.912064759370149,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.888888888888889,1
Sulfurovum,27,26,0.862164559769351,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.75,1
Pir4_lineage,35,34,0.812264360168553,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.972222222222222,23
MFD_g_2285,25,20,0.74573076070082,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.694444444444445,1
Mycobacterium,33,33,0.74018629407851,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,30
MFD_g_1316,31,25,0.737414060767355,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.861111111111111,1
Desulfatiglans,30,29,0.715236194278111,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.833333333333333,1
MFD_g_1435,33,29,0.687513861166556,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,1
MFD_g_235141,27,22,0.637613661565758,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.75,1
MFD_g_1342,31,29,0.59325792858727,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.861111111111111,3
Sva0081_sediment_group,33,29,0.576624528720337,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,6
MFD_g_841,32,25,0.537813262364161,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.888888888888889,7
Clostridium_sensu_stricto_13,25,23,0.521179862497228,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.694444444444445,11
MFD_g_9463,30,27,0.493457529385674,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.833333333333333,1
MFD_g_3142,31,29,0.479596362829896,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.861111111111111,3
MFD_g_2744,33,30,0.47127966289643,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,6
MFD_g_3425,33,25,0.438012863162564,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.916666666666667,3
Spirochaeta,27,24,0.435240629851409,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.75,5
MFD_g_4140,30,26,0.424151696606787,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.833333333333333,1
MFD_g_6603,27,24,0.413062763362164,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.75,1
MFD_g_1112,27,24,0.407518296739854,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.75,1
MFD_g_4912,26,26,0.390884896872921,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.722222222222222,1
MFD_g_1191,28,24,0.379795963628299,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.777777777777778,1
MFD_g_3995,30,23,0.368707030383677,Core,"Sediment, Subterranean, Saltwater, Open sea",36,18,0.833333333333333,3
