project_id,fieldsample_barcode,sampling_date,latitude,longitude,habitat_typenumber,sitename,mfd_sampletype,mfd_areatype,mfd_hab1,mfd_hab2,mfd_hab3,coords_reliable
P08_1,MFD00033,2019-07-31,57.618,10.3366,2130,4245-13,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P09_1,MFD00034,2019-09-03,57.15875886,9.851490562,3150,NOR84913,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00035,2019-08-21,56.4413,9.8146,6230,overdrev-2491,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00036,2019-08-21,56.4422,9.8107,7220,mose-2489,Soil,Natural,"Bogs, mires and fens",Calcareous fens,Petrifying springs,Yes
P08_1,MFD00037,2019-08-21,56.4422,9.8386,7200,mose-2468,Soil,Natural,"Bogs, mires and fens",Calcareous fens,,Yes
P08_1,MFD00038,2019-09-03,55.3724,9.8969,7700,Mose-255,Soil,Natural,"Bogs, mires and fens",Wet thicket  (non-habitat type),,Yes
P08_1,MFD00039,2019-09-05,55.3732,9.8757,6430,Eng-215,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00040,2019-09-05,55.3656,9.9031,91E0,Mose-233.5,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00041,2019-08-14,56.0563,9.6281,4110,615-B6-mo-17,Soil,Natural,Temperate heath and scrub,Temperate heath,Wet heath,Yes
P08_1,MFD00042,2019-09-05,55.3726,9.93,6230,Overdrev-272,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00044,2019-09-03,55.5668,9.9426,6230,Overdrev-275,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00045,2019-08-22,56.4077,9.7857,6430,mose-5258,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00046,2019-09-03,55.3853,9.9397,6230,Overdrev-264,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00048,2019-08-22,56.4439,9.8139,6230,overdrev-5264,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00049,2019-07-24,56.8615,10.2261,6410,4631-10,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Molinia meadows,Yes
P08_1,MFD00050,2019-07-29,56.8482,10.2698,2130,4215-1,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00051,2019-08-05,55.5638,8.9273,9100,Klelund 29-5,Soil,Natural,Forests,Temperate forests,,Yes
P08_1,MFD00052,2019-08-05,55.5974,8.9145,9100,Klelund 26-5,Soil,Natural,Forests,Temperate forests,,Yes
P08_1,MFD00053,2019-07-31,57.4834,10.5056,6410,Strandby 104,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Molinia meadows,Yes
P08_1,MFD00054,2019-07-29,56.8422,10.2487,5130,4529-2,Soil,Natural,Sclerophyllus scrub,Scrub,Juniper scrub,Yes
P08_1,MFD00055,2019-08-06,56.4679,8.904,9190,Klelund 3-3,Soil,Natural,Forests,Temperate forests,Oak forest  Old acidophilous woods with Q. robur on sandy plains,Yes
P08_1,MFD00056,2019-08-10,56.2239,8.6113,4130,Prëstbjerghede,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00057,2019-08-12,55.8121,11.4939,6430,Odsherred 1-5,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00058,2019-08-12,55.3951,11.3665,9130,Teglparken,Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00059,2019-08-05,55.565,8.9196,9190,Klelund 2-5,Soil,Natural,Forests,Temperate forests,Oak forest  Old acidophilous woods with Q. robur on sandy plains,Yes
P08_1,MFD00060,2019-07-23,56.8384,9.9158,6230,4586-14,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00061,2019-08-07,55.6053,8.8925,6400,Klelund 1-7,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,,Yes
P08_1,MFD00062,2019-07-30,57.031,10.3637,2130,4254-4,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00063,2019-08-12,55.7935,11.5172,6430,Odsherred 2-9,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00064,2019-08-14,55.2635,11.2815,9130,Skelsk?r lystskov,Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00065,2019-08-23,55.5747,9.1917,6430,LUJ-B-25.2,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00066,2019-08-28,55.6611,9.3801,6410,"Vesterby by, ?dsted",Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Molinia meadows,Yes
P08_1,MFD00067,2019-08-27,55.8747,9.2972,7700,"Sejrup By, Thyregod m.fl",Soil,Natural,"Bogs, mires and fens",Wet thicket  (non-habitat type),,Yes
P08_1,MFD00068,2019-08-27,55.8786,9.3609,6230,267-1,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00069,2019-08-08,55.6018,8.8833,4110,Klelund 14-3,Soil,Natural,Temperate heath and scrub,Temperate heath,Wet heath,Yes
P08_1,MFD00070,2019-08-22,55.5847,9.2789,4110,LUS-A-1,Soil,Natural,Temperate heath and scrub,Temperate heath,Wet heath,Yes
P08_1,MFD00071,2019-08-14,56.054,9.6292,6230,615-B6-ov-03,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00072,2019-08-14,55.4185,11.4082,6210,Skovs?,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Calcareous grassland,Yes
P08_1,MFD00073,2019-08-14,56.0556,9.6227,4110,615-B6-mo-05,Soil,Natural,Temperate heath and scrub,Temperate heath,Wet heath,Yes
P08_1,MFD00074,2019-08-28,55.6785,9.3007,6230,"3h, Lihmskov By, N?rup",Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00075,2019-08-29,55.6,9.3469,6230,123-2,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00076,2019-09-05,55.3736,9.9241,6430,Eng-279,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00077,2019-07-24,56.8588,10.225,7100,4627-04,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,,Yes
P08_1,MFD00078,2019-07-24,56.8715,10.1991,7120,4629-3,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Degraded raised bog,Yes
P08_1,MFD00079,2019-08-23,55.569,9.3465,6430,LUJ-B-27,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00080,2019-08-05,55.5729,8.9103,6410,Klelund 20-5,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Molinia meadows,Yes
P08_1,MFD00081,2019-09-05,55.3592,9.8762,1330,Strandeng-280,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00082,2019-07-23,56.7952,9.974,7120,4640-2,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Degraded raised bog,Yes
P08_1,MFD00083,2019-08-06,55.5983,8.9002,5130,Klelund 6-5,Soil,Natural,Sclerophyllus scrub,Scrub,Juniper scrub,Yes
P08_1,MFD00084,2019-08-20,55.4304,9.4389,6430,KOS-5,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00085,2019-08-02,57.6228,10.3086,2130,4246-13,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00086,2019-07-23,56.7901,9.9821,7110,4640-3,Soil,Natural,"Bogs, mires and fens",Sphagnum acid bogs,Active raised bogs,Yes
P08_1,MFD00087,2019-08-05,55.5929,8.9124,9100,Klelund 41-1,Soil,Natural,Forests,Temperate forests,,Yes
P08_1,MFD00088,2019-08-02,57.6275,10.3059,2130,4249-14,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P09_1,MFD00089,2019-09-04,56.76726363,8.288747359,3150,VIB5544335,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00090,2019-08-29,55.2727,11.4034,91E0,Mose-25,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P09_1,MFD00091,2019-09-04,56.99529015,8.481888091,3130,VIB157-001,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Mixed Najas flexilis",Yes
P09_1,MFD00092,2019-09-04,57.05494642,8.886989915,3160,VIB153-001,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Dystrophic",Yes
P09_1,MFD00093,2019-09-02,56.71661776,9.799110271,3150,NOR80112,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00094,2019-08-28,55.462,11.3908,7700,Mose-37,Soil,Natural,"Bogs, mires and fens",Wet thicket  (non-habitat type),,Yes
P09_1,MFD00095,2019-09-02,56.86861734,9.415277998,3130,NOR86102,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Mixed Najas flexilis",Yes
P09_1,MFD00096,2019-09-05,57.04085179,9.860014546,3150,NOR85109,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P09_1,MFD00097,2019-09-04,56.87326598,8.329326624,3130,VIB5557818,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Mixed Najas flexilis",Yes
P08_1,MFD00098,2019-08-28,55.4625,11.3865,7700,Eng-5,Soil,Natural,"Bogs, mires and fens",Wet thicket  (non-habitat type),,Yes
P09_1,MFD00099,2019-09-04,56.81869104,8.316557135,3150,VIB063-001,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P09_1,MFD00100,2019-09-04,56.69892491,8.511604843,3170,VIB5542708,Sediment,Natural,Freshwater,Standing freshwater,Lake shores and lagoons,Yes
P09_1,MFD00101,2019-09-04,56.86828113,8.827516343,3170,VIB5624501,Sediment,Natural,Freshwater,Standing freshwater,Lake shores and lagoons,Yes
P08_1,MFD00102,2019-08-28,55.4554,11.2152,6430,Mose-31,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00103,2019-08-27,55.4068,11.282,7230,Mose-36,Soil,Natural,"Bogs, mires and fens",Calcareous fens,Alkaline fens,Yes
P09_1,MFD00104,2019-09-04,56.93706833,8.594150706,3160,VIB132-001,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Dystrophic",Yes
P09_1,MFD00105,2019-09-04,56.83634122,8.315940599,3100,VIB5545149,Sediment,Natural,Freshwater,Standing freshwater,,Yes
P09_1,MFD00106,2019-09-04,56.99630932,8.476376247,3130,VIB154-001,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Mixed Najas flexilis",Yes
P08_1,MFD00107,2019-08-29,55.3173,11.4087,91E0,Mose-43-1,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P09_1,MFD00108,2019-09-02,56.97581165,9.928697571,3150,NOK85101,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P09_1,MFD00109,2019-09-03,57.35799579,10.26413432,3150,NOR84702,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00110,2019-08-27,55.3641,11.2038,6430,Mose-2,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P09_1,MFD00111,2019-09-02,56.70262512,9.857837977,3150,NOR80107,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P09_1,MFD00112,2019-09-02,56.72775966,9.801683656,3160,NOR80111,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Dystrophic",Yes
P09_1,MFD00113,2019-09-02,56.68525812,9.799817251,3150,NOR80108,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P09_1,MFD00114,2019-09-03,57.49810154,10.20501369,3150,NOR83902,Sediment,Natural,Freshwater,Standing freshwater,"Lake, Rich pondweed",Yes
P08_1,MFD00115,2019-08-29,55.3166,11.419,7220,Mose-44,Soil,Natural,"Bogs, mires and fens",Calcareous fens,Petrifying springs,Yes
P09_1,MFD00116,2019-09-02,56.88549608,9.170872596,3170,NOR16500001,Sediment,Natural,Freshwater,Standing freshwater,Lake shores and lagoons,Yes
P08_1,MFD00117,2019-08-29,55.2725,11.4055,6430,Mose-41,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00118,2019-09-18,56.4809,8.8984,9190,3067-21,Soil,Natural,Forests,Temperate forests,Oak forest  Old acidophilous woods with Q. robur on sandy plains,Yes
P08_1,MFD00119,2019-09-19,56.1254,9.4993,91E0,3039-04,Soil,Natural,Forests,Temperate forests,Alluvial woodland,Yes
P08_1,MFD00120,2019-09-16,56.0871,10.2354,9130,Skovm?llevej,Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00121,2019-09-17,56.4728,9.6298,9160,3066-05,Soil,Natural,Forests,Temperate forests,Oak-hornbeam mixed forest,Yes
P08_1,MFD00122,2019-09-20,55.6739,9.8423,9150,3033-04,Soil,Natural,Forests,Temperate forests,Beech forests Limestone,Yes
P08_1,MFD00123,2019-09-16,56.1008,10.2384,9150,3034-12,Soil,Natural,Forests,Temperate forests,Beech forests Limestone,Yes
P08_1,MFD00124,2019-09-22,56.8901,9.0981,6230,1093-33,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00125,2019-09-18,56.3674,9.3585,9110,3065-5003,Soil,Natural,Forests,Temperate forests,Beech forests Luzulo-Fagetum,Yes
P08_1,MFD00126,2019-10-21,57.2397,10.955,4130,1057-102,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00127,2019-09-16,56.0808,10.2295,9130,3032-4,Soil,Natural,Forests,Temperate forests,Beech forests Asperulo-Fagetum,Yes
P08_1,MFD00128,2019-09-19,56.0598,9.6182,91D0,3041-01,Soil,Natural,Forests,Temperate forests,Bog woodland,Yes
P08_1,MFD00129,2019-09-19,56.1254,9.4998,91D0,3039-15,Soil,Natural,Forests,Temperate forests,Bog woodland,Yes
P08_1,MFD00130,2019-09-27,56.8224,9.6157,6230,4589-12,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00131,2019-09-29,57.0004,10.3426,1330,4156-1,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00132,2019-10-20,57.3166,11.0886,2140,5669-2,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00133,2019-10-20,57.3097,11.0301,2130,4347-2,Soil,Natural,Dunes,Sea dunes,Fixed dunes (grey dunes),Yes
P08_1,MFD00134,2019-09-24,57.0458,8.5838,2190,4406-1,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00135,2019-09-28,57.0174,10.3549,2190,4442-13,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00136,2019-10-19,57.3201,11.1684,2140,4323-1,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00137,2019-10-20,57.3088,11.0343,2140,4345-4,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00138,2019-09-26,57.4773,10.5126,1330,4102-12,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00141,2019-10-21,57.3173,11.0504,2110,Nordmarken,Soil,Natural,Dunes,Sea dunes,Embryonic shifting dunes,Yes
P08_1,MFD00142,2019-10-23,57.2383,11.0582,4130,4515-3,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00143,2019-09-24,57.1395,9.3947,2190,4441-3,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00144,2019-09-18,56.4847,8.894,9190,3067-01,Soil,Natural,Forests,Temperate forests,Oak forest  Old acidophilous woods with Q. robur on sandy plains,Yes
P08_1,MFD00145,2019-09-17,56.3986,9.3639,9190,3070-13,Soil,Natural,Forests,Temperate forests,Oak forest  Old acidophilous woods with Q. robur on sandy plains,Yes
P08_1,MFD00146,2019-09-26,57.2092,10.5123,1330,4155-2,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00147,2019-09-11,56.7005,8.4658,6230,5090-2,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00148,2019-09-18,57.7379,10.6237,2190,4427-8,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00149,2019-09-10,57.0571,8.5522,4130,4307-7,Soil,Natural,Temperate heath and scrub,Temperate heath,Dry heath,Yes
P08_1,MFD00150,2019-09-20,57.7393,10.5925,2190,4428-4,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00151,2019-09-10,57.0708,8.604,2140,4310,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00152,2019-09-17,57.6302,10.3204,2190,4439-1,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00153,2019-09-12,57.0276,8.5449,2190,4408-11,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00154,2019-09-12,57.0522,8.9284,2190,4411-11,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00155,2019-09-16,57.6314,10.3409,2190,4437-16,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00156,2019-09-10,57.0714,8.5965,2140,4310-7,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00157,2019-09-11,56.7934,8.628,1330,4038-4,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00158,2019-09-09,57.0692,8.6417,2140,4308-4,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00159,2019-09-10,57.0557,8.5586,2140,4307-9,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00160,2019-09-16,57.6305,10.3374,6430,4438-22,Soil,Natural,Grassland formations,Semi-natural tall-herb humid meadows,Hydrophilous tall-herb swamp,Yes
P08_1,MFD00161,2019-09-19,57.7408,10.5709,2190,4424-10,Soil,Natural,Dunes,Sea dunes,Humid dune slacks,Yes
P08_1,MFD00162,2019-09-10,56.9924,8.9172,6230,1187-T10,Soil,Natural,Grassland formations,Semi-natural dry grasslands,Species-rich Nardus upland grassland,Yes
P08_1,MFD00163,2019-09-09,57.0805,8.623,2140,4309-11,Soil,Natural,Dunes,Sea dunes,Decalcified Empetrum dunes,Yes
P08_1,MFD00164,2019-09-10,56.7258,8.2404,1330,4043-2,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00165,2019-09-11,56.7943,8.6029,1330,4041-8,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P08_1,MFD00166,2019-09-12,56.9945,8.856,1330,4055-1,Soil,Natural,Coastal,Salt marshes and salt meadows,Atlantic salt meadows,Yes
P10_2,MFD00198,2018-12-11,56.8255,9.8112,3200,lindenborg Ü,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00199,2018-11-23,56.5964,10.0426,3200,Mariager fjord,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00200,2018-12-07,56.4786,10.4122,3200,hevring Ü,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00201,2018-11-26,56.3694,9.8979,3200,lilleÜ,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00202,2018-11-22,56.1275934,10.1386592,3200,d?deÜ,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00203,2018-11-23,56.6380187,9.8242309,3200,kirkedals bëk,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00204,2018-12-03,56.6939891,9.4413264,3200,bygumkër bëk,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00205,2018-12-03,56.894572,9.1699704,3200,elkangÜrd gr?ft,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00206,2018-12-07,56.3848136,10.3733582,3200,Alling è,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00207,2018-11-22,56.2123183,10.2427226,3200,vienge kanal,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00208,2018-12-07,56.4775128,10.1457771,3200,albëk m?llebëk,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00209,2018-11-28,56.8989608,10.0722806,3200,Lindenborg Ü,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00210,2018-11-26,56.4585541,10.0823053,3200,Randers fjord,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00211,2018-11-22,56.2116558,10.2407541,3200,vienge kanal,Sediment,Natural,Freshwater,Running freshwater,,Yes
P10_2,MFD00212,2018-12-07,56.5326801,10.2769338,3200,kare bëk,Sediment,Natural,Freshwater,Running freshwater,,Yes
