bin	Completeness	Contamination	Completeness_Model_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	N90	auN	N_per_100kb	cov	r_abund	wf_name	wf_mode	wf_v	wf_date
MFD00392_20.bin.3.46	52.06	1.27	Gradient Boost (General Model)	0.835	85100	226.075457875458	2201193	0.61	2730	26	283885	50897	121632.7	0	8.939083	0.34785178	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.3.47	51.42	0.68	Gradient Boost (General Model)	0.829	156421	218.301587301587	2167460	0.69	2772	19	273491	54053	163592.1	0	8.986785	0.34970805	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.3.59	54.27	0.92	Gradient Boost (General Model)	0.822	193123	228.705902192243	2452332	0.71	2965	20	351756	63796	196098.1	0	11.048153	0.4299233	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.4.139	56.03	8.58	Gradient Boost (General Model)	0.819	64143	194.985801217039	5189196	0.73	7395	104	426645	25711	108385.5	0	14.294235	0.55623996	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.4.31	67.98	5.41	Neural Network (Specific Model)	0.858	36052	359.732885769505	12272887	0.65	9831	426	155060	14263	45697.8	0	8.159233	0.317505	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_20.bin.4.54	51.46	5.5	Gradient Boost (General Model)	0.806	106194	226.991487636806	4148209	0.59	4934	56	462568	31725	205044	0	12.829874	0.49925646	MFD00392_20	Nanopore-simplex	1.0.2	2024-07-18
MFD00392_40.bin.1.23	92.75	1.69	Gradient Boost (General Model)	0.875	644889	298.057756751429	5165357	0.66	5073	13	869520	264255	563851.6	0	19.032534	0.26172546	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.10	57.82	0.62	Gradient Boost (General Model)	0.837	330266	230.442911512845	3438988	0.73	4204	13	505183	141224	326419.6	0	23.622921	0.32485008	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.101	55.19	1.83	Neural Network (Specific Model)	0.757	247485	173.269695227142	1179576	0.41	1739	7	377462	71472	232688.4	0	9.395523	0.12920232	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.103	51.9	6	Neural Network (Specific Model)	0.683	60942	144.990457056755	2505277	0.36	3982	63	166459	16750	70479.1	0	5.688798	0.078229375	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.104	55.19	0.58	Gradient Boost (General Model)	0.864	362134	282.781303602058	2278853	0.72	2332	12	425262	130445	285149	0	20.299252	0.2791447	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.106	66.52	1.32	Gradient Boost (General Model)	0.835	186174	240.209856547895	3705816	0.72	4322	26	374047	86621	207904.6	0	12.395866	0.17046148	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.108	76.87	1.82	Gradient Boost (General Model)	0.85	245106	265.717232202262	2804754	0.7	3006	14	356223	105633	248850	0	16.450735	0.2262219	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.109	83.13	1.87	Gradient Boost (General Model)	0.876	259605	276.564697220688	5115773	0.64	5433	27	431743	111339	261026.1	0	16.734428	0.2301231	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.11	56.8	0.48	Neural Network (Specific Model)	0.856	1097520	247.922179860955	3847752	0.69	4459	8	1363144	316023	911682.7	0	17.44168	0.23984888	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.110	68.29	1.11	Gradient Boost (General Model)	0.868	296496	254.638713745271	2773404	0.69	3172	17	454917	63922	279024.4	0	14.990908	0.20614713	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.111	87.57	0.11	Gradient Boost (General Model)	0.887	451032	270.728481222998	2740470	0.7	3009	9	613333	218245	440069.3	0	32.46126	0.4463903	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.113	50.32	0.45	Gradient Boost (General Model)	0.856	235866	241.686445607912	1443587	0.69	1719	12	364445	58009	216636	0	23.427286	0.32215983	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.114	67.83	0.26	Gradient Boost (General Model)	0.875	244186	276.022504327755	1632131	0.56	1733	13	353579	62888	226565.3	0	20.93913	0.287944	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.13	72.78	6.58	Gradient Boost (General Model)	0.865	238941	264.124342599549	2425229	0.71	2662	18	438890	65826	227856.4	0	29.91118	0.41132292	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.14	50.92	4.72	Gradient Boost (General Model)	0.855	211419	242.55057096248	2075739	0.69	2452	15	269413	65737	196348.3	0	9.716983	0.13362287	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.16	77.87	0.05	Neural Network (Specific Model)	0.876	462215	287.452001119507	3502466	0.71	3573	13	803304	117387	445506.9	0	24.310541	0.33430588	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.17	71.53	3.52	Gradient Boost (General Model)	0.9	324663	273.245426829268	2379174	0.67	2624	10	547182	96290	354955.8	0	22.960632	0.31574264	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.21	61.03	4.4	Gradient Boost (General Model)	0.852	352786	251.838559453586	2837467	0.7	3221	12	402868	115023	310929.5	0	16.250256	0.22346503	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.24	80.83	3.78	Gradient Boost (General Model)	0.854	304115	288.155742403975	5271145	0.65	5233	28	537238	90105	280044.2	0	17.501446	0.24067074	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.25	76.05	4.52	Gradient Boost (General Model)	0.833	262326	252.356092436975	6890369	0.57	7616	38	556353	90763	263387.5	0	15.680173	0.21562554	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.28	71.1	1.82	Gradient Boost (General Model)	0.849	306902	253.754022988506	2326416	0.71	2610	10	490416	111728	314010	0	18.857864	0.2593235	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.31	70.25	4.76	Neural Network (Specific Model)	0.835	103542	251.782998454405	2910415	0.68	3235	35	232972	43091	106336.3	0	6.0482388	0.08317222	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.32	65.45	3.47	Gradient Boost (General Model)	0.873	202446	251.697553743514	2316388	0.69	2698	17	464048	62058	227498.6	0	31.518953	0.4334322	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.33	50.88	6.31	Gradient Boost (General Model)	0.821	98472	222.703056768559	3131072	0.7	3893	38	236905	48074	111157.3	0	9.381016	0.12900282	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.36	50.97	0.14	Gradient Boost (General Model)	0.848	527055	237.571109871723	1497060	0.7	1793	3	730215	239790	580137.2	0	12.77496	0.17567457	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.44	78.31	0.79	Gradient Boost (General Model)	0.863	822340	250.037120359955	3070484	0.69	3556	12	851989	121549	538980.4	0	14.713903	0.2023379	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.51	61.44	2.35	Neural Network (Specific Model)	0.852	224402	260.150415973378	2742515	0.56	3005	13	436056	152868	260859	0	8.284001	0.11391726	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.62	75.96	3.21	Neural Network (Specific Model)	0.844	237941	255.048785823671	4124928	0.6	4571	25	438043	76337	240874	0	13.524412	0.18598065	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.66	81.53	4.22	Gradient Boost (General Model)	0.885	504132	275.273870967742	2881209	0.71	3100	8	816429	169141	505312.8	0	17.217243	0.23676252	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.7	68.72	2.07	Gradient Boost (General Model)	0.832	308775	271.666898954704	4190993	0.68	4305	17	629280	126079	347043.3	0	11.171279	0.15362158	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.81	69.54	5.55	Gradient Boost (General Model)	0.835	181504	228.369023569024	3618581	0.69	4455	29	650349	61351	314737.2	0	13.522326	0.18595198	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.84	89.46	6.5	Gradient Boost (General Model)	0.871	322993	268.100544121126	3884256	0.64	4227	27	553750	58436	289733	0	19.511963	0.26831833	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.85	62.04	9.68	Gradient Boost (General Model)	0.855	225262	241.975674091442	2877463	0.69	3412	26	599257	54046	292886.4	0	11.375187	0.15642563	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.86	55.95	4.29	Gradient Boost (General Model)	0.819	160369	227.338003296445	7011069	0.73	8494	91	369662	32643	161101.6	0	11.525903	0.15849818	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.87	58.42	3.85	Gradient Boost (General Model)	0.873	113388	255.549305802777	2450626	0.71	2809	29	255789	36270	132413.6	0	29.32029	0.4031973	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.89	58.39	5.42	Gradient Boost (General Model)	0.829	186344	219.002835051546	3046423	0.71	3880	27	354579	57205	184224.6	0	9.594977	0.13194512	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.9	72.97	0.93	Gradient Boost (General Model)	0.757	200409	202.988642230253	1547972	0.4	1937	10	584655	108803	319990.7	0	36.76811	0.50561583	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.93	96.18	7.89	Neural Network (Specific Model)	0.84	112571	287.368477531858	7632158	0.65	7455	86	246113	56109	117720.7	0	56.55568	0.7777241	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.94	68.05	0.72	Gradient Boost (General Model)	0.861	388936	251.11936530833	2406590	0.69	2773	7	663524	334737	432761.6	0	28.72709	0.39503995	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.95	67.3	8.02	Gradient Boost (General Model)	0.845	250967	257.321663533835	3875077	0.6	4256	23	381625	102218	246224.1	0	29.392706	0.40419313	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.2.99	64.01	0.86	Neural Network (Specific Model)	0.857	295737	267.513536142897	3338711	0.72	3583	15	496186	148469	310537.5	0	19.413645	0.2669663	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.111	52.7	2.82	Gradient Boost (General Model)	0.855	129267	238.591288782816	2781613	0.64	3352	28	321063	59241	140606.2	0	8.110348	0.11152927	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.12	56.81	0.29	Gradient Boost (General Model)	0.856	230381	260.637907912383	2032271	0.71	2237	11	467563	125042	258606.7	0	11.786457	0.1620812	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.120	52.86	2.88	Neural Network (Specific Model)	0.858	195940	244.384138785626	2058187	0.59	2421	15	392602	66317	199396.9	0	9.686328	0.13320133	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.142	71.31	1.9	Gradient Boost (General Model)	0.846	422633	245.598578069456	3164578	0.71	3657	14	614320	117570	382972.9	0	15.947928	0.21930757	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.143	56.4	8.14	Neural Network (Specific Model)	0.829	85829	225.783462033462	2521547	0.57	3108	34	216920	43589	101232.6	0	5.7169933	0.0786171	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.149	65.57	0.23	Gradient Boost (General Model)	0.872	289463	277.71154767609	1989544	0.61	2087	9	480911	123387	299382.2	0	28.532684	0.3923666	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.15	66.56	1.36	Gradient Boost (General Model)	0.903	249034	271.021126760563	2034957	0.67	2272	14	445624	50202	244211.5	0	15.051532	0.20698081	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.150	50.43	0.56	Neural Network (Specific Model)	0.672	94077	161.564913722268	1742572	0.29	2434	24	200341	36242	107936.1	0	7.9945226	0.1099365	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.182	55.41	5.57	Neural Network (Specific Model)	0.883	232510	277.353535353535	3898922	0.66	4158	20	392627	113193	235498.5	0	14.663629	0.20164655	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.283	54.07	4.15	Neural Network (Specific Model)	0.804	101894	217.797415782187	3493004	0.68	4334	56	217967	33988	103655.6	0	10.103036	0.13893166	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.345	50.29	3.99	Neural Network (Specific Model)	0.741	113542	189.957724425887	1462673	0.34	1916	15	249130	49771	148202.9	0	14.843776	0.20412384	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.348	56.6	5.3	Gradient Boost (General Model)	0.735	25057	156.166191832858	3969013	0.41	6318	198	155622	9335	42071.1	0	7.284663	0.10017489	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.362	52.86	1.27	Gradient Boost (General Model)	0.854	181298	253.118549511855	1900518	0.59	2151	14	293494	71473	182693.3	0	25.243416	0.34713426	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.401	55.29	0.59	Gradient Boost (General Model)	0.822	155125	212.163727959698	1520273	0.7	1985	16	203933	65747	136246.1	0	9.645679	0.13264234	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.423	63.54	3.7	Gradient Boost (General Model)	0.813	201547	219.566796149299	4755006	0.7	5921	49	531047	48850	221629.5	0	12.687403	0.17447053	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.456	51.04	3.96	Gradient Boost (General Model)	0.812	49872	210.66573215441	3571771	0.68	4637	108	136901	15021	53929.5	0	5.6701384	0.077972785	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.461	77.87	1.45	Gradient Boost (General Model)	0.846	832663	279.338081671415	5185245	0.68	5265	19	1261137	110227	655984.1	0	18.16264	0.24976315	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.481	52.21	6.9	Gradient Boost (General Model)	0.813	65770	212.661579609817	4935268	0.7	6356	97	271163	23506	103349.8	0	8.638564	0.11879302	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.3.586	57.34	2.78	Neural Network (Specific Model)	0.793	120314	196.912547528517	1360831	0.36	1841	12	342887	70850	206126.9	0	13.230714	0.18194185	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.4.160	53.91	5.53	Gradient Boost (General Model)	0.813	63292	218.725618999495	1583476	0.54	1979	32	99757	25013	63798.7	0	5.655153	0.07776671	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.4.172	53.91	8.8	Gradient Boost (General Model)	0.811	80772	207.21557336004	3030612	0.67	3994	60	514412	21762	152124.3	0	8.622882	0.11857737	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_40.bin.4.236	59.76	8.55	Gradient Boost (General Model)	0.824	79750	201.990738122172	10252229	0.7	14144	223	423456	19314	110978.7	0	10.505448	0.14446543	MFD00392_40	Nanopore-simplex	1.0.2	2024-07-28
MFD00392_60.bin.1.121	92.67	3.23	Gradient Boost (General Model)	0.861	252781	267.828750340321	3407962	0.56	3673	19	794715	83886	335524.4	0	25.122335	0.23093092	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.1.136	91.82	4.24	Gradient Boost (General Model)	0.882	353386	271.075444217885	3151282	0.68	3433	15	830781	106127	477240.2	0	21.194721	0.19482729	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.1.192	93.88	4.29	Gradient Boost (General Model)	0.89	351955	301.613215706625	5849267	0.63	5781	33	717852	76972	361539.6	0	22.809977	0.20967513	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.1.53	91.19	1.32	Gradient Boost (General Model)	0.892	486823	313.339066339066	4704330	0.66	4477	16	732499	153865	424735.1	0	26.472906	0.24334571	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.1.54	94.5	0.6	Gradient Boost (General Model)	0.874	427665	284.415228645384	4505720	0.71	4636	14	1223417	138644	555743.6	0	25.438082	0.23383336	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.101	70.18	1.89	Gradient Boost (General Model)	0.851	108049	261.53294084665	3271700	0.71	3567	34	585961	51252	189507.9	0	7.628836	0.070126206	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.102	57.91	4.67	Gradient Boost (General Model)	0.862	174203	262.273728170084	2393336	0.71	2634	26	324361	41724	186477.4	0	24.695196	0.22700456	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.103	53.15	0.58	Gradient Boost (General Model)	0.835	333167	239.484453781513	2031907	0.71	2380	12	494707	69191	289590.7	0	9.064845	0.08332637	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.104	65.39	4.75	Gradient Boost (General Model)	0.844	197247	238.921314102564	5256603	0.68	6240	30	1102397	72153	409238.5	0	14.143078	0.13000679	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.108	57.39	4.14	Gradient Boost (General Model)	0.82	282253	228.620358396453	4486102	0.72	5413	27	706296	87446	290975.5	0	18.456314	0.16965514	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.110	63.68	1.45	Gradient Boost (General Model)	0.862	265221	273.429444727458	3711282	0.66	3926	17	778691	115163	333588.8	0	11.368602	0.104503095	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.111	64.04	3.39	Gradient Boost (General Model)	0.848	95779	230.817318435754	4345809	0.62	5370	53	395229	40103	129477.6	0	6.8068476	0.06257028	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.112	66.42	2.38	Gradient Boost (General Model)	0.857	149010	259.945164506481	2724844	0.71	3009	28	358794	44097	180850.3	0	21.10743	0.1940249	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.114	79.7	1.21	Neural Network (Specific Model)	0.857	170846	276.391531481991	3505415	0.68	3637	25	389353	75253	207214	0	7.6683116	0.07048908	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.118	62.52	1.02	Gradient Boost (General Model)	0.837	202429	242.164861938278	3181974	0.72	3694	22	287676	89947	201742.7	0	16.64151	0.15297303	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.119	58.42	4.55	Gradient Boost (General Model)	0.907	160572	278.382014121145	2465705	0.67	2691	16	668732	66817	297216.2	0	32.09664	0.29504052	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.122	54.87	1.47	Gradient Boost (General Model)	0.83	107699	212.753029806747	2321365	0.68	3053	35	217428	33251	106517.1	0	8.61584	0.079199	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.123	60.69	6.3	Gradient Boost (General Model)	0.814	155982	217.745478204294	6106663	0.67	7685	53	394273	60950	176789.1	0	10.242115	0.094148144	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.124	52.82	0.09	Gradient Boost (General Model)	0.89	169099	278.917208752218	1583046	0.71	1691	10	290347	140196	184559.2	0	17.71478	0.16283879	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.126	66.87	1.07	Gradient Boost (General Model)	0.845	172890	248.911051766639	4272930	0.68	4868	30	307948	76671	177401.7	0	11.25713	0.10347842	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.128	59.51	2.03	Gradient Boost (General Model)	0.849	255919	259.333678220383	3525285	0.7	3866	16	500104	109405	283994	0	9.649168	0.08869762	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.129	88.4	2.85	Gradient Boost (General Model)	0.84	274437	264.276251568819	6737168	0.56	7171	42	470283	70473	263955	0	22.10159	0.20316344	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.130	52.79	4.24	Gradient Boost (General Model)	0.82	122066	207.205337519623	4771405	0.64	6370	45	311485	60082	135526.1	0	10.415038	0.09573769	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.135	55.24	5.23	Gradient Boost (General Model)	0.843	102605	226.382488479263	2253145	0.56	2821	26	153504	56028	100607.2	0	8.419684	0.077395886	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.144	52.84	7.52	Gradient Boost (General Model)	0.823	63059	205.836091234347	3314159	0.7	4472	56	178706	34271	77207.7	0	8.259692	0.0759252	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
MFD00392_60.bin.2.147	62.01	9.67	Gradient Boost (General Model)	0.821	80595	191.008719086874	4347802	0.41	6308	82	271245	25591	93188.5	0	10.839996	0.09964402	MFD00392_60	Nanopore-simplex	1.0.2	2024-08-07
