bin	longshot_var
MFD00392_80.bin.2.235	14041
MFD00392_80.bin.2.239	76921
MFD00392_80.bin.2.240	83456
MFD00392_80.bin.2.241	24716
MFD00392_80.bin.2.242	56365
MFD00392_80.bin.2.244	27789
MFD00392_80.bin.2.245	22201
MFD00392_80.bin.2.248	77343
MFD00392_80.bin.2.249	5955
MFD00392_80.bin.2.250	7932
MFD00392_80.bin.2.251	41288
MFD00392_80.bin.2.27	41740
MFD00392_80.bin.2.30	39003
MFD00392_80.bin.2.31	76005
MFD00392_80.bin.2.32	24489
MFD00392_80.bin.2.35	36501
MFD00392_80.bin.2.38	73999
MFD00392_80.bin.2.41	22994
MFD00392_80.bin.2.42	67978
MFD00392_80.bin.2.43	62359
MFD00392_80.bin.2.44	50303
MFD00392_80.bin.2.46	14712
MFD00392_80.bin.2.47	26627
MFD00392_80.bin.2.48	97250
MFD00392_80.bin.2.5	23565
MFD00392_80.bin.2.50	16717
MFD00392_80.bin.2.52	12541
MFD00392_80.bin.2.53	19260
MFD00392_80.bin.2.60	58661
MFD00392_80.bin.2.61	48553
MFD00392_80.bin.2.62	13372
MFD00392_80.bin.2.63	63289
MFD00392_80.bin.2.65	54543
MFD00392_80.bin.2.73	31925
MFD00392_80.bin.2.80	18702
MFD00392_80.bin.2.87	65341
MFD00392_80.bin.2.9	74650
MFD00392_80.bin.2.96	46664
MFD00392_80.bin.2.97	66356
MFD00392_80.bin.3.1009	23029
MFD00392_80.bin.3.1076	56179
MFD00392_80.bin.3.1077	85044
MFD00392_80.bin.3.1167	53478
MFD00392_80.bin.3.1199	83432
MFD00392_80.bin.3.13	70927
MFD00392_80.bin.3.197	14667
MFD00392_80.bin.3.217	37401
MFD00392_80.bin.3.23	44829
MFD00392_80.bin.3.250	38939
MFD00392_80.bin.3.26	11830
MFD00392_80.bin.3.295	48547
MFD00392_80.bin.3.319	14364
MFD00392_80.bin.3.34	56695
MFD00392_80.bin.3.373	34860
MFD00392_80.bin.3.394	29129
MFD00392_80.bin.3.410	30692
MFD00392_80.bin.3.417	77931
MFD00392_80.bin.3.519	33438
MFD00392_80.bin.3.531	200039
MFD00392_80.bin.3.547	24978
MFD00392_80.bin.3.574	43452
MFD00392_80.bin.3.584	35600
MFD00392_80.bin.3.586	70511
MFD00392_80.bin.3.606	71040
MFD00392_80.bin.3.621	37694
MFD00392_80.bin.3.629	13130
MFD00392_80.bin.3.675	72162
MFD00392_80.bin.3.7	12494
MFD00392_80.bin.3.726	41555
MFD00392_80.bin.3.731	47754
MFD00392_80.bin.3.736	42418
MFD00392_80.bin.3.782	34424
MFD00392_80.bin.3.840	77206
MFD00392_80.bin.3.842	69774
MFD00392_80.bin.3.895	51515
MFD00392_80.bin.3.899	275373
MFD00392_80.bin.3.901	20767
MFD00392_80.bin.3.913	82234
MFD00392_80.bin.3.936	9359
MFD00392_80.bin.3.937	282458
MFD00392_80.bin.3.960	38441
MFD00392_80.bin.3.961	17900
MFD00392_80.bin.3.977	61421
MFD00392_80.bin.3.978	40026
MFD00392_80.bin.3.986	16231
MFD00392_80.bin.3.990	50091
MFD00392_80.bin.4.116	1029
MFD00392_80.bin.4.118	125793
MFD00392_80.bin.4.128	17840
MFD00392_80.bin.4.136	16723
MFD00392_80.bin.4.192	55853
MFD00392_80.bin.4.205	1894
MFD00392_80.bin.4.279	118221
MFD00392_80.bin.4.290	58638
MFD00392_80.bin.4.307	35986
MFD00392_80.bin.4.331	102915
MFD00392_80.bin.4.404	33198
MFD00392_80.bin.4.426	51031
MFD00392_80.bin.4.53	16400
MFD00392_80.bin.4.554	80651
MFD00392_80.bin.4.685	19208
MFD01721_100.bin.1.1	13858
MFD01721_100.bin.1.10	36339
MFD01721_100.bin.1.106	76134
MFD01721_100.bin.1.108	14774
MFD01721_100.bin.1.11	20525
MFD01721_100.bin.1.111	17685
MFD01721_100.bin.1.112	27333
MFD01721_100.bin.1.118	55187
MFD01721_100.bin.1.12	4991
MFD01721_100.bin.1.122	24512
MFD01721_100.bin.1.123	9780
MFD01721_100.bin.1.13	29196
MFD01721_100.bin.1.135	17098
MFD01721_100.bin.1.137	30408
MFD01721_100.bin.1.138	2925
MFD01721_100.bin.1.146	16380
MFD01721_100.bin.1.147	19607
MFD01721_100.bin.1.148	32635
MFD01721_100.bin.1.160	55917
MFD01721_100.bin.1.161	12086
MFD01721_100.bin.1.162	42764
MFD01721_100.bin.1.163	4429
MFD01721_100.bin.1.164	18944
MFD01721_100.bin.1.168	45826
MFD01721_100.bin.1.17	7977
MFD01721_100.bin.1.174	16074
MFD01721_100.bin.1.175	25567
MFD01721_100.bin.1.181	81336
MFD01721_100.bin.1.184	9843
MFD01721_100.bin.1.189	61114
MFD01721_100.bin.1.19	7891
MFD01721_100.bin.1.192	34706
MFD01721_100.bin.1.194	7350
MFD01721_100.bin.1.196	42655
MFD01721_100.bin.1.200	14942
MFD01721_100.bin.1.21	24155
MFD01721_100.bin.1.224	27873
MFD01721_100.bin.1.235	11034
MFD01721_100.bin.1.237	12240
MFD01721_100.bin.1.243	4761
MFD01721_100.bin.1.25	51048
MFD01721_100.bin.1.252	28008
MFD01721_100.bin.1.26	40350
MFD01721_100.bin.1.264	41528
MFD01721_100.bin.1.272	6081
MFD01721_100.bin.1.277	47222
MFD01721_100.bin.1.279	13103
MFD01721_100.bin.1.28	12069
MFD01721_100.bin.1.283	12445
MFD01721_100.bin.1.284	19533
MFD01721_100.bin.1.285	15312
MFD01721_100.bin.1.287	4033
MFD01721_100.bin.1.288	14823
MFD01721_100.bin.1.29	3408
MFD01721_100.bin.1.290	33804
MFD01721_100.bin.1.292	38807
MFD01721_100.bin.1.293	15798
MFD01721_100.bin.1.294	21386
MFD01721_100.bin.1.296	5825
MFD01721_100.bin.1.297	226
MFD01721_100.bin.1.298	2933
MFD01721_100.bin.1.299	53391
MFD01721_100.bin.1.30	18698
MFD01721_100.bin.1.300	55078
MFD01721_100.bin.1.301	13195
MFD01721_100.bin.1.303	8191
MFD01721_100.bin.1.304	591
MFD01721_100.bin.1.307	11778
MFD01721_100.bin.1.309	14267
MFD01721_100.bin.1.310	50095
MFD01721_100.bin.1.312	18064
MFD01721_100.bin.1.317	20753
MFD01721_100.bin.1.318	34929
MFD01721_100.bin.1.319	18745
MFD01721_100.bin.1.32	23148
MFD01721_100.bin.1.326	28156
MFD01721_100.bin.1.327	8158
MFD01721_100.bin.1.328	54853
MFD01721_100.bin.1.329	5024
MFD01721_100.bin.1.330	17002
MFD01721_100.bin.1.331	12899
MFD01721_100.bin.1.332	34550
MFD01721_100.bin.1.333	27533
MFD01721_100.bin.1.334	11170
MFD01721_100.bin.1.335	16549
MFD01721_100.bin.1.336	59783
MFD01721_100.bin.1.337	21854
MFD01721_100.bin.1.34	11130
MFD01721_100.bin.1.340	22999
MFD01721_100.bin.1.341	8675
MFD01721_100.bin.1.343	30980
MFD01721_100.bin.1.344	5293
MFD01721_100.bin.1.345	14274
MFD01721_100.bin.1.346	29223
MFD01721_100.bin.1.35	17944
MFD01721_100.bin.1.350	9044
MFD01721_100.bin.1.354	9859
MFD01721_100.bin.1.355	12682
MFD01721_100.bin.1.356	20635
MFD01721_100.bin.1.358	28517
MFD01721_100.bin.1.359	12513
MFD01721_100.bin.1.36	2357
MFD01721_100.bin.1.360	23400
MFD01721_100.bin.1.361	40963
MFD01721_100.bin.1.363	10560
MFD01721_100.bin.1.366	27559
MFD01721_100.bin.1.372	8168
MFD01721_100.bin.1.378	10147
MFD01721_100.bin.1.385	30339
MFD01721_100.bin.1.388	41349
MFD01721_100.bin.1.391	13764
MFD01721_100.bin.1.392	27634
MFD01721_100.bin.1.394	18192
MFD01721_100.bin.1.396	18762
MFD01721_100.bin.1.41	8739
MFD01721_100.bin.1.433	18455
MFD01721_100.bin.1.442	18648
MFD01721_100.bin.1.443	20339
MFD01721_100.bin.1.446	13104
MFD01721_100.bin.1.451	26859
MFD01721_100.bin.1.458	16711
MFD01721_100.bin.1.462	21283
MFD01721_100.bin.1.465	21113
MFD01721_100.bin.1.468	23297
MFD01721_100.bin.1.471	27767
MFD01721_100.bin.1.472	16076
MFD01721_100.bin.1.478	30322
MFD01721_100.bin.1.479	16920
MFD01721_100.bin.1.482	38404
MFD01721_100.bin.1.485	5277
MFD01721_100.bin.1.49	8623
MFD01721_100.bin.1.5	8882
MFD01721_100.bin.1.51	25804
MFD01721_100.bin.1.54	13056
MFD01721_100.bin.1.55	10120
MFD01721_100.bin.1.57	9941
MFD01721_100.bin.1.58	17337
MFD01721_100.bin.1.6	63189
MFD01721_100.bin.1.60	6763
MFD01721_100.bin.1.62	21516
MFD01721_100.bin.1.63	5512
MFD01721_100.bin.1.64	27775
MFD01721_100.bin.1.66	18008
MFD01721_100.bin.1.68	13925
