bin	Coding_Density	MAG_status
MFD00082.bin.2.52	0.856	MQ
MFD00082.bin.2.55	0.893	MQ
MFD00082.bin.2.56	0.828	MQ
MFD00082.bin.2.57	0.82	MQ
MFD00082.bin.2.6	0.856	MQ
MFD00082.bin.2.60	0.835	MQ
MFD00082.bin.2.61	0.835	MQ
MFD00082.bin.2.63	0.85	MQ
MFD00082.bin.2.65	0.9	MQ
MFD00082.bin.2.67	0.889	MQ
MFD00082.bin.2.75	0.813	MQ
MFD00082.bin.2.79	0.829	MQ
MFD00082.bin.2.81	0.897	MQ
MFD00082.bin.2.82	0.874	MQ
MFD00082.bin.2.84	0.837	MQ
MFD00082.bin.2.86	0.888	MQ
MFD00082.bin.2.88	0.836	MQ
MFD00082.bin.2.9	0.812	MQ
MFD00082.bin.2.91	0.84	MQ
MFD00082.bin.2.93	0.829	MQ
MFD00082.bin.2.96	0.9	MQ
MFD00082.bin.3.110	0.827	MQ
MFD00082.bin.3.17	0.826	MQ
MFD00082.bin.3.65	0.903	MQ
MFD00082.bin.3.95	0.873	MQ
MFD00123.bin.2.2	0.841	MQ
MFD00123.bin.2.6	0.775	MQ
MFD00123.bin.3.2	0.824	MQ
MFD00125.bin.1.50	0.846	MQ
MFD00125.bin.2.15	0.808	MQ
MFD00125.bin.2.36	0.853	MQ
MFD00125.bin.2.43	0.829	MQ
MFD00125.bin.2.44	0.845	MQ
MFD00125.bin.2.47	0.81	MQ
MFD00125.bin.2.52	0.825	MQ
MFD00125.bin.2.56	0.863	MQ
MFD00125.bin.2.61	0.809	MQ
MFD00125.bin.2.62	0.814	MQ
MFD00125.bin.2.65	0.808	MQ
MFD00125.bin.2.70	0.864	MQ
MFD00125.bin.2.73	0.841	MQ
MFD00125.bin.2.82	0.845	MQ
MFD00125.bin.2.84	0.819	MQ
MFD00125.bin.2.87	0.802	MQ
MFD00125.bin.2.93	0.815	MQ
MFD00125.bin.2.97	0.81	MQ
MFD00125.bin.2.98	0.877	MQ
MFD00125.bin.3.20	0.839	MQ
MFD00125.bin.3.45	0.849	MQ
MFD00125.bin.3.95	0.859	MQ
MFD00392.bin.1.420	0.861	MQ
MFD00392.bin.2.10	0.828	MQ
MFD00392.bin.2.103	0.877	MQ
MFD00392.bin.2.108	0.836	MQ
MFD00392.bin.2.11	0.846	MQ
MFD00392.bin.2.110	0.838	MQ
MFD00392.bin.2.112	0.843	MQ
MFD00392.bin.2.113	0.861	MQ
MFD00392.bin.2.114	0.886	MQ
MFD00392.bin.2.115	0.891	MQ
MFD00392.bin.2.118	0.871	MQ
MFD00392.bin.2.119	0.86	MQ
MFD00392.bin.2.12	0.866	MQ
MFD00392.bin.2.120	0.866	MQ
MFD00392.bin.2.122	0.861	MQ
MFD00392.bin.2.124	0.888	MQ
MFD00392.bin.2.125	0.844	MQ
MFD00392.bin.2.126	0.861	MQ
MFD00392.bin.2.127	0.87	MQ
MFD00392.bin.2.129	0.854	MQ
MFD00392.bin.2.13	0.878	MQ
MFD00392.bin.2.132	0.841	MQ
MFD00392.bin.2.134	0.852	MQ
MFD00392.bin.2.135	0.835	MQ
MFD00392.bin.2.136	0.849	MQ
MFD00392.bin.2.137	0.845	MQ
MFD00392.bin.2.138	0.826	MQ
MFD00392.bin.2.140	0.834	MQ
MFD00392.bin.2.141	0.852	MQ
MFD00392.bin.2.143	0.873	MQ
MFD00392.bin.2.144	0.868	MQ
MFD00392.bin.2.145	0.841	MQ
MFD00392.bin.2.146	0.784	MQ
MFD00392.bin.2.149	0.855	MQ
MFD00392.bin.2.15	0.863	MQ
MFD00392.bin.2.152	0.91	MQ
MFD00392.bin.2.156	0.888	MQ
MFD00392.bin.2.160	0.82	MQ
MFD00392.bin.2.170	0.828	MQ
MFD00392.bin.2.171	0.853	MQ
MFD00392.bin.2.174	0.839	MQ
MFD00392.bin.2.175	0.893	MQ
MFD00392.bin.2.186	0.829	MQ
MFD00392.bin.2.193	0.879	MQ
MFD00392.bin.2.194	0.836	MQ
MFD00392.bin.2.2	0.864	MQ
MFD00392.bin.2.206	0.887	MQ
MFD00392.bin.2.213	0.809	MQ
MFD00392.bin.2.216	0.869	MQ
MFD00392.bin.2.23	0.882	MQ
MFD00392.bin.2.235	0.836	MQ
MFD00392.bin.2.237	0.783	MQ
MFD00392.bin.2.241	0.879	MQ
MFD00392.bin.2.245	0.866	MQ
MFD00392.bin.2.250	0.882	MQ
MFD00392.bin.2.252	0.889	MQ
MFD00392.bin.2.254	0.868	MQ
MFD00392.bin.2.260	0.856	MQ
MFD00392.bin.2.271	0.862	MQ
MFD00392.bin.2.275	0.882	MQ
MFD00392.bin.2.276	0.833	MQ
MFD00392.bin.2.277	0.845	MQ
MFD00392.bin.2.278	0.868	MQ
MFD00392.bin.2.279	0.863	MQ
MFD00392.bin.2.280	0.868	MQ
MFD00392.bin.2.284	0.87	MQ
MFD00392.bin.2.285	0.842	MQ
MFD00392.bin.2.289	0.883	MQ
MFD00392.bin.2.291	0.851	MQ
MFD00392.bin.2.292	0.834	MQ
MFD00392.bin.2.294	0.861	MQ
MFD00392.bin.2.295	0.835	MQ
MFD00392.bin.2.297	0.857	MQ
MFD00392.bin.2.300	0.88	MQ
MFD00392.bin.2.302	0.847	MQ
MFD00392.bin.2.307	0.832	MQ
MFD00392.bin.2.313	0.875	MQ
MFD00392.bin.2.316	0.83	MQ
MFD00392.bin.2.318	0.853	MQ
MFD00392.bin.2.319	0.882	MQ
MFD00392.bin.2.324	0.87	MQ
MFD00392.bin.2.326	0.89	MQ
MFD00392.bin.2.330	0.822	MQ
MFD00392.bin.2.333	0.911	MQ
MFD00392.bin.2.336	0.892	MQ
MFD00392.bin.2.340	0.863	MQ
MFD00392.bin.2.342	0.866	MQ
MFD00392.bin.2.345	0.879	MQ
MFD00392.bin.2.348	0.857	MQ
MFD00392.bin.2.353	0.858	MQ
MFD00392.bin.2.355	0.822	MQ
MFD00392.bin.2.36	0.852	MQ
MFD00392.bin.2.360	0.821	MQ
MFD00392.bin.2.363	0.861	MQ
MFD00392.bin.2.365	0.851	MQ
MFD00392.bin.2.371	0.84	MQ
MFD00392.bin.2.372	0.874	MQ
MFD00392.bin.2.374	0.881	MQ
MFD00392.bin.2.375	0.838	MQ
MFD00392.bin.2.381	0.874	MQ
MFD00392.bin.2.384	0.846	MQ
MFD00392.bin.2.387	0.822	MQ
MFD00392.bin.2.39	0.861	MQ
MFD00392.bin.2.40	0.844	MQ
MFD00392.bin.2.401	0.867	MQ
MFD00392.bin.2.402	0.852	MQ
MFD00392.bin.2.404	0.858	MQ
MFD00392.bin.2.405	0.906	MQ
MFD00392.bin.2.43	0.871	MQ
MFD00392.bin.2.44	0.837	MQ
MFD00392.bin.2.46	0.872	MQ
MFD00392.bin.2.48	0.895	MQ
MFD00392.bin.2.49	0.865	MQ
MFD00392.bin.2.52	0.856	MQ
MFD00392.bin.2.55	0.901	MQ
MFD00392.bin.2.59	0.864	MQ
MFD00392.bin.2.6	0.829	MQ
MFD00392.bin.2.63	0.854	MQ
MFD00392.bin.2.64	0.903	MQ
MFD00392.bin.2.65	0.848	MQ
MFD00392.bin.2.68	0.887	MQ
MFD00392.bin.2.69	0.884	MQ
MFD00392.bin.2.7	0.887	MQ
MFD00392.bin.2.71	0.837	MQ
MFD00392.bin.2.78	0.834	MQ
MFD00392.bin.2.80	0.864	MQ
MFD00392.bin.2.81	0.83	MQ
MFD00392.bin.2.85	0.853	MQ
MFD00392.bin.2.86	0.869	MQ
MFD00392.bin.2.99	0.86	MQ
MFD00392.bin.3.141	0.839	MQ
MFD00392.bin.3.147	0.858	MQ
MFD00392.bin.3.167	0.889	MQ
MFD00392.bin.3.170	0.854	MQ
MFD00392.bin.3.203	0.875	MQ
MFD00392.bin.3.204	0.89	MQ
MFD00392.bin.3.213	0.859	MQ
MFD00392.bin.3.302	0.828	MQ
MFD00392.bin.3.308	0.886	MQ
MFD00392.bin.3.431	0.854	MQ
MFD00392.bin.3.433	0.905	MQ
MFD00392.bin.3.529	0.902	MQ
MFD00392.bin.3.547	0.856	MQ
MFD00392.bin.3.555	0.827	MQ
MFD00392.bin.3.570	0.845	MQ
MFD00392.bin.3.594	0.82	MQ
MFD00392.bin.3.628	0.874	MQ
MFD00392.bin.3.648	0.831	MQ
MFD00392.bin.3.658	0.914	MQ
MFD00392.bin.3.673	0.875	MQ
MFD00392.bin.3.715	0.913	MQ
MFD00392.bin.3.720	0.893	MQ
MFD00392.bin.3.723	0.839	MQ
MFD00392.bin.3.744	0.868	MQ
MFD00392.bin.3.845	0.867	MQ
MFD00392.bin.3.88	0.815	MQ
MFD00392.bin.3.929	0.903	MQ
MFD00392.bin.3.937	0.86	MQ
MFD00392.bin.4.109	0.891	MQ
MFD00392.bin.4.475	0.87	MQ
MFD00392.bin.4.653	0.873	MQ
MFD00392.bin.4.807	0.818	MQ
MFD00392.bin.4.906	0.845	MQ
MFD00709.bin.1.4	0.828	MQ
MFD00709.bin.2.102	0.831	MQ
MFD00709.bin.2.104	0.832	MQ
MFD00709.bin.2.114	0.886	MQ
MFD00709.bin.2.117	0.898	MQ
MFD00709.bin.2.118	0.826	MQ
MFD00709.bin.2.122	0.824	MQ
MFD00709.bin.2.131	0.82	MQ
MFD00709.bin.2.137	0.832	MQ
MFD00709.bin.2.142	0.854	MQ
MFD00709.bin.2.144	0.873	MQ
MFD00709.bin.2.146	0.845	MQ
MFD00709.bin.2.147	0.807	MQ
MFD00709.bin.2.150	0.829	MQ
MFD00709.bin.2.153	0.841	MQ
MFD00709.bin.2.155	0.856	MQ
MFD00709.bin.2.156	0.846	MQ
MFD00709.bin.2.157	0.854	MQ
MFD00709.bin.2.159	0.828	MQ
MFD00709.bin.2.162	0.855	MQ
MFD00709.bin.2.166	0.822	MQ
MFD00709.bin.2.17	0.858	MQ
MFD00709.bin.2.174	0.811	MQ
MFD00709.bin.2.175	0.815	MQ
MFD00709.bin.2.182	0.789	MQ
MFD00709.bin.2.187	0.819	MQ
MFD00709.bin.2.20	0.84	MQ
MFD00709.bin.2.201	0.829	MQ
MFD00709.bin.2.207	0.783	MQ
MFD00709.bin.2.211	0.836	MQ
MFD00709.bin.2.216	0.843	MQ
MFD00709.bin.2.28	0.89	MQ
MFD00709.bin.2.3	0.83	MQ
MFD00709.bin.2.32	0.844	MQ
MFD00709.bin.2.34	0.846	MQ
MFD00709.bin.2.4	0.874	MQ
MFD00709.bin.2.40	0.827	MQ
MFD00709.bin.2.41	0.835	MQ
MFD00709.bin.2.42	0.86	MQ
MFD00709.bin.2.44	0.795	MQ
MFD00709.bin.2.45	0.883	MQ
MFD00709.bin.2.48	0.855	MQ
MFD00709.bin.2.5	0.81	MQ
MFD00709.bin.2.50	0.83	MQ
MFD00709.bin.2.54	0.835	MQ
MFD00709.bin.2.55	0.881	MQ
MFD00709.bin.2.62	0.807	MQ
MFD00709.bin.2.64	0.836	MQ
MFD00709.bin.2.65	0.85	MQ
MFD00709.bin.2.7	0.829	MQ
MFD00709.bin.2.72	0.833	MQ
MFD00709.bin.2.75	0.833	MQ
MFD00709.bin.2.8	0.814	MQ
MFD00709.bin.2.91	0.83	MQ
MFD00709.bin.3.102	0.84	MQ
MFD00709.bin.3.105	0.848	MQ
MFD00709.bin.3.125	0.854	MQ
MFD00709.bin.3.130	0.831	MQ
MFD00709.bin.3.153	0.842	MQ
MFD00709.bin.3.160	0.853	MQ
MFD00709.bin.3.183	0.848	MQ
MFD00709.bin.3.2	0.818	MQ
MFD00709.bin.3.294	0.849	MQ
MFD00709.bin.3.31	0.832	MQ
MFD00709.bin.3.321	0.823	MQ
MFD00709.bin.3.343	0.841	MQ
MFD00709.bin.3.465	0.823	MQ
MFD00709.bin.3.484	0.877	MQ
MFD00709.bin.3.77	0.872	MQ
MFD00731.bin.1.153	0.883	MQ
MFD00731.bin.1.234	0.868	MQ
MFD00731.bin.2.1	0.845	MQ
MFD00731.bin.2.11	0.85	MQ
MFD00731.bin.2.111	0.874	MQ
MFD00731.bin.2.112	0.823	MQ
MFD00731.bin.2.114	0.84	MQ
MFD00731.bin.2.120	0.848	MQ
MFD00731.bin.2.127	0.862	MQ
MFD00731.bin.2.129	0.853	MQ
MFD00731.bin.2.132	0.909	MQ
MFD00731.bin.2.133	0.884	MQ
MFD00731.bin.2.137	0.849	MQ
MFD00731.bin.2.14	0.804	MQ
MFD00731.bin.2.142	0.845	MQ
MFD00731.bin.2.145	0.866	MQ
MFD00731.bin.2.149	0.849	MQ
MFD00731.bin.2.150	0.85	MQ
MFD00731.bin.2.157	0.854	MQ
MFD00731.bin.2.159	0.815	MQ
MFD00731.bin.2.164	0.865	MQ
MFD00731.bin.2.166	0.858	MQ
MFD00731.bin.2.167	0.838	MQ
MFD00731.bin.2.169	0.869	MQ
MFD00731.bin.2.17	0.859	MQ
MFD00731.bin.2.170	0.822	MQ
MFD00731.bin.2.173	0.864	MQ
MFD00731.bin.2.174	0.885	MQ
MFD00731.bin.2.180	0.878	MQ
MFD00731.bin.2.183	0.879	MQ
MFD00731.bin.2.187	0.811	MQ
MFD00731.bin.2.193	0.843	MQ
MFD00731.bin.2.198	0.866	MQ
MFD00731.bin.2.2	0.848	MQ
MFD00731.bin.2.20	0.87	MQ
MFD00731.bin.2.201	0.824	MQ
MFD00731.bin.2.202	0.861	MQ
MFD00731.bin.2.203	0.85	MQ
MFD00731.bin.2.205	0.862	MQ
MFD00731.bin.2.212	0.859	MQ
MFD00731.bin.2.216	0.817	MQ
MFD00731.bin.2.220	0.876	MQ
MFD00731.bin.2.26	0.802	MQ
MFD00731.bin.2.35	0.856	MQ
MFD00731.bin.2.4	0.845	MQ
MFD00731.bin.2.47	0.858	MQ
MFD00731.bin.2.48	0.904	MQ
MFD00731.bin.2.49	0.861	MQ
MFD00731.bin.2.57	0.844	MQ
MFD00731.bin.2.58	0.872	MQ
MFD00731.bin.2.6	0.889	MQ
MFD00731.bin.2.60	0.845	MQ
MFD00731.bin.2.62	0.864	MQ
MFD00731.bin.2.63	0.817	MQ
MFD00731.bin.2.65	0.817	MQ
MFD00731.bin.2.67	0.826	MQ
MFD00731.bin.2.72	0.807	MQ
MFD00731.bin.2.73	0.832	MQ
MFD00731.bin.2.74	0.894	MQ
MFD00731.bin.2.8	0.888	MQ
MFD00731.bin.2.81	0.815	MQ
MFD00731.bin.2.91	0.857	MQ
MFD00731.bin.2.93	0.84	MQ
MFD00731.bin.3.121	0.871	MQ
MFD00731.bin.3.122	0.881	MQ
MFD00731.bin.3.174	0.82	MQ
MFD00731.bin.3.176	0.861	MQ
MFD00731.bin.3.201	0.883	MQ
MFD00731.bin.3.247	0.87	MQ
MFD00731.bin.3.259	0.872	MQ
MFD00731.bin.3.307	0.846	MQ
MFD00731.bin.3.357	0.848	MQ
MFD00731.bin.3.385	0.863	MQ
MFD00731.bin.3.415	0.811	MQ
MFD00731.bin.3.428	0.861	MQ
MFD00731.bin.3.52	0.835	MQ
MFD00731.bin.3.66	0.856	MQ
MFD00731.bin.3.75	0.868	MQ
MFD00731.bin.4.171	0.861	MQ
MFD00731.bin.4.227	0.853	MQ
MFD00731.bin.4.272	0.844	MQ
MFD00731.bin.4.712	0.826	MQ
MFD00822.bin.1.150	0.849	MQ
MFD00822.bin.1.51	0.864	MQ
MFD00822.bin.1.7	0.853	MQ
MFD00822.bin.2.104	0.869	MQ
MFD00822.bin.2.108	0.889	MQ
MFD00822.bin.2.11	0.847	MQ
MFD00822.bin.2.110	0.82	MQ
MFD00822.bin.2.115	0.846	MQ
MFD00822.bin.2.117	0.846	MQ
