bin	Contig_N50	MAG_status
MFD00392.bin.2.46	91617	MQ
MFD00392.bin.2.48	445064	MQ
MFD00392.bin.2.49	440876	MQ
MFD00392.bin.2.52	676460	MQ
MFD00392.bin.2.55	236711	MQ
MFD00392.bin.2.59	407828	MQ
MFD00392.bin.2.6	402070	MQ
MFD00392.bin.2.63	465707	MQ
MFD00392.bin.2.64	175718	MQ
MFD00392.bin.2.65	625903	MQ
MFD00392.bin.2.68	2756837	MQ
MFD00392.bin.2.69	393701	MQ
MFD00392.bin.2.7	2130826	MQ
MFD00392.bin.2.71	386314	MQ
MFD00392.bin.2.78	339546	MQ
MFD00392.bin.2.80	763232	MQ
MFD00392.bin.2.81	279194	MQ
MFD00392.bin.2.85	739309	MQ
MFD00392.bin.2.86	421704	MQ
MFD00392.bin.2.99	435163	MQ
MFD00392.bin.3.141	470330	MQ
MFD00392.bin.3.147	324369	MQ
MFD00392.bin.3.167	160406	MQ
MFD00392.bin.3.170	304796	MQ
MFD00392.bin.3.203	152392	MQ
MFD00392.bin.3.204	183432	MQ
MFD00392.bin.3.213	239421	MQ
MFD00392.bin.3.302	465607	MQ
MFD00392.bin.3.308	312426	MQ
MFD00392.bin.3.431	286970	MQ
MFD00392.bin.3.433	181272	MQ
MFD00392.bin.3.529	410997	MQ
MFD00392.bin.3.547	441754	MQ
MFD00392.bin.3.555	242960	MQ
MFD00392.bin.3.570	443340	MQ
MFD00392.bin.3.594	628949	MQ
MFD00392.bin.3.628	146184	MQ
MFD00392.bin.3.648	126247	MQ
MFD00392.bin.3.658	161518	MQ
MFD00392.bin.3.673	407175	MQ
MFD00392.bin.3.715	597199	MQ
MFD00392.bin.3.720	69394	MQ
MFD00392.bin.3.723	217422	MQ
MFD00392.bin.3.744	535699	MQ
MFD00392.bin.3.845	205915	MQ
MFD00392.bin.3.88	129703	MQ
MFD00392.bin.3.929	957307	MQ
MFD00392.bin.3.937	206980	MQ
MFD00392.bin.4.109	609075	MQ
MFD00392.bin.4.475	183726	MQ
MFD00392.bin.4.653	154745	MQ
MFD00392.bin.4.807	149311	MQ
MFD00392.bin.4.906	261947	MQ
MFD00709.bin.1.4	56786	MQ
MFD00709.bin.2.102	169440	MQ
MFD00709.bin.2.104	136053	MQ
MFD00709.bin.2.114	533221	MQ
MFD00709.bin.2.117	338622	MQ
MFD00709.bin.2.118	93691	MQ
MFD00709.bin.2.122	48604	MQ
MFD00709.bin.2.131	70044	MQ
MFD00709.bin.2.137	495590	MQ
MFD00709.bin.2.142	120582	MQ
MFD00709.bin.2.144	497560	MQ
MFD00709.bin.2.146	141376	MQ
MFD00709.bin.2.147	201204	MQ
MFD00709.bin.2.150	342420	MQ
MFD00709.bin.2.153	150374	MQ
MFD00709.bin.2.155	175853	MQ
MFD00709.bin.2.156	178848	MQ
MFD00709.bin.2.157	115917	MQ
MFD00709.bin.2.159	323474	MQ
MFD00709.bin.2.162	202976	MQ
MFD00709.bin.2.166	451318	MQ
MFD00709.bin.2.17	89133	MQ
MFD00709.bin.2.174	177555	MQ
MFD00709.bin.2.175	327286	MQ
MFD00709.bin.2.182	42517	MQ
MFD00709.bin.2.187	77793	MQ
MFD00709.bin.2.20	25018	MQ
MFD00709.bin.2.201	60211	MQ
MFD00709.bin.2.207	105518	MQ
MFD00709.bin.2.211	55510	MQ
MFD00709.bin.2.216	130374	MQ
MFD00709.bin.2.28	3237606	MQ
MFD00709.bin.2.3	189564	MQ
MFD00709.bin.2.32	92166	MQ
MFD00709.bin.2.34	188641	MQ
MFD00709.bin.2.4	121559	MQ
MFD00709.bin.2.40	72022	MQ
MFD00709.bin.2.41	72141	MQ
MFD00709.bin.2.42	170271	MQ
MFD00709.bin.2.44	45523	MQ
MFD00709.bin.2.45	144270	MQ
MFD00709.bin.2.48	188775	MQ
MFD00709.bin.2.5	60561	MQ
MFD00709.bin.2.50	172747	MQ
MFD00709.bin.2.54	206043	MQ
MFD00709.bin.2.55	118986	MQ
MFD00709.bin.2.62	205043	MQ
MFD00709.bin.2.64	497273	MQ
MFD00709.bin.2.65	93976	MQ
MFD00709.bin.2.7	86040	MQ
MFD00709.bin.2.72	148948	MQ
MFD00709.bin.2.75	76619	MQ
MFD00709.bin.2.8	208998	MQ
MFD00709.bin.2.91	68178	MQ
MFD00709.bin.3.102	83027	MQ
MFD00709.bin.3.105	102928	MQ
MFD00709.bin.3.125	151697	MQ
MFD00709.bin.3.130	46510	MQ
MFD00709.bin.3.153	236031	MQ
MFD00709.bin.3.160	96968	MQ
MFD00709.bin.3.183	118079	MQ
MFD00709.bin.3.2	88793	MQ
MFD00709.bin.3.294	189570	MQ
MFD00709.bin.3.31	136806	MQ
MFD00709.bin.3.321	49315	MQ
MFD00709.bin.3.343	84169	MQ
MFD00709.bin.3.465	39670	MQ
MFD00709.bin.3.484	111482	MQ
MFD00709.bin.3.77	123718	MQ
MFD00731.bin.1.153	698817	MQ
MFD00731.bin.1.234	278914	MQ
MFD00731.bin.2.1	431195	MQ
MFD00731.bin.2.11	303474	MQ
MFD00731.bin.2.111	398580	MQ
MFD00731.bin.2.112	1126195	MQ
MFD00731.bin.2.114	533035	MQ
MFD00731.bin.2.120	401380	MQ
MFD00731.bin.2.127	199898	MQ
MFD00731.bin.2.129	164052	MQ
MFD00731.bin.2.132	162094	MQ
MFD00731.bin.2.133	473744	MQ
MFD00731.bin.2.137	459018	MQ
MFD00731.bin.2.14	175894	MQ
MFD00731.bin.2.142	873287	MQ
MFD00731.bin.2.145	1032321	MQ
MFD00731.bin.2.149	2259982	MQ
MFD00731.bin.2.150	780668	MQ
MFD00731.bin.2.157	2285264	MQ
MFD00731.bin.2.159	112481	MQ
MFD00731.bin.2.164	443971	MQ
MFD00731.bin.2.166	465299	MQ
MFD00731.bin.2.167	742986	MQ
MFD00731.bin.2.169	127194	MQ
MFD00731.bin.2.17	4774846	MQ
MFD00731.bin.2.170	884839	MQ
MFD00731.bin.2.173	484900	MQ
MFD00731.bin.2.174	3653247	MQ
MFD00731.bin.2.180	2396577	MQ
MFD00731.bin.2.183	846992	MQ
MFD00731.bin.2.187	681574	MQ
MFD00731.bin.2.193	300126	MQ
MFD00731.bin.2.198	1914950	MQ
MFD00731.bin.2.2	749851	MQ
MFD00731.bin.2.20	1934234	MQ
MFD00731.bin.2.201	845864	MQ
MFD00731.bin.2.202	895936	MQ
MFD00731.bin.2.203	339694	MQ
MFD00731.bin.2.205	366622	MQ
MFD00731.bin.2.212	128517	MQ
MFD00731.bin.2.216	1029923	MQ
MFD00731.bin.2.220	1315968	MQ
MFD00731.bin.2.26	203881	MQ
MFD00731.bin.2.35	4150818	MQ
MFD00731.bin.2.4	2687845	MQ
MFD00731.bin.2.47	313681	MQ
MFD00731.bin.2.48	1543054	MQ
MFD00731.bin.2.49	2440517	MQ
MFD00731.bin.2.57	238259	MQ
MFD00731.bin.2.58	1469486	MQ
MFD00731.bin.2.6	1107178	MQ
MFD00731.bin.2.60	753182	MQ
MFD00731.bin.2.62	240649	MQ
MFD00731.bin.2.63	227170	MQ
MFD00731.bin.2.65	466445	MQ
MFD00731.bin.2.67	1384343	MQ
MFD00731.bin.2.72	211549	MQ
MFD00731.bin.2.73	663657	MQ
MFD00731.bin.2.74	899022	MQ
MFD00731.bin.2.8	3737903	MQ
MFD00731.bin.2.81	484665	MQ
MFD00731.bin.2.91	221018	MQ
MFD00731.bin.2.93	251304	MQ
MFD00731.bin.3.121	869670	MQ
MFD00731.bin.3.122	190951	MQ
MFD00731.bin.3.174	95564	MQ
MFD00731.bin.3.176	135866	MQ
MFD00731.bin.3.201	961585	MQ
MFD00731.bin.3.247	429344	MQ
MFD00731.bin.3.259	328947	MQ
MFD00731.bin.3.307	302959	MQ
MFD00731.bin.3.357	75747	MQ
MFD00731.bin.3.385	76563	MQ
MFD00731.bin.3.415	384965	MQ
MFD00731.bin.3.428	259202	MQ
MFD00731.bin.3.52	164132	MQ
MFD00731.bin.3.66	192749	MQ
MFD00731.bin.3.75	153601	MQ
MFD00731.bin.4.171	328084	MQ
MFD00731.bin.4.227	117517	MQ
MFD00731.bin.4.272	230835	MQ
MFD00731.bin.4.712	358341	MQ
MFD00822.bin.1.150	257200	MQ
MFD00822.bin.1.51	746687	MQ
MFD00822.bin.1.7	573646	MQ
MFD00822.bin.2.104	315822	MQ
MFD00822.bin.2.108	311795	MQ
MFD00822.bin.2.11	161004	MQ
MFD00822.bin.2.110	386556	MQ
MFD00822.bin.2.115	148821	MQ
MFD00822.bin.2.117	444432	MQ
MFD00822.bin.2.119	969958	MQ
MFD00822.bin.2.12	533843	MQ
MFD00822.bin.2.120	280931	MQ
MFD00822.bin.2.121	497965	MQ
MFD00822.bin.2.122	258147	MQ
MFD00822.bin.2.123	50937	MQ
MFD00822.bin.2.124	178022	MQ
MFD00822.bin.2.126	85998	MQ
MFD00822.bin.2.127	64448	MQ
MFD00822.bin.2.129	938403	MQ
MFD00822.bin.2.130	278266	MQ
MFD00822.bin.2.131	164399	MQ
MFD00822.bin.2.134	446214	MQ
MFD00822.bin.2.135	119151	MQ
MFD00822.bin.2.136	1610287	MQ
MFD00822.bin.2.138	233673	MQ
MFD00822.bin.2.143	841086	MQ
MFD00822.bin.2.149	397136	MQ
MFD00822.bin.2.15	1458413	MQ
MFD00822.bin.2.150	99437	MQ
MFD00822.bin.2.151	990298	MQ
MFD00822.bin.2.156	165915	MQ
MFD00822.bin.2.162	368060	MQ
MFD00822.bin.2.163	592583	MQ
MFD00822.bin.2.168	277176	MQ
MFD00822.bin.2.172	241716	MQ
MFD00822.bin.2.173	257169	MQ
MFD00822.bin.2.174	616134	MQ
MFD00822.bin.2.176	471253	MQ
