bin	Genome_Size	MAG_status
MFD00031.bin.2.147	2363757	MQ
MFD00031.bin.2.149	4141720	MQ
MFD00031.bin.2.153	3211838	MQ
MFD00031.bin.2.154	4485483	MQ
MFD00031.bin.2.16	3852039	MQ
MFD00031.bin.2.164	5694541	MQ
MFD00031.bin.2.166	4650143	MQ
MFD00031.bin.2.172	3555716	MQ
MFD00031.bin.2.173	3619647	MQ
MFD00031.bin.2.175	3062276	MQ
MFD00031.bin.2.176	5061740	MQ
MFD00031.bin.2.178	5819829	MQ
MFD00031.bin.2.181	8483258	MQ
MFD00031.bin.2.19	2963557	MQ
MFD00031.bin.2.23	4511661	MQ
MFD00031.bin.2.24	2082353	MQ
MFD00031.bin.2.3	3200746	MQ
MFD00031.bin.2.32	3833568	MQ
MFD00031.bin.2.36	3426513	MQ
MFD00031.bin.2.48	4147423	MQ
MFD00031.bin.2.49	3804449	MQ
MFD00031.bin.2.5	7651980	MQ
MFD00031.bin.2.50	3394407	MQ
MFD00031.bin.2.51	4517478	MQ
MFD00031.bin.2.52	2371713	MQ
MFD00031.bin.2.58	2867455	MQ
MFD00031.bin.2.59	1918334	MQ
MFD00031.bin.2.6	6180209	MQ
MFD00031.bin.2.61	4261874	MQ
MFD00031.bin.2.65	4031285	MQ
MFD00031.bin.2.66	3482400	MQ
MFD00031.bin.2.7	5500602	MQ
MFD00031.bin.2.73	4460606	MQ
MFD00031.bin.2.74	5109499	MQ
MFD00031.bin.2.75	2192296	MQ
MFD00031.bin.2.84	3085690	MQ
MFD00031.bin.2.90	4236675	MQ
MFD00031.bin.2.92	3229025	MQ
MFD00031.bin.2.93	4838838	MQ
MFD00031.bin.3.170	3810997	MQ
MFD00031.bin.3.182	4671701	MQ
MFD00031.bin.3.285	4646323	MQ
MFD00031.bin.3.307	3059450	MQ
MFD00031.bin.3.59	3021202	MQ
MFD00031.bin.3.60	2891621	MQ
MFD00031.bin.3.69	3989623	MQ
MFD00031.bin.3.7	4453886	MQ
MFD00031.bin.3.83	4903616	MQ
MFD00031.bin.3.84	3766185	MQ
MFD00032.bin.1.209	2721142	MQ
MFD00032.bin.1.36	3664998	MQ
MFD00032.bin.2.1	2955842	MQ
MFD00032.bin.2.104	3952858	MQ
MFD00032.bin.2.105	5139966	MQ
MFD00032.bin.2.110	5422518	MQ
MFD00032.bin.2.121	4878543	MQ
MFD00032.bin.2.128	3748152	MQ
MFD00032.bin.2.129	2897906	MQ
MFD00032.bin.2.131	4212054	MQ
MFD00032.bin.2.132	2713512	MQ
MFD00032.bin.2.135	3621577	MQ
MFD00032.bin.2.137	2287258	MQ
MFD00032.bin.2.138	4291543	MQ
MFD00032.bin.2.146	3991171	MQ
MFD00032.bin.2.147	5266058	MQ
MFD00032.bin.2.149	3855774	MQ
MFD00032.bin.2.15	5178276	MQ
MFD00032.bin.2.155	2685036	MQ
MFD00032.bin.2.158	4063834	MQ
MFD00032.bin.2.160	3603258	MQ
MFD00032.bin.2.161	3595608	MQ
MFD00032.bin.2.163	5082616	MQ
MFD00032.bin.2.164	2610875	MQ
MFD00032.bin.2.165	4464035	MQ
MFD00032.bin.2.166	4280792	MQ
MFD00032.bin.2.168	3552562	MQ
MFD00032.bin.2.174	6673439	MQ
MFD00032.bin.2.178	4007477	MQ
MFD00032.bin.2.18	5139081	MQ
MFD00032.bin.2.189	3172580	MQ
MFD00032.bin.2.19	3534809	MQ
MFD00032.bin.2.190	2536897	MQ
MFD00032.bin.2.192	4350992	MQ
MFD00032.bin.2.194	1812060	MQ
MFD00032.bin.2.196	4430954	MQ
MFD00032.bin.2.2	3145449	MQ
MFD00032.bin.2.201	3194480	MQ
MFD00032.bin.2.202	4099990	MQ
MFD00032.bin.2.207	4950479	MQ
MFD00032.bin.2.209	4434188	MQ
MFD00032.bin.2.210	2839552	MQ
MFD00032.bin.2.218	2265910	MQ
MFD00032.bin.2.219	4278518	MQ
MFD00032.bin.2.221	3600978	MQ
MFD00032.bin.2.224	3247062	MQ
MFD00032.bin.2.225	2180233	MQ
MFD00032.bin.2.227	2659303	MQ
MFD00032.bin.2.231	3431711	MQ
MFD00032.bin.2.233	3548909	MQ
MFD00032.bin.2.234	4709030	MQ
MFD00032.bin.2.24	4399185	MQ
MFD00032.bin.2.25	5150134	MQ
MFD00032.bin.2.26	2865873	MQ
MFD00032.bin.2.3	3809125	MQ
MFD00032.bin.2.31	2912645	MQ
MFD00032.bin.2.33	2333790	MQ
MFD00032.bin.2.34	4256190	MQ
MFD00032.bin.2.35	4781809	MQ
MFD00032.bin.2.39	3661609	MQ
MFD00032.bin.2.41	4983318	MQ
MFD00032.bin.2.42	4936490	MQ
MFD00032.bin.2.43	6014870	MQ
MFD00032.bin.2.44	3560747	MQ
MFD00032.bin.2.47	4134506	MQ
MFD00032.bin.2.48	5152207	MQ
MFD00032.bin.2.51	2108976	MQ
MFD00032.bin.2.52	3480338	MQ
MFD00032.bin.2.54	4969789	MQ
MFD00032.bin.2.55	4738854	MQ
MFD00032.bin.2.56	4285419	MQ
MFD00032.bin.2.57	2968507	MQ
MFD00032.bin.2.58	2529805	MQ
MFD00032.bin.2.59	4306772	MQ
MFD00032.bin.2.60	2653267	MQ
MFD00032.bin.2.63	3859878	MQ
MFD00032.bin.2.65	3544815	MQ
MFD00032.bin.2.67	3308013	MQ
MFD00032.bin.2.68	1494337	MQ
MFD00032.bin.2.69	3846107	MQ
MFD00032.bin.2.70	1881734	MQ
MFD00032.bin.2.71	2140282	MQ
MFD00032.bin.2.77	2194939	MQ
MFD00032.bin.2.78	4783899	MQ
MFD00032.bin.2.8	5345915	MQ
MFD00032.bin.2.80	2580606	MQ
MFD00032.bin.2.81	8287513	MQ
MFD00032.bin.2.86	4106123	MQ
MFD00032.bin.2.88	4259536	MQ
MFD00032.bin.2.91	5384284	MQ
MFD00032.bin.2.92	2758511	MQ
MFD00032.bin.2.94	3199476	MQ
MFD00032.bin.2.97	3533093	MQ
MFD00032.bin.3.102	5143306	MQ
MFD00032.bin.3.136	3192834	MQ
MFD00032.bin.3.158	3438881	MQ
MFD00032.bin.3.166	3954176	MQ
MFD00032.bin.3.177	4212806	MQ
MFD00032.bin.3.204	5010451	MQ
MFD00032.bin.3.205	5882572	MQ
MFD00032.bin.3.232	5098827	MQ
MFD00032.bin.3.236	2583855	MQ
MFD00032.bin.3.254	2645729	MQ
MFD00032.bin.3.31	3743480	MQ
MFD00032.bin.3.322	2638160	MQ
MFD00032.bin.3.335	3646528	MQ
MFD00032.bin.3.338	3015709	MQ
MFD00032.bin.3.351	2173486	MQ
MFD00032.bin.3.371	2529808	MQ
MFD00032.bin.3.403	5474386	MQ
MFD00032.bin.3.405	2014833	MQ
MFD00032.bin.3.452	3380823	MQ
MFD00032.bin.3.53	4567721	MQ
MFD00032.bin.3.532	2650336	MQ
MFD00032.bin.3.64	5820200	MQ
MFD00032.bin.3.74	3661713	MQ
MFD00032.bin.3.85	2365241	MQ
MFD00032.bin.3.97	5544295	MQ
MFD00032.bin.4.54	3152242	MQ
MFD00072.bin.2.110	6067458	MQ
MFD00072.bin.2.112	5119573	MQ
MFD00072.bin.2.114	2401909	MQ
MFD00072.bin.2.131	5170226	MQ
MFD00072.bin.2.166	2584314	MQ
MFD00072.bin.2.169	4296179	MQ
MFD00072.bin.2.25	3204608	MQ
MFD00072.bin.2.49	2796427	MQ
MFD00072.bin.2.63	2845209	MQ
MFD00072.bin.2.96	6635977	MQ
MFD00072.bin.2.98	2995996	MQ
MFD00072.bin.3.234	5259704	MQ
MFD00082.bin.1.43	949819	MQ
MFD00082.bin.2.1	4608262	MQ
MFD00082.bin.2.100	7061183	MQ
MFD00082.bin.2.102	5479564	MQ
MFD00082.bin.2.104	6498132	MQ
MFD00082.bin.2.107	6285701	MQ
MFD00082.bin.2.108	4738946	MQ
MFD00082.bin.2.109	7519847	MQ
MFD00082.bin.2.11	2448527	MQ
MFD00082.bin.2.111	4360234	MQ
MFD00082.bin.2.115	3428053	MQ
MFD00082.bin.2.117	5640768	MQ
MFD00082.bin.2.122	5597744	MQ
MFD00082.bin.2.13	5911879	MQ
MFD00082.bin.2.14	2565261	MQ
MFD00082.bin.2.15	7087353	MQ
MFD00082.bin.2.16	5447693	MQ
MFD00082.bin.2.17	4354901	MQ
MFD00082.bin.2.19	4401451	MQ
MFD00082.bin.2.20	12411696	MQ
MFD00082.bin.2.21	4275237	MQ
MFD00082.bin.2.22	9059267	MQ
MFD00082.bin.2.23	4218834	MQ
MFD00082.bin.2.24	6142186	MQ
MFD00082.bin.2.3	3213490	MQ
MFD00082.bin.2.31	7354082	MQ
MFD00082.bin.2.33	6363319	MQ
MFD00082.bin.2.34	4267798	MQ
MFD00082.bin.2.35	6547769	MQ
MFD00082.bin.2.38	11775969	MQ
MFD00082.bin.2.4	7623046	MQ
MFD00082.bin.2.49	9504007	MQ
MFD00082.bin.2.52	4400726	MQ
MFD00082.bin.2.55	4139006	MQ
MFD00082.bin.2.56	6635579	MQ
MFD00082.bin.2.57	10416188	MQ
MFD00082.bin.2.6	7258505	MQ
MFD00082.bin.2.60	5743612	MQ
MFD00082.bin.2.61	3394400	MQ
MFD00082.bin.2.63	4354738	MQ
MFD00082.bin.2.65	778864	MQ
MFD00082.bin.2.67	7912951	MQ
MFD00082.bin.2.75	5228432	MQ
MFD00082.bin.2.79	3322042	MQ
MFD00082.bin.2.81	3114573	MQ
MFD00082.bin.2.82	6168082	MQ
MFD00082.bin.2.84	3782047	MQ
MFD00082.bin.2.86	4686841	MQ
MFD00082.bin.2.88	7358526	MQ
MFD00082.bin.2.9	4834056	MQ
MFD00082.bin.2.91	4402001	MQ
MFD00082.bin.2.93	5711534	MQ
MFD00082.bin.2.96	2924181	MQ
MFD00082.bin.3.110	3469485	MQ
MFD00082.bin.3.17	3948503	MQ
MFD00082.bin.3.65	2952465	MQ
MFD00082.bin.3.95	4016114	MQ
MFD00123.bin.2.2	3210072	MQ
MFD00123.bin.2.6	5653106	MQ
MFD00123.bin.3.2	3650646	MQ
MFD00125.bin.1.50	5872663	MQ
MFD00125.bin.2.15	6676743	MQ
MFD00125.bin.2.36	4836763	MQ
MFD00125.bin.2.43	6867363	MQ
MFD00125.bin.2.44	5642870	MQ
MFD00125.bin.2.47	6953251	MQ
MFD00125.bin.2.52	6532603	MQ
MFD00125.bin.2.56	5498360	MQ
MFD00125.bin.2.61	5460838	MQ
MFD00125.bin.2.62	6220886	MQ
MFD00125.bin.2.65	4011076	MQ
MFD00125.bin.2.70	6071540	MQ
MFD00125.bin.2.73	3303053	MQ
MFD00125.bin.2.82	6386981	MQ
MFD00125.bin.2.84	4151357	MQ
MFD00125.bin.2.87	5796730	MQ
MFD00125.bin.2.93	3266144	MQ
MFD00125.bin.2.97	4899300	MQ
MFD00125.bin.2.98	3234910	MQ
MFD00125.bin.3.20	3839452	MQ
MFD00125.bin.3.45	3553581	MQ
MFD00125.bin.3.95	5095312	MQ
MFD00392.bin.1.420	6530445	MQ
MFD00392.bin.2.10	5532499	MQ
MFD00392.bin.2.103	3504350	MQ
MFD00392.bin.2.108	4972431	MQ
MFD00392.bin.2.11	3545532	MQ
MFD00392.bin.2.110	2680138	MQ
MFD00392.bin.2.112	3356901	MQ
MFD00392.bin.2.113	2946978	MQ
MFD00392.bin.2.114	4298215	MQ
MFD00392.bin.2.115	2757035	MQ
MFD00392.bin.2.118	3289762	MQ
MFD00392.bin.2.119	3024474	MQ
MFD00392.bin.2.12	4429422	MQ
MFD00392.bin.2.120	3308274	MQ
MFD00392.bin.2.122	4165033	MQ
MFD00392.bin.2.124	2535391	MQ
MFD00392.bin.2.125	2841211	MQ
MFD00392.bin.2.126	3419487	MQ
MFD00392.bin.2.127	3131001	MQ
MFD00392.bin.2.129	5709926	MQ
MFD00392.bin.2.13	3847949	MQ
MFD00392.bin.2.132	5398217	MQ
MFD00392.bin.2.134	5459606	MQ
MFD00392.bin.2.135	2824117	MQ
MFD00392.bin.2.136	2968379	MQ
MFD00392.bin.2.137	3497880	MQ
MFD00392.bin.2.138	4270376	MQ
MFD00392.bin.2.140	4050249	MQ
MFD00392.bin.2.141	2625100	MQ
MFD00392.bin.2.143	3615212	MQ
MFD00392.bin.2.144	3591390	MQ
MFD00392.bin.2.145	4100863	MQ
MFD00392.bin.2.146	3314867	MQ
MFD00392.bin.2.149	5442621	MQ
MFD00392.bin.2.15	3284614	MQ
MFD00392.bin.2.152	2793782	MQ
MFD00392.bin.2.156	3169011	MQ
MFD00392.bin.2.160	3072482	MQ
MFD00392.bin.2.170	4931649	MQ
MFD00392.bin.2.171	3303589	MQ
MFD00392.bin.2.174	3319978	MQ
MFD00392.bin.2.175	4008404	MQ
MFD00392.bin.2.186	4244386	MQ
MFD00392.bin.2.193	4411533	MQ
MFD00392.bin.2.194	2834928	MQ
MFD00392.bin.2.2	3727772	MQ
MFD00392.bin.2.206	2844426	MQ
MFD00392.bin.2.213	2697738	MQ
MFD00392.bin.2.216	6314374	MQ
MFD00392.bin.2.23	4023104	MQ
MFD00392.bin.2.235	7784024	MQ
MFD00392.bin.2.237	3933634	MQ
MFD00392.bin.2.241	3435712	MQ
MFD00392.bin.2.245	5171851	MQ
MFD00392.bin.2.250	4386941	MQ
MFD00392.bin.2.252	5247151	MQ
MFD00392.bin.2.254	6218340	MQ
MFD00392.bin.2.260	2740676	MQ
MFD00392.bin.2.271	4422036	MQ
MFD00392.bin.2.275	5045330	MQ
MFD00392.bin.2.276	7097985	MQ
MFD00392.bin.2.277	5138520	MQ
MFD00392.bin.2.278	3060877	MQ
MFD00392.bin.2.279	3286576	MQ
MFD00392.bin.2.280	3661588	MQ
MFD00392.bin.2.284	3701814	MQ
MFD00392.bin.2.285	4081064	MQ
MFD00392.bin.2.289	3917561	MQ
MFD00392.bin.2.291	5905113	MQ
MFD00392.bin.2.292	3792523	MQ
MFD00392.bin.2.294	6400547	MQ
MFD00392.bin.2.295	5003979	MQ
MFD00392.bin.2.297	4275375	MQ
MFD00392.bin.2.300	5782160	MQ
MFD00392.bin.2.302	3024162	MQ
MFD00392.bin.2.307	5481830	MQ
MFD00392.bin.2.313	3812852	MQ
MFD00392.bin.2.316	3652192	MQ
MFD00392.bin.2.318	3891585	MQ
MFD00392.bin.2.319	2743958	MQ
MFD00392.bin.2.324	3245311	MQ
MFD00392.bin.2.326	4876315	MQ
MFD00392.bin.2.330	4391844	MQ
MFD00392.bin.2.333	2914773	MQ
MFD00392.bin.2.336	2241017	MQ
MFD00392.bin.2.340	3135413	MQ
MFD00392.bin.2.342	6871180	MQ
MFD00392.bin.2.345	6592283	MQ
MFD00392.bin.2.348	3870302	MQ
MFD00392.bin.2.353	2295338	MQ
MFD00392.bin.2.355	3762214	MQ
MFD00392.bin.2.36	3873769	MQ
MFD00392.bin.2.360	3035568	MQ
MFD00392.bin.2.363	3622713	MQ
MFD00392.bin.2.365	2223649	MQ
MFD00392.bin.2.371	5007580	MQ
MFD00392.bin.2.372	5108400	MQ
MFD00392.bin.2.374	3784334	MQ
MFD00392.bin.2.375	2332132	MQ
MFD00392.bin.2.381	4435312	MQ
MFD00392.bin.2.384	4260599	MQ
MFD00392.bin.2.387	5372009	MQ
MFD00392.bin.2.39	4337968	MQ
MFD00392.bin.2.40	5407167	MQ
MFD00392.bin.2.401	6244236	MQ
MFD00392.bin.2.402	4834231	MQ
MFD00392.bin.2.404	3156057	MQ
MFD00392.bin.2.405	3008649	MQ
MFD00392.bin.2.43	3805029	MQ
MFD00392.bin.2.44	3560714	MQ
MFD00392.bin.2.46	1695383	MQ
MFD00392.bin.2.48	2977779	MQ
MFD00392.bin.2.49	7212457	MQ
MFD00392.bin.2.52	2530262	MQ
MFD00392.bin.2.55	2187446	MQ
MFD00392.bin.2.59	6961088	MQ
MFD00392.bin.2.6	4735255	MQ
MFD00392.bin.2.63	3278299	MQ
MFD00392.bin.2.64	2752542	MQ
MFD00392.bin.2.65	5601851	MQ
MFD00392.bin.2.68	4780855	MQ
MFD00392.bin.2.69	3270485	MQ
MFD00392.bin.2.7	3264175	MQ
MFD00392.bin.2.71	5230903	MQ
MFD00392.bin.2.78	5893840	MQ
MFD00392.bin.2.80	3785866	MQ
MFD00392.bin.2.81	5538031	MQ
MFD00392.bin.2.85	3980009	MQ
MFD00392.bin.2.86	3455162	MQ
MFD00392.bin.2.99	3321618	MQ
MFD00392.bin.3.141	4101095	MQ
MFD00392.bin.3.147	5369657	MQ
MFD00392.bin.3.167	6036501	MQ
MFD00392.bin.3.170	5078530	MQ
MFD00392.bin.3.203	2835111	MQ
MFD00392.bin.3.204	2464174	MQ
MFD00392.bin.3.213	3389299	MQ
MFD00392.bin.3.302	3795396	MQ
MFD00392.bin.3.308	3573269	MQ
MFD00392.bin.3.431	4053039	MQ
MFD00392.bin.3.433	3933998	MQ
MFD00392.bin.3.529	4605808	MQ
MFD00392.bin.3.547	2371373	MQ
MFD00392.bin.3.555	3078242	MQ
MFD00392.bin.3.570	4636683	MQ
MFD00392.bin.3.594	3820661	MQ
MFD00392.bin.3.628	3398108	MQ
MFD00392.bin.3.648	4083875	MQ
MFD00392.bin.3.658	1414623	MQ
MFD00392.bin.3.673	6614725	MQ
MFD00392.bin.3.715	2829206	MQ
MFD00392.bin.3.720	2532259	MQ
MFD00392.bin.3.723	5677663	MQ
MFD00392.bin.3.744	3709136	MQ
MFD00392.bin.3.845	3533505	MQ
MFD00392.bin.3.88	2167305	MQ
MFD00392.bin.3.929	3515014	MQ
MFD00392.bin.3.937	5106702	MQ
MFD00392.bin.4.109	2808478	MQ
MFD00392.bin.4.475	5762447	MQ
MFD00392.bin.4.653	2790343	MQ
MFD00392.bin.4.807	3273634	MQ
MFD00392.bin.4.906	2513233	MQ
MFD00709.bin.1.4	2334289	MQ
MFD00709.bin.2.102	2168061	MQ
MFD00709.bin.2.104	5432304	MQ
MFD00709.bin.2.114	3819835	MQ
MFD00709.bin.2.117	3477470	MQ
MFD00709.bin.2.118	3919720	MQ
MFD00709.bin.2.122	3932839	MQ
MFD00709.bin.2.131	3200393	MQ
MFD00709.bin.2.137	2304292	MQ
MFD00709.bin.2.142	4073589	MQ
MFD00709.bin.2.144	2961295	MQ
MFD00709.bin.2.146	4310082	MQ
MFD00709.bin.2.147	5383578	MQ
MFD00709.bin.2.150	3430509	MQ
MFD00709.bin.2.153	3883845	MQ
MFD00709.bin.2.155	2706699	MQ
MFD00709.bin.2.156	5181152	MQ
MFD00709.bin.2.157	1702454	MQ
MFD00709.bin.2.159	2565501	MQ
MFD00709.bin.2.162	4677167	MQ
MFD00709.bin.2.166	3127089	MQ
MFD00709.bin.2.17	2700659	MQ
MFD00709.bin.2.174	2988999	MQ
MFD00709.bin.2.175	4732082	MQ
MFD00709.bin.2.182	2213860	MQ
MFD00709.bin.2.187	4292866	MQ
MFD00709.bin.2.20	2670402	MQ
MFD00709.bin.2.201	2373595	MQ
MFD00709.bin.2.207	2074842	MQ
MFD00709.bin.2.211	1873835	MQ
MFD00709.bin.2.216	4099862	MQ
MFD00709.bin.2.28	3283056	MQ
MFD00709.bin.2.3	4635637	MQ
MFD00709.bin.2.32	4394491	MQ
MFD00709.bin.2.34	3620059	MQ
MFD00709.bin.2.4	1633473	MQ
MFD00709.bin.2.40	3118096	MQ
MFD00709.bin.2.41	3991947	MQ
MFD00709.bin.2.42	2671306	MQ
MFD00709.bin.2.44	1948777	MQ
MFD00709.bin.2.45	2898733	MQ
MFD00709.bin.2.48	2805773	MQ
MFD00709.bin.2.5	2515484	MQ
MFD00709.bin.2.50	3190706	MQ
MFD00709.bin.2.54	3532874	MQ
MFD00709.bin.2.55	4730140	MQ
MFD00709.bin.2.62	3133615	MQ
MFD00709.bin.2.64	4867864	MQ
MFD00709.bin.2.65	1229618	MQ
MFD00709.bin.2.7	5030766	MQ
MFD00709.bin.2.72	2654454	MQ
MFD00709.bin.2.75	2190254	MQ
MFD00709.bin.2.8	3306720	MQ
MFD00709.bin.2.91	2689700	MQ
MFD00709.bin.3.102	2691350	MQ
MFD00709.bin.3.105	2801572	MQ
MFD00709.bin.3.125	4784036	MQ
MFD00709.bin.3.130	835929	MQ
MFD00709.bin.3.153	3448602	MQ
MFD00709.bin.3.160	3971205	MQ
MFD00709.bin.3.183	2701590	MQ
MFD00709.bin.3.2	3616520	MQ
MFD00709.bin.3.294	2435973	MQ
MFD00709.bin.3.31	2820342	MQ
MFD00709.bin.3.321	2790138	MQ
MFD00709.bin.3.343	6080863	MQ
MFD00709.bin.3.465	2913722	MQ
MFD00709.bin.3.484	2876514	MQ
MFD00709.bin.3.77	3452833	MQ
MFD00731.bin.1.153	8581730	MQ
MFD00731.bin.1.234	4681975	MQ
MFD00731.bin.2.1	6800052	MQ
MFD00731.bin.2.11	1454018	MQ
MFD00731.bin.2.111	7093206	MQ
MFD00731.bin.2.112	7291840	MQ
MFD00731.bin.2.114	7350297	MQ
MFD00731.bin.2.120	8427805	MQ
MFD00731.bin.2.127	4067575	MQ
MFD00731.bin.2.129	4027727	MQ
MFD00731.bin.2.132	3094733	MQ
MFD00731.bin.2.133	5459894	MQ
MFD00731.bin.2.137	5795997	MQ
MFD00731.bin.2.14	9117051	MQ
MFD00731.bin.2.142	5674559	MQ
MFD00731.bin.2.145	4495018	MQ
MFD00731.bin.2.149	4449122	MQ
MFD00731.bin.2.150	4643983	MQ
MFD00731.bin.2.157	4037834	MQ
MFD00731.bin.2.159	5760568	MQ
MFD00731.bin.2.164	3983826	MQ
MFD00731.bin.2.166	2613193	MQ
MFD00731.bin.2.167	6729203	MQ
MFD00731.bin.2.169	7277692	MQ
MFD00731.bin.2.17	5801156	MQ
MFD00731.bin.2.170	5734098	MQ
MFD00731.bin.2.173	6261475	MQ
MFD00731.bin.2.174	4487321	MQ
MFD00731.bin.2.180	4437785	MQ
MFD00731.bin.2.183	3639181	MQ
MFD00731.bin.2.187	4634065	MQ
MFD00731.bin.2.193	4532258	MQ
MFD00731.bin.2.198	8945738	MQ
MFD00731.bin.2.2	5197764	MQ
MFD00731.bin.2.20	3297528	MQ
MFD00731.bin.2.201	10357470	MQ
MFD00731.bin.2.202	6602882	MQ
MFD00731.bin.2.203	4382753	MQ
MFD00731.bin.2.205	6354299	MQ
MFD00731.bin.2.212	2753002	MQ
MFD00731.bin.2.216	10830705	MQ
MFD00731.bin.2.220	4687526	MQ
MFD00731.bin.2.26	10170430	MQ
MFD00731.bin.2.35	4150818	MQ
MFD00731.bin.2.4	5338719	MQ
MFD00731.bin.2.47	8696451	MQ
MFD00731.bin.2.48	2938893	MQ
MFD00731.bin.2.49	3850085	MQ
MFD00731.bin.2.57	4560179	MQ
MFD00731.bin.2.58	1469486	MQ
MFD00731.bin.2.6	4814270	MQ
MFD00731.bin.2.60	7129211	MQ
MFD00731.bin.2.62	3936073	MQ
MFD00731.bin.2.63	9198888	MQ
MFD00731.bin.2.65	4347000	MQ
MFD00731.bin.2.67	6717615	MQ
MFD00731.bin.2.72	6636587	MQ
MFD00731.bin.2.73	6075338	MQ
MFD00731.bin.2.74	2934130	MQ
MFD00731.bin.2.8	3774411	MQ
MFD00731.bin.2.81	5581565	MQ
MFD00731.bin.2.91	4885734	MQ
MFD00731.bin.2.93	7413469	MQ
MFD00731.bin.3.121	4618852	MQ
MFD00731.bin.3.122	2493263	MQ
MFD00731.bin.3.174	2035007	MQ
MFD00731.bin.3.176	4786595	MQ
MFD00731.bin.3.201	4446391	MQ
MFD00731.bin.3.247	4534610	MQ
MFD00731.bin.3.259	4255021	MQ
MFD00731.bin.3.307	2746592	MQ
MFD00731.bin.3.357	7175842	MQ
MFD00731.bin.3.385	4992330	MQ
MFD00731.bin.3.415	3592374	MQ
MFD00731.bin.3.428	4104027	MQ
MFD00731.bin.3.52	6110800	MQ
MFD00731.bin.3.66	5406233	MQ
MFD00731.bin.3.75	7440950	MQ
MFD00731.bin.4.171	5278629	MQ
MFD00731.bin.4.227	3328772	MQ
MFD00731.bin.4.272	2707596	MQ
MFD00731.bin.4.712	2916875	MQ
MFD00822.bin.1.150	6127912	MQ
MFD00822.bin.1.51	5235530	MQ
MFD00822.bin.1.7	6460190	MQ
MFD00822.bin.2.104	3069516	MQ
MFD00822.bin.2.108	3831757	MQ
MFD00822.bin.2.11	4584343	MQ
MFD00822.bin.2.110	2609736	MQ
MFD00822.bin.2.115	5844657	MQ
MFD00822.bin.2.117	7259654	MQ
