bin	phylum	class	order	family	genus	species	novelty
MFD09603.bin.2.176	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10014_0	Species
MFD09603.bin.2.285	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10015_0	Species
MFD09603.bin.1.123	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10016_0	Species
MFD09603.bin.2.169	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10017_0	Species
MFD09603.bin.2.302	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10018_0	Species
MFD04434.bin.2.18	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAFAMS01	s_novel_10019_1	Species
MFD04463.bin.c.10	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAFAMS01	s_novel_10019_2	Species
MFD00032.bin.2.51	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	JARKPB01	s_novel_1002_0	Species
MFD04463.bin.2.23	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAFAMS01	s_novel_10020_0	Species
MFD09603.bin.1.124	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAMXLG01	s_novel_10021_0	Species
MFD09603.bin.1.351	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAMXLG01	s_novel_10022_0	Species
MFD09603.bin.1.169	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAMXLG01	s_novel_10023_0	Species
MFD09603.bin.2.61	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JALYTY01	s_novel_10024_0	Species
MFD10113.bin.2.131	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JALYTY01	s_novel_10025_0	Species
MFD09603.bin.2.129	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JALYTY01	s_novel_10026_0	Species
MFD09603.bin.c.5	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	JAICWY01	s_novel_10027_0	Species
MFD04492.bin.3.60	Bacillota_A	Clostridia	Oscillospirales	Ethanoligenenaceae	g_novel_bac_652	s_novel_10028_0	Genus
MFD02832.bin.1.31	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Undibacterium	Undibacterium sp030645915	Known
MFD03899.bin.2.26	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	UBA877	s_novel_1003_0	Species
MFD02832.bin.3.64	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Undibacterium	s_novel_10030_0	Species
MFD02832.bin.1.96	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Undibacterium	Undibacterium sp009937955	Known
MFD08691.bin.2.86	Bacillota_G	Limnochordia	Limnochordales	Limnochordaceae	Limnochorda	Limnochorda sp012799445	Known
MFD01231.bin.1.41	FCPU426	Palsa-1180	Palsa-1180	Palsa-1180	g_novel_bac_1582	s_novel_10033_0	Genus
MFD03726.bin.1.149	FCPU426	Palsa-1180	Palsa-1180	Palsa-1180	g_novel_bac_1582	s_novel_10034_0	Genus
MFD02809.bin.2.232	Spirochaetota	UBA4802	UBA4802	JAFGDQ01	JAFGSG01	s_novel_10035_0	Species
MFD04651.bin.1.230	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	JAAFIP01	s_novel_10036_0	Species
MFD02832.bin.1.177	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	s_novel_10037_0	Species
MFD04716.bin.1.85	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	JAUIAI01	s_novel_10038_0	Species
MFD05502.bin.1.3	Fibrobacterota	Fibrobacteria	UBA11236	UBA11236	g_novel_bac_1600	s_novel_10039_0	Genus
MFD09964.bin.1.70	Actinomycetota	Acidimicrobiia	UBA5794	JAENVV01	GCA-020352575	s_novel_1004_0	Species
MFD10043.bin.2.3	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pollutimonas	s_novel_10040_0	Species
MFD10113.bin.1.142	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pollutimonas	s_novel_10041_0	Species
MFD08669.bin.2.65	Bacillota_G	Limnochordia	DTU080	RSA5	RSA7	RSA7 sp002919195	Known
MFD08691.bin.4.59	Bacillota_G	Limnochordia	DTU080	RSA5	RSA5	RSA5 sp002919235	Known
MFD02979.bin.2.4	Spirochaetota	UBA4802	UBA4802	UBA5368	g_novel_bac_1781	s_novel_10044_0	Genus
MFD04651.bin.1.182	Pseudomonadota	Gammaproteobacteria	Burkholderiales	JALYOK01	JALYOK01	s_novel_10045_0	Species
MFD04651.bin.2.91	Pseudomonadota	Gammaproteobacteria	Burkholderiales	JALYOK01	JALYOK01	s_novel_10046_0	Species
MFD01561.bin.2.53	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	s_novel_10047_0	Species
MFD02832.bin.2.8	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	s_novel_10048_0	Species
MFD01561.bin.2.59	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Janthinobacterium	Janthinobacterium sp002846335	Known
MFD09730.bin.1.134	Actinomycetota	Acidimicrobiia	Acidimicrobiales	CADCSY01	JACOTK01	s_novel_1005_0	Species
MFD01561.bin.1.78	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	AVCC01	s_novel_10050_0	Species
MFD05674.bin.1.115	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	s_novel_10051_0	Species
MFD05674.bin.2.170	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paucimonas	s_novel_10052_0	Species
MFD10113.bin.2.31	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	g_novel_bac_1117	s_novel_10053_0	Genus
MFD10113.bin.3.547	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	g_novel_bac_1117	s_novel_10054_0	Genus
MFD02581.bin.2.68	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Noviherbaspirillum_A	Noviherbaspirillum_A suwonense	Known
MFD10043.bin.2.4	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Herminiimonas	s_novel_10056_0	Species
MFD01275.bin.2.5	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	s_novel_10057_1	Species
MFD02840.bin.1.317	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia	s_novel_10058_0	Species
MFD05377.bin.1.56	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	GJ-E10	GJ-E10 sp900290295	Known
MFD02416.bin.1.138	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	s_novel_1006_0	Species
MFD01476.bin.3.321	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	GJ-E10	s_novel_10060_0	Species
MFD04428.bin.2.120	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	GJ-E10	s_novel_10061_0	Species
MFD02979.bin.2.113	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	FEB-7	s_novel_10062_0	Species
MFD09730.bin.2.143	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	FEB-7	s_novel_10063_0	Species
MFD09730.bin.2.88	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	FEB-7	s_novel_10064_0	Species
MFD09964.bin.1.200	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	FEB-7	s_novel_10065_0	Species
MFD09964.bin.2.145	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	FEB-7	s_novel_10066_0	Species
MFD05442.bin.2.174	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10067_1	Species
MFD06714.bin.2.42	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10068_0	Species
MFD04967.bin.2.7	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10069_1	Species
MFD05841.bin.3.233	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10069_2	Species
MFD02923.bin.1.97	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Brevefilum	s_novel_1007_0	Species
MFD01872.bin.1.10	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10070_0	Species
MFD01872.bin.2.54	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10071_0	Species
MFD01721.bin.2.93	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	Usitatibacter	s_novel_10072_0	Species
MFD02979.bin.2.196	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Usitatibacteraceae	g_novel_bac_1086	s_novel_10073_0	Genus
MFD02416.bin.1.398	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	PFJX01	s_novel_10074_0	Species
MFD09964.bin.2.238	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Desulfobacillus	s_novel_10075_0	Species
MFD05684.bin.1.75	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SG8-39	JAABRB01	s_novel_10076_0	Species
MFD04716.bin.1.293	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfurimicrobium	s_novel_10077_0	Species
MFD04716.bin.1.327	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sulfuricellaceae	Sulfurimicrobium	s_novel_10078_0	Species
MFD04716.bin.1.308	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera sp029569495	Known
MFD03804.bin.2.46	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	SMBSF63	s_novel_1008_0	Species
MFD04716.bin.1.405	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera sp002842195	Known
MFD03899.bin.1.28	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	GCA-2401735	s_novel_10081_1	Species
MFD00032.bin.2.225	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera_A	s_novel_10082_0	Species
MFD01275.bin.2.33	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera_A	s_novel_10083_0	Species
MFD04540.bin.2.50	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	CAILZL01	s_novel_10084_0	Species
MFD02832.bin.1.179	Patescibacteria	ABY1	SG8-24	UBA9934	JAGORL01	s_novel_10085_0	Species
MFD03804.bin.1.6	Bacillota_A	Clostridia	DUPQ01	DUPQ01	JAFGQE01	s_novel_10086_0	Species
MFD08669.bin.2.107	Bacillota_A	Clostridia	Tissierellales	Tepidimicrobiaceae	Tepidimicrobium	Tepidimicrobium sp012728595	Known
MFD07737.bin.3.13	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Mobilitalea	Mobilitalea luporum	Known
MFD05674.bin.3.33	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_D	s_novel_10089_1	Species
MFD09964.bin.2.160	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	SMBSF63	s_novel_1009_0	Species
MFD04716.bin.1.243	Bacillota_A	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_D	Romboutsia_D sp947072565	Known
MFD02923.bin.1.27	JAAXVQ01	JAAXVQ01	JAAXVQ01	JAAXVQ01	g_novel_bac_1584	s_novel_10091_0	Genus
MFD05674.bin.4.515	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Trichococcus	s_novel_10092_1	Species
MFD05674.bin.1.183	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Trichococcus	s_novel_10093_1	Species
MFD01299.bin.1.116	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Trichococcus	Trichococcus flocculiformis	Known
MFD02581.bin.1.61	Armatimonadota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	JAQNCO01	s_novel_10094_0	Species
MFD08669.bin.2.39	Bacillota	Bacilli	Paenibacillales	CALAME01	CALAME01	CALAME01 sp937925675	Known
MFD01561.bin.1.20	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium_A	Exiguobacterium_A sp003339585	Known
MFD04651.bin.3.154	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium_A	Exiguobacterium_A sp902363455	Known
MFD02832.bin.2.48	Bacillota	Bacilli	Exiguobacterales	Exiguobacteraceae	Exiguobacterium_A	Exiguobacterium_A oxidotolerans	Known
MFD08669.bin.2.108	Bacillota	Bacilli	Bacillales_D	Amphibacillaceae	Pseudogracilibacillus	s_novel_10099_0	Species
MFD01476.bin.2.40	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanoregula	s_novel_101_1	Species
MFD03726.bin.3.151	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanoregula	s_novel_101_2	Species
MFD03726.bin.1.63	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	UBA877	s_novel_1010_0	Species
MFD08669.bin.2.17	Bacillota_A	Clostridia	Acetivibrionales	Acetivibrionaceae	Herbivorax	Herbivorax sp012517995	Known
MFD05942.bin.2.135	Bacillota	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus_B	s_novel_10101_1	Species
MFD08700.bin.4.239	Bacillota	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus_B	s_novel_10101_2	Species
MFD05674.bin.3.413	Bacillota	Bacilli	Bacillales_A	Planococcaceae	Ureibacillus	s_novel_10102_0	Species
MFD07841.bin.2.61	Bacillota	Bacilli	Bacillales_A	Planococcaceae	Rummeliibacillus	s_novel_10103_0	Species
MFD05442.bin.1.80	Bacillota	Bacilli	Bacillales_D	Halobacillaceae	Halobacillus	s_novel_10104_1	Species
MFD02923.bin.1.48	Bacillota	Bacilli	Bacillales_D	Halobacillaceae	Halobacillus	s_novel_10105_1	Species
MFD03726.bin.1.133	Spirochaetota	Brevinematia	Brevinematales	JAOACQ01	g_novel_bac_1782	s_novel_10106_0	Genus
MFD03726.bin.1.3	Spirochaetota	Brevinematia	Brevinematales	JAOACQ01	g_novel_bac_1782	s_novel_10107_0	Genus
MFD03726.bin.1.50	Spirochaetota	Brevinematia	Brevinematales	JAOACQ01	g_novel_bac_1782	s_novel_10108_0	Genus
MFD05684.bin.3.432	Bacillota	Bacilli	Bacillales_G	HB172195	Anaerobacillus_A	Anaerobacillus_A hwajinpoensis_B	Known
MFD00709.bin.1.57	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	g_novel_bac_112	s_novel_1011_0	Genus
MFD05684.bin.1.141	Bacillota	Bacilli	Bacillales_G	HB172195	Anaerobacillus_A	s_novel_10110_1	Species
MFD05684.bin.3.35	Bacillota	Bacilli	Bacillales_G	HB172195	Anaerobacillus_A	s_novel_10110_2	Species
MFD02416.bin.3.64	Bacillota	Bacilli	Bacillales_K	Sporolactobacillaceae	g_novel_bac_658	s_novel_10111_0	Genus
MFD02923.bin.1.160	Bacillota	Bacilli	Bacillales_K	Sporolactobacillaceae	KACC-23026	s_novel_10112_0	Species
MFD03066.bin.2.235	Bacillota	Bacilli	Bacillales_H	Bacillaceae_D	Halalkalibacter	s_novel_10113_0	Species
MFD02923.bin.1.85	Bacillota	Bacilli	Bacillales_B	Bacillaceae_B	Rossellomorea	s_novel_10114_1	Species
MFD02923.bin.2.64	Bacillota	Bacilli	Bacillales_B	Bacillaceae_B	Rossellomorea	s_novel_10115_0	Species
MFD02416.bin.2.117	Bacillota	Bacilli	Bacillales_B	Bacillaceae_B	Rossellomorea	s_novel_10116_0	Species
MFD04492.bin.4.99	Bacillota_C	Negativicutes	Selenomonadales	Massilibacillaceae	JARBTT01	s_novel_10117_0	Species
MFD02416.bin.1.345	Bacillota	Bacilli	Bacillales_B	f_novel_bac_662	g_novel_bac_662	s_novel_10118_0	Family
MFD03804.bin.2.152	Krumholzibacteriota	Krumholzibacteria	WVZY01	WVZY01	g_novel_bac_1616	s_novel_10119_0	Genus
MFD02809.bin.2.225	Chloroflexota	Anaerolineae	Anaerolineales	Villigracilaceae	UBA877	s_novel_1012_0	Species
MFD03899.bin.1.111	Bacillota_G	DTU025	DTUO25	MWDF01	g_novel_bac_669	s_novel_10120_0	Genus
MFD05674.bin.2.139	Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinispirillaceae	JAAZBG01	s_novel_10121_0	Species
MFD08669.bin.2.63	Bacillota	Bacilli	Paenibacillales	DA-C8	g_novel_bac_655	s_novel_10122_0	Genus
MFD00822.bin.2.149	Acidobacteriota	Thermoanaerobaculia	UBA5066	Gp7-AA6	g_novel_bac_1179	s_novel_10123_0	Genus
MFD05513.bin.1.255	Acidobacteriota	Thermoanaerobaculia	UBA5066	Gp7-AA6	g_novel_bac_1179	s_novel_10124_0	Genus
MFD04967.bin.c.6	Acidobacteriota	Thermoanaerobaculia	UBA5066	Gp7-AA6	g_novel_bac_1179	s_novel_10125_0	Genus
MFD05502.bin.2.147	Acidobacteriota	Thermoanaerobaculia	UBA5066	f_novel_bac_1179	g_novel_bac_1179	s_novel_10126_0	Family
MFD04540.bin.2.92	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	s_novel_10127_0	Species
MFD09495.bin.2.56	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	s_novel_10128_0	Species
MFD01721.bin.c.1	Myxococcota	Bradymonadia	Bradymonadales	Bradymonadaceae	Persicimonas	s_novel_10129_0	Species
MFD04944.bin.2.27	Chloroflexota	Anaerolineae	Anaerolineales	UBA4823	g_novel_bac_131	s_novel_1013_0	Genus
MFD06714.bin.2.36	Chloroflexota	UBA6077	UBA6077	CF-72	g_novel_bac_81	s_novel_10130_0	Genus
MFD09603.bin.2.118	Chloroflexota	UBA6077	UBA6077	CF-72	g_novel_bac_81	s_novel_10131_0	Genus
MFD04967.bin.2.11	Chloroflexota	UBA6077	UBA6077	CF-72	CF-72	s_novel_10132_0	Species
MFD05705.bin.2.48	Chloroflexota	UBA6077	UBA6077	CF-72	CF-72	s_novel_10133_0	Species
MFD01248.bin.3.30	Acidobacteriota	Terriglobia	UBA7540	UBA7540	g_novel_bac_1355	s_novel_10134_0	Genus
MFD03399.bin.2.96	Acidobacteriota	Terriglobia	Acidoferrales	UBA7541	PALSA-278	s_novel_10135_0	Species
MFD03250.bin.1.109	Bacteroidota	Rhodothermia	Rhodothermales	BA12	g_novel_bac_1716	s_novel_10136_0	Genus
MFD03250.bin.2.54	Bacteroidota	Rhodothermia	Rhodothermales	BA12	g_novel_bac_1716	s_novel_10137_0	Genus
MFD03250.bin.1.183	Bacteroidota	Rhodothermia	Rhodothermales	BA12	g_novel_bac_1716	s_novel_10138_0	Genus
MFD05684.bin.1.294	Bacteroidota	Rhodothermia	Rhodothermales	f_novel_bac_1718	g_novel_bac_1718	s_novel_10139_0	Family
MFD04408.bin.1.228	Thermoproteota	Bathyarchaeia	Bathyarchaeales	B26-1	PIYB01	s_novel_1014_0	Species
MFD09964.bin.2.262	Myxococcota_A	UBA9160	SZUA-336	SZUA-336	VGRW01	s_novel_10140_0	Species
MFD10007.bin.2.43	Myxococcota_A	UBA9160	SZUA-336	SZUA-336	VGRW01	s_novel_10141_0	Species
MFD09779.bin.2.228	Pseudomonadota	Gammaproteobacteria	o_novel_bac_1051	f_novel_bac_1051	g_novel_bac_1051	s_novel_10142_0	Order
MFD01275.bin.1.206	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ga0077530	Ga0077530 sp001464855	Known
MFD04651.bin.2.7	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Ga0077530	s_novel_10144_0	Species
MFD04651.bin.4.368	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	g_novel_bac_959	s_novel_10145_0	Genus
MFD04716.bin.3.391	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	JABFRJ01	s_novel_10146_0	Species
MFD03804.bin.1.101	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	s_novel_10147_0	Species
MFD09212.bin.4.413	Nitrospirota	Nitrospiria	Nitrospirales	NS-4	NS-11	s_novel_10148_0	Species
MFD02416.bin.2.110	Pseudomonadota	Alphaproteobacteria	Micropepsales	f_novel_bac_869	g_novel_bac_869	s_novel_10149_0	Family
MFD05942.bin.1.115	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	PNON01	s_novel_1015_0	Species
MFD09779.bin.2.168	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	28-YEA-48	s_novel_10150_0	Species
MFD05674.bin.2.122	RBG-13-66-14	B26-G2	o_novel_bac_1381	f_novel_bac_1381	g_novel_bac_1381	s_novel_10151_0	Order
MFD05684.bin.1.327	Pseudomonadota	Alphaproteobacteria	Bin95	Bin95	g_novel_bac_971	s_novel_10152_0	Genus
MFD09964.bin.1.198	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	s_novel_10153_1	Species
MFD03804.bin.1.207	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter	s_novel_10154_0	Species
MFD09779.bin.1.69	Acidobacteriota	Thermoanaerobaculia	Multivoradales	Multivoraceae	g_novel_bac_1192	s_novel_10155_0	Genus
MFD09779.bin.3.137	Gemmatimonadota	Gemmatimonadetes	Palauibacterales	Palauibacteraceae	Carthagonibacter	s_novel_10156_0	Species
MFD03250.bin.3.110	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	s_novel_10157_0	Species
MFD04651.bin.1.223	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Ilumatobacter_A	s_novel_10158_0	Species
MFD05684.bin.1.14	Pseudomonadota	Alphaproteobacteria	JAPYRI01	JAPYRI01	g_novel_bac_970	s_novel_10159_1	Genus
MFD09730.bin.2.106	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	PNON01	s_novel_1016_0	Species
MFD02416.bin.2.258	Pseudomonadota	Alphaproteobacteria	JAPYRI01	JAPYRI01	g_novel_bac_970	s_novel_10160_0	Genus
MFD05684.bin.2.104	Pseudomonadota	Alphaproteobacteria	JAPYRI01	JAPYRI01	g_novel_bac_970	s_novel_10161_0	Genus
MFD04651.bin.2.39	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	g_novel_bac_584	s_novel_10162_0	Genus
MFD04651.bin.1.238	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10163_0	Species
MFD04651.bin.2.149	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10164_0	Species
MFD04651.bin.1.228	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10165_0	Species
MFD04651.bin.1.217	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10166_0	Species
MFD04651.bin.2.108	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10167_0	Species
MFD04651.bin.2.77	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10168_0	Species
MFD04651.bin.1.140	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10169_0	Species
MFD03899.bin.2.174	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	PNON01	s_novel_1017_0	Species
MFD04651.bin.1.151	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Aestuariivirgaceae	Aestuariivirga	s_novel_10170_0	Species
