bin	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	cov	bakta_CDS_all	bakta_CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	barrnap_16S	barrnap_23S	barrnap_5S	uniq_trna_arc	Q_score	MAG_status	gtdb_classification	gtdb_msa	gtdb_ani	gtdb_af	gtdb_red	primary_cluster	secondary_cluster
LIB-MJ334-E9_01.19	72.28	0	0	99.24	0.23	0.901	455697	303.135555555556	906909	0.49	900	3	455697	16.021431	905	441	46	21	1	1	1	1	1	1	0	72.28	HQ	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__UBA9934;g__JAGORL01;s__	76.44	78.02	0.236	0.95752	4325	4325_0
LIB-MJ305-D6_04.8	98.01	1.07	0	95.46	0.89	0.914	436824	322.243994347621	4482081	0.46	4246	57	907704	19.423723	4249	497	42	20	1	1	2	1	1	2	0	92.66	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiolinea;s__	89.29	80.32	0.573	0.96842	4368	4368_1
LIB-MJ334-A10_01.60	92.03	0	0	98.45	0.74	0.934	377348	314.419989367358	1895586	0.51	1881	12	593951	27.540987	1857	415	50	21	1	1	2	1	1	2	0	92.03	HQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__Nanopelagicaceae;g__QYPT01;s__	92.12	79.1	0.371	0.9724	1925	1925_1
LIB-MJ390-E1_03.2	100	0.6	0	99.96	0.59	0.837	360947	337.204024982651	3483243	0.43	2882	20	688301	315.08972	2876	80	44	21	1	1	3	1	1	3	0	97	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__	99.21	N/A	N/A	0.99882	4318	4318_0
LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.40	94.66	1.71	0	95.58	0.01	0.894	313097	350.461251435132	4091510	0.59	3484	20	611410	27.280914	3425	1028	50	22	2	1	1	2	1	1	0	86.11	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__;s__	93.88	76.91	0.036	0.8271	4176	4176_1
LIB-MJ386-B12_04.13	99.46	0	0	99.91	0.56	0.917	273804	325.392783077561	2561934	0.38	2411	25	599000	29.220438	2408	342	35	21	1	1	1	1	1	1	0	99.46	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	98.03	90.41	0.817	0.9871	4592	4592_0
LIB-MJ413-D7_01.69	90.2	5.13	0	91.49	0.83	0.892	263775	359.510685663402	2711214	0.46	2246	38	501748	21.742825	2207	352	49	21	1	2	1	1	2	1	0	64.55	HQ	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Saccharicenantaceae;g__Saccharicenans;s__Saccharicenans sp002316315	90.76	98.47	0.948	N/A	2337	2337_0
LIB-MJ259-H9_04.28	98.52	1.25	0	100	2.12	0.873	249646	321.676360431813	5009235	0.53	4539	66	501588	122.3247	4496	143	67	20	1	1	1	1	1	1	0	92.27	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Rouxiella;s__Rouxiella badensis	84.91	99.63	0.971	N/A	3227	3227_1
LIB-MJ263-G9_04.10	100	0.6	0	100	0.06	0.886	245131	321.073584489976	4927955	0.51	4539	41	888547	72.89358	4499	174	78	21	1	1	3	1	1	3	0	97	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__	97.64	N/A	N/A	0.99191	3229	3229_0
LIB-MJ413-G5_01.23	100	2.91	0	99.27	4.89	0.908	240004	255.688708951867	1873284	0.45	2223	20	419309	47.67418	2124	1898	40	17	1	1	1	1	1	1	22	85.45	HQ	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__	91.07	77.84	0.307	0.94621	288	288_1
LIB-MJ336-B5_02.10	99.35	0.49	0	99.99	2.64	0.886	237888	333.90200916461	6404484	0.6	5674	61	724573	171.82294	5691	150	58	20	1	1	2	1	1	2	0	96.9	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	89.57	93.85	0.893	0.99929	3242	3242_2
LIB-MJ088-B5_04.3	98.15	1.23	0	92.2	0.74	0.899	231132	313.045080190724	2404535	0.65	2307	22	512747	14.573583	2271	761	47	21	1	1	1	1	1	1	0	92	HQ	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__Bog-877;s__	91.18	N/A	N/A	0.9203	1023	1023_1
LIB-MJ389-F5_03.4	83.18	0.45	0	97.34	0.09	0.852	222229	298.217245989305	1568971	0.31	1496	18	426635	27.51508	1499	769	48	22	1	1	1	1	1	1	0	80.93	HQ	d__Bacteria;p__Actinomycetota;c__Humimicrobiia;o__JAHJRV01;f__JAHJRV01;g__JAHJRV01;s__JAHJRV01 sp018830725	89.73	95.25	0.83	N/A	4955	4955_0
LIB-MJ386-F8_04.6	100	0.98	0	99.99	0.39	0.919	216882	332.585250551529	3439697	0.65	3173	29	365172	424.65488	3161	196	43	21	1	1	1	1	1	1	0	95.1	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Castellaniella;s__	97.02	82.26	0.594	0.98377	3449	3449_0
LIB-MJ334-A10_01.26	83.59	0	0	98.96	0.13	0.911	209327	287.78677309008	830213	0.42	877	14	210755	22.12099	844	210	43	20	0	0	1	1	1	1	0	83.59	HQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA9973;g__UBA9973;s__	72.19	76.99	0.247	0.94022	4263	4263_1
LIB-MJ413-D8_01.2	96.61	0.92	0	99.89	2.85	0.936	202300	316.037691401649	1711526	0.4	1698	103	416746	21.072208	1598	440	53	21	1	3	3	1	3	3	0	92.01	HQ	d__Bacteria;p__WOR-3;c__Hydrothermia;o__UBA1063;f__UBA1063;g__UBA1063;s__UBA1063 sp002316275	85.46	99.76	0.98	N/A	1495	1495_1
LIB-MJ139-C1_01.19	94.87	3.59	20	96.13	1.57	0.889	196267	332.475883415012	4344270	0.55	3877	44	454344	26.399242	3793	1208	49	22	1	1	1	1	1	1	0	76.92	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Palsa-295;s__	94.1	85.57	0.583	0.98091	4113	4113_0
LIB-MJ091-A11_03_v_LIB-MJ403-H9_03.4	97.79	0.85	0	98.19	1.12	0.878	189741	332.851671603893	5368202	0.58	4726	64	626281	37.742523	4630	897	51	21	1	1	2	1	1	2	0	93.54	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__	87.43	92.22	0.824	0.98627	3964	3964_1
LIB-MJ305-H2_04.6	99.87	1.53	7.69	99.98	0.5	0.909	188209	313.042665923034	3697584	0.59	3586	126	543941	18.024588	3512	829	45	20	3	5	1	3	5	1	0	92.22	HQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__BOKV01;s__	93.84	77.21	0.295	0.92774	2531	2531_1
LIB-MJ140-A4_02.1	100	1.23	0	100	1.24	0.869	183671	314.059314388814	4797427	0.55	4434	75	275869	34.0022	4402	106	69	20	1	1	5	1	1	5	0	93.85	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__Pantoea agglomerans	95.35	98.44	0.942	N/A	3220	3220_1
LIB-MJ334-E9_01.14	99.84	0.55	14.29	99.9	2.04	0.93	183455	310.560087173101	3210283	0.56	3212	56	331822	25.115076	3179	378	41	21	1	1	1	1	1	1	0	97.09	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__JAHIYE01;s__	98.37	77.9	0.268	0.9623	3372	3372_1
LIB-MJ227-D6_02.7	98.37	3.54	6.67	99.77	2.53	0.931	180328	305.773884021694	2355063	0.46	2397	87	231573	16.933622	2366	271	55	20	1	1	2	2	1	0	0	80.67	HQ	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfuricurvum;s__	90.15	N/A	N/A	0.98073	204	204_0
LIB-MJ336-B5_02.8	99.23	2.81	0	100	2.21	0.88	179802	321.781782437746	5014327	0.5	4578	124	494454	23.117262	4523	207	100	21	2	2	2	3	3	2	0	85.18	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Buttiauxella;s__Buttiauxella gaviniae	82.64	98.61	0.861	N/A	3228	3228_1
LIB-MJ305-B11_04.5	95.08	2.06	0	99.22	2.34	0.926	174160	331.186286658406	2591235	0.38	2421	119	274641	20.064241	2301	250	43	21	1	1	1	1	1	0	0	84.78	HQ	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__SJA-28;f__B-1AR;g__OLB4;s__OLB4 sp002050165	92.39	99.67	0.956	N/A	724	724_0
LIB-MJ252-G3_02.3	97.07	1.6	0	99.68	1.36	0.891	171737	300.062094531974	2173836	0.62	2158	23	338642	16.262165	2197	1920	37	16	1	1	2	1	1	2	22	89.07	HQ	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__UBA184;g__UBA184;s__	97.76	N/A	N/A	0.83717	853	853_1
LIB-MJ334-A8_01.44	63.79	4.27	20	99.88	0.77	0.875	165954	286.642723880597	1051604	0.45	1072	35	282572	61.77866	1070	471	41	20	1	1	1	1	1	1	0	42.44	HQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA918;g__Damh-18;s__	68.8	78.4	0.197	0.9638	4276	4276_1
LIB-MJ389-D6_03.21	97.15	1.71	0	94.32	0.24	0.915	165191	329.247147230726	3868325	0.63	3593	49	415325	22.506039	3545	1166	47	21	1	1	2	1	1	2	0	88.6	HQ	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__JAGQSZ01;s__	95.97	76.41	0.128	0.93431	755	755_0
LIB-MJ190-B4_02_v_LIB-MJ410-B7_02.39	94.87	3.42	0	97.26	3.01	0.872	162092	318.551677852349	6513866	0.56	5960	159	347404	33.28511	5802	1835	52	22	1	1	1	1	1	1	0	77.77	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__	93.05	N/A	N/A	0.95459	4063	4063_1
LIB-MJ195-F6_01.37	95.81	0	0	94.61	1.05	0.849	158443	310.485367372354	3519355	0.59	3212	31	1000997	26.694508	3206	744	48	21	1	1	2	1	1	2	0	95.81	HQ	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__0-14-0-80-60-11;s__	87.43	79.76	0.442	0.90665	697	697_2
LIB-MJ335-H8_02.6	99.1	0.9	0	100	0.43	0.919	155463	306.66364434045	3412952	0.36	3419	50	312092	19.882404	3356	1255	32	21	1	1	1	1	1	1	0	94.6	HQ	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Pseudobdellovibrio;s__	93.84	78.5	0.318	0.96739	4553	4553_1
LIB-MJ413-A8_01.33	99.71	0.43	0	99.93	0.34	0.875	154637	337.990502793296	2070754	0.53	1790	38	299560	49.87214	1763	108	45	21	1	1	3	1	2	3	0	97.56	HQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium sp012516575	96.05	99.95	0.966	N/A	2001	2001_1
LIB-MJ305-E11_04.25	95.15	0.59	100	96.96	0.06	0.926	150068	318.701789264413	2072283	0.55	2012	32	304462	31.163187	1973	764	48	21	1	1	1	1	1	1	0	92.2	HQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__UBA10799;g__;s__	91.56	N/A	N/A	0.80852	2002	2002_0
LIB-MJ415-D4_04.4	97.38	2.56	0	100	0.09	0.887	147608	344.08697470207	5558937	0.56	4783	61	450470	20.437008	4713	1378	47	21	0	1	1	1	1	1	0	84.58	HQ	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__UBA11740;s__	94.38	N/A	N/A	0.93777	907	907_1
LIB-MJ387-A7_01.9	100	0.61	0	100	0.08	0.882	141111	306.718382130999	3453585	0.39	3313	45	285504	199.69507	3302	91	62	21	1	1	5	1	1	5	0	96.95	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter venetianus	98.91	97.22	0.889	N/A	4345	4345_0
LIB-MJ413-G9_01.29	95.43	0.54	0	97.48	0.83	0.892	131357	378.494489698131	2653684	0.38	2087	46	307085	31.254719	2039	102	43	22	1	1	1	1	1	1	0	92.73	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__4484-276;g__RZYY01;s__RZYY01 sp012516825	95.75	99.35	0.954	N/A	4650	4650_1
LIB-MJ413-A8_01.8	97.31	1.36	0	99.54	3.68	0.897	127737	355.84858044164	2638302	0.37	2219	115	228033	17.139107	2131	811	42	21	1	2	2	1	2	2	0	90.51	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA4417;g__;s__	94.96	N/A	N/A	0.8478	4648	4648_1
LIB-MJ413-C11_01.23	94.12	0.98	0	99.57	1.42	0.891	127583	330.81120808452	2418361	0.54	2177	47	189713	16.688341	2167	996	45	20	2	1	3	2	1	3	0	89.22	HQ	d__Bacteria;p__Bacillota_G;c__SHA-98;o__DTU014;f__DTU014;g__DTU014;s__DTU014 sp900016865	92.47	99.92	0.977	N/A	4482	4482_1
LIB-MJ259-G6_04.44	98.6	1.96	0	100	1.23	0.856	126778	351.372426998564	5140865	0.35	4178	85	236057	27.829018	4122	1400	47	21	1	1	1	1	1	1	0	88.8	HQ	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__FEN-1297;s__	96.11	80.84	0.64	0.95883	4934	4934_1
LIB-MJ388-D9_02.5	99.46	0	0	99.45	0.06	0.905	124181	350.166367444644	3873636	0.57	3342	55	269117	28.348537	3373	1353	42	21	1	1	1	1	1	1	0	99.46	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp019638085	97.08	99.11	0.925	N/A	1512	1512_1
LIB-MJ305-C6_04.7	97.33	0.44	0	98.82	0.63	0.902	123464	325.541404612159	4125298	0.44	3816	73	508774	53.601337	3793	778	47	22	1	1	1	1	1	1	0	95.13	HQ	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiofilum;s__Thiofilum sp016711335	95.59	99.99	0.999	N/A	4367	4367_1
LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.25	98.15	1.23	50	94.21	2.66	0.895	122248	309.152221733392	2348240	0.66	2273	58	521372	31.28392	2268	832	49	21	1	1	1	1	1	1	0	92	HQ	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__Bog-877;s__	89.14	N/A	N/A	0.92117	1025	1025_0
LIB-MJ389-G11_03.6	98.5	0.42	0	99.98	0.38	0.917	118890	321.597132970835	6370639	0.62	6069	78	459768	134.42618	6005	211	53	21	1	1	1	1	1	1	0	96.4	HQ	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__Rhodococcus qingshengii	90.67	N/A	N/A	N/A	1907	1907_1
LIB-MJ251-H4_04.6	97.38	0	0	95.63	0.26	0.917	117469	311.512347711557	3082721	0.62	3037	48	392171	16.548967	2939	1552	47	22	1	1	1	1	1	1	0	97.38	HQ	d__Bacteria;p__Eremiobacterota;c__Eremiobacteria;o__Baltobacterales;f__Baltobacteraceae;g__Cybelea;s__	93.72	78.69	0.563	0.95246	2172	2172_0
LIB-MJ353-A2_03_v_LIB-MJ367-A2_03.15	94.66	1.71	0	95.97	0	0.887	116584	331.316388467375	4422166	0.59	3954	66	271646	23.084372	3870	1334	53	22	1	1	1	1	1	1	0	86.11	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__;s__	93.33	76.35	0.037	0.826	4175	4175_1
LIB-MJ386-H6_04.17	94.22	1.98	50	97.24	2.44	0.853	114157	289.310328638498	2161853	0.5	2130	36	209864	23.43557	2095	604	50	21	1	1	1	1	1	1	0	84.32	HQ	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__RBG-13-51-36;s__	83.28	83.76	0.659	0.96794	225	225_1
LIB-MJ413-E7_01.9	90.54	2.56	0	92.51	2.6	0.91	113406	385.947737909516	3252819	0.46	2564	64	382448	18.44433	2501	1706	45	21	1	1	1	1	1	1	0	77.74	HQ	d__Bacteria;p__CSSED10-310;c__CSSED10-310;o__CSSED10-310;f__CSSED10-310;g__CSSED10-310;s__	89.61	77.16	0.04	0.87613	4476	4476_1
LIB-MJ413-H9_01.16	99.18	0	0	99.99	0.4	0.753	107387	288.455797101449	3165063	0.41	2760	65	303076	64.53329	2693	2264	47	19	1	1	1	1	1	1	22	99.18	HQ	d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina flavescens	99.39	99.71	0.983	N/A	289	289_1
LIB-MJ334-F9_01.36	99.01	0	0	100	0.04	0.929	106976	345.050232867598	3345197	0.45	3006	54	289990	12.2942705	2962	470	36	21	1	1	1	1	1	1	0	99.01	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp015999745	98.17	99.42	0.941	N/A	5001	5001_1
LIB-MJ413-C7_01.20	99.2	1.6	50	99.75	1.1	0.9	102968	273.831959416614	1434969	0.42	1577	35	149183	23.393026	1532	1343	37	19	1	1	1	1	1	1	22	91.2	HQ	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae_A;g__Methanothermobacter_A;s__Methanothermobacter_A tenebrarum	97.13	98.97	0.967	N/A	4283	4283_1
LIB-MJ334-E10_01.13	72.28	0.99	0	98.88	1.14	0.877	99497	308.609287429944	1316350	0.4	1249	35	195916	142.89746	1211	413	42	21	1	1	1	2	1	1	0	67.33	HQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Moranbacterales;f__UBA2206;g__UBA9630;s__	77	86.87	0.772	0.97984	4502	4502_1
LIB-MJ307-A2_01.57	68.46	0	0	98.53	0.12	0.928	99156	259.62539184953	534167	0.33	638	6	236946	23.811302	619	547	35	19	1	1	1	1	1	1	20	68.46	HQ	d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__GW2011-AR1;g__JAKLIN01;s__	71.87	76.69	0.149	0.90965	654	654_1
LIB-MJ334-C11_01.5	88.25	3.22	0	97.73	0.95	0.912	98970	301.284534189995	2154110	0.49	2179	31	222051	71.17945	2120	1804	26	16	1	1	1	1	1	1	22	72.15	HQ	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__IMC4;f__QMZM01;g__CAIYYO01;s__	89.93	79.9	0.584	0.9565	4452	4452_0
LIB-MJ386-C11_04.4	98.11	0.89	12.5	99.98	0.94	0.874	97433	306.698171998338	5061106	0.62	4814	85	353696	113.23888	4742	517	50	22	1	1	1	1	1	1	0	93.66	HQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__62-47;s__62-47 sp017305595	97.38	97.47	0.905	N/A	2930	2930_2
LIB-MJ132-F11_03.20	98.81	1.88	25	99.09	0.71	0.862	97046	323.926002766252	4882920	0.6	4338	103	274424	21.712486	4243	933	81	22	1	1	1	1	1	1	0	89.41	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__;s__	93.68	N/A	N/A	0.93128	3844	3844_0
LIB-MJ334-D8_01.10	68.13	0.43	0	96.46	0.51	0.911	96341	292.270243902439	985754	0.44	1025	28	188996	12.036179	1015	612	35	20	1	1	1	1	1	1	0	65.98	HQ	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__;s__	65.74	N/A	N/A	0.76491	4287	4287_1
LIB-MJ335-C5_02.15	93.94	2.73	0	99.11	0.57	0.902	95876	292.011615044248	1749945	0.43	1808	32	230083	28.821234	1775	232	50	21	1	1	1	1	1	1	0	80.29	HQ	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	87.09	92.85	0.674	0.97172	154	154_2
LIB-MJ305-F2_04.11	98.99	4.6	21.43	99.84	3.5	0.904	95415	343.06605661996	3976576	0.43	3497	134	197081	16.531534	3469	865	46	20	1	1	1	1	1	1	0	75.99	HQ	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	88.72	N/A	N/A	0.94371	5011	5011_0
LIB-MJ254-G11_02.4	97.2	0.65	0	92.89	0.22	0.868	92463	281.773247140726	1954511	0.55	2011	52	180373	20.141699	1971	1713	45	18	1	1	1	1	1	1	22	93.95	HQ	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	80.88	N/A	N/A	0.96378	514	514_1
LIB-MJ177-D8_03.17	96.3	0.31	0	90.14	1.19	0.897	91599	299.815391662849	2182405	0.66	2183	63	221687	15.664796	2153	724	47	20	1	1	1	1	1	1	0	94.75	HQ	d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__UBA8260;f__Bog-877;g__Bog-877;s__	90.11	80.58	0.531	0.95698	1029	1029_1
LIB-MJ226-G10_01.32	99.12	0.88	100	99.99	0.9	0.885	89426	337.155404050531	5689747	0.63	4987	112	253647	40.503998	4899	1336	49	21	1	0	1	1	1	1	0	94.72	HQ	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-375;s__	94.54	N/A	N/A	0.96486	3796	3796_2
LIB-MJ413-E5_01.1	96.07	1.75	25	99.65	0.14	0.906	88540	300.894547093285	2206114	0.56	2219	38	355556	24.491405	2152	1009	45	21	1	1	1	1	1	1	0	87.32	HQ	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA9219;f__RFNS01;g__JAGOHT01;s__	96.62	76.7	0.165	0.86278	2811	2811_1
